"","Country_NAME","Total_OCS_1m_Pg","Total_OCS_2m_Pg","Total_OCS_1m_N","Total_AREA"
"1","Afghanistan",4.1,0.8,4938,51.0415917412006
"2","Akrotiri",0,0,7,0.071201359848275
"3","Algeria",5.5,0.5,20296,220.813893608251
"4","American Samoa",0,0,10,0.119536587047802
"5","Angola",12.3,3,10193,122.486895545479
"6","Anguilla",0,0,4,0.0468276775283192
"7","Antigua and Barb.",0,0,11,0.129398081949265
"8","Argentina",23.4,6.3,15163,162.22936379671
"9","Aruba",0,0,6,0.0721444433329861
"10","Australia",49.7,12.4,67908,755.007275182256
"11","Bahamas",1.1,0.8,336,3.77793887771722
"12","Bahrain",0,0,14,0.155202100256563
"13","Bangladesh",5.4,2.6,1148,12.9653434673494
"14","Barbados",0,0,11,0.131921422089058
"15","Belize",0.6,0.3,205,2.41273624906355
"16","Benin",0.5,0.1,866,10.5100039004927
"17","Bermuda",0,0,5,0.0522157157540825
"18","Bhutan",1.1,0.2,310,3.39657225698887
"19","Bolivia",15.7,3.9,8955,105.528141216207
"20","Botswana",2.2,0.5,4886,55.7609313675793
"21","Brazil",122.7,36.1,71164,852.560644144293
"22","Br. Indian Ocean Ter.",0,0,5,0.0610556600431702
"23","British Virgin Is.",0,0,11,0.128545721780623
"24","Brunei",0.3,0.2,34,0.417184327593026
"25","Burkina Faso",0.8,0.1,2127,25.5941135590736
"26","Burundi",0.5,0.2,172,2.1135067897257
"27","Cambodia",4.5,2,1428,17.1592345758813
"28","Cameroon",6.2,1.5,3678,45.0282373195105
"29","Cape Verde",0.1,0.1,85,1.00661140683561
"30","Cayman Is.",0,0,16,0.185917828432428
"31","Central African Rep.",6.5,1.3,4793,58.5976122477486
"32","Chad",6,1.3,10993,130.330913931889
"33","Chile",5.1,1.1,3648,40.034664739943
"34","China",81.8,25.2,44381,472.830139822225
"35","Clipperton I.",0,0,2,0.0242317883950459
"36","Colombia",37.3,14.4,9221,113.057333000047
"37","Comoros",0.1,0,32,0.385573620469813
"38","Congo",7.1,2.3,2863,35.2074628648885
"39","Cook Is.",0,0.1,20,0.23482811006774
"40","Costa Rica",1.6,0.7,459,5.56741996199849
"41","Côte d'Ivoire",2.6,0.4,2574,31.4020260398068
"42","Cuba",3.5,1.7,1255,14.3813765081809
"43","Curaçao",0,0,12,0.144467988039141
"44","Cyprus",0.1,0,68,0.689170029790283
"45","Dem. Rep. Congo",39,11.1,18811,230.612668045101
"46","Dhekelia",0,0,8,0.0809717767602951
"47","Djibouti",0.1,0,173,2.08583768179965
"48","Dominica",0,0,13,0.154381691731007
"49","Dominican Rep.",1,0.4,468,5.45778049803219
"50","Ecuador",8.9,3.4,2159,26.5613980732268
