"","number","levs"
"1",1,"Arctic"
"2",2,"Cold Dry"
"3",3,"Cold Moist"
"4",4,"Cold Semi-Dry"
"5",5,"Cold Very Dry"
"6",6,"Cold Very Wet"
"7",7,"Cold Wet"
"8",8,"Cool Dry"
"9",9,"Cool Moist"
"10",10,"Cool Semi-Dry"
"11",11,"Cool Very Dry"
"12",12,"Cool Very Wet"
"13",13,"Cool Wet"
"14",14,"Hot Dry"
"15",15,"Hot Moist"
"16",16,"Hot Semi-Dry"
"17",17,"Hot Very Dry"
"18",18,"Hot Very Wet"
"19",19,"Hot Wet"
"20",20,"Undefined"
"21",21,"Very Cold Dry"
"22",22,"Very Cold Moist"
"23",23,"Very Cold Semi-Dry"
"24",24,"Very Cold Very Dry"
"25",25,"Very Cold Very Wet"
"26",26,"Very Cold Wet"
"27",27,"Very Hot Dry"
"28",28,"Very Hot Moist"
"29",29,"Very Hot Semi-Dry"
"30",30,"Very Hot Very Dry"
"31",31,"Very Hot Very Wet"
"32",32,"Very Hot Wet"
"33",33,"Warm Dry"
"34",34,"Warm Moist"
"35",35,"Warm Semi-Dry"
"36",36,"Warm Very Dry"
"37",37,"Warm Very Wet"
"38",38,"Warm Wet"
"39",39,"Water body"
