"","Var1","Var2","check"
"122","h13v14","001","OK"
"123","h14v14","001","OK"
"124","h15v14","001","OK"
"125","h16v14","001","OK"
"127","h18v14","001","OK"
"131","h22v14","001","OK"
"136","h27v14","001","OK"
"137","h28v14","001","OK"
"150","h05v13","001","OK"
"157","h12v13","001","OK"
"158","h13v13","001","OK"
"162","h17v13","001","OK"
"165","h20v13","001","OK"
"166","h21v13","001","OK"
"167","h22v13","001","OK"
"173","h28v13","001","OK"
"174","h29v13","001","OK"
"175","h30v13","001","OK"
"176","h31v13","001","OK"
"192","h11v12","001","OK"
"193","h12v12","001","OK"
"194","h13v12","001","OK"
"197","h16v12","001","OK"
"198","h17v12","001","OK"
"200","h19v12","001","OK"
"201","h20v12","001","OK"
"205","h24v12","001","OK"
"208","h27v12","001","OK"
"209","h28v12","001","OK"
"210","h29v12","001","OK"
"211","h30v12","001","OK"
"212","h31v12","001","OK"
"213","h32v12","001","OK"
"218","h01v11","001","OK"
"219","h02v11","001","OK"
"220","h03v11","001","OK"
"221","h04v11","001","OK"
"222","h05v11","001","OK"
"223","h06v11","001","OK"
"225","h08v11","001","OK"
"227","h10v11","001","OK"
"228","h11v11","001","OK"
"229","h12v11","001","OK"
"230","h13v11","001","OK"
"231","h14v11","001","OK"
"232","h15v11","001","OK"
"236","h19v11","001","OK"
"237","h20v11","001","OK"
"238","h21v11","001","OK"
"239","h22v11","001","OK"
"240","h23v11","001","OK"
"244","h27v11","001","OK"
"245","h28v11","001","OK"
"246","h29v11","001","OK"
"247","h30v11","001","OK"
"248","h31v11","001","OK"
"249","h32v11","001","OK"
"250","h33v11","001","OK"
"253","h00v10","001","OK"
"254","h01v10","001","OK"
"255","h02v10","001","OK"
"256","h03v10","001","OK"
"257","h04v10","001","OK"
"258","h05v10","001","OK"
"263","h10v10","001","OK"
"264","h11v10","001","OK"
"265","h12v10","001","OK"
"266","h13v10","001","OK"
"267","h14v10","001","OK"
"270","h17v10","001","OK"
"272","h19v10","001","OK"
"273","h20v10","001","OK"
"274","h21v10","001","OK"
"275","h22v10","001","OK"
"276","h23v10","001","OK"
"280","h27v10","001","OK"
"281","h28v10","001","OK"
"282","h29v10","001","OK"
"283","h30v10","001","OK"
"284","h31v10","001","OK"
"285","h32v10","001","OK"
"286","h33v10","001","OK"
"287","h34v10","001","OK"
"288","h35v10","001","OK"
"289","h00v09","001","OK"
"290","h01v09","001","OK"
"291","h02v09","001","OK"
"292","h03v09","001","OK"
"293","h04v09","001","OK"
"297","h08v09","001","OK"
"298","h09v09","001","OK"
"299","h10v09","001","OK"
"300","h11v09","001","OK"
"301","h12v09","001","OK"
"302","h13v09","001","OK"
"303","h14v09","001","OK"
"305","h16v09","001","OK"
"307","h18v09","001","OK"
"308","h19v09","001","OK"
"309","h20v09","001","OK"
"310","h21v09","001","OK"
"311","h22v09","001","OK"
"312","h23v09","001","OK"
"314","h25v09","001","OK"
"316","h27v09","001","OK"
"317","h28v09","001","OK"
"318","h29v09","001","OK"
"319","h30v09","001","OK"
"320","h31v09","001","OK"
"321","h32v09","001","OK"
"322","h33v09","001","OK"
"323","h34v09","001","OK"
"324","h35v09","001","OK"
"325","h00v08","001","OK"
"326","h01v08","001","OK"
"327","h02v08","001","OK"
"333","h08v08","001","OK"
"334","h09v08","001","OK"
"335","h10v08","001","OK"
"336","h11v08","001","OK"
"337","h12v08","001","OK"
"338","h13v08","001","OK"
"341","h16v08","001","OK"
"342","h17v08","001","OK"
"343","h18v08","001","OK"
"344","h19v08","001","OK"
"345","h20v08","001","OK"
"346","h21v08","001","OK"
"347","h22v08","001","OK"
"348","h23v08","001","OK"
"350","h25v08","001","OK"
"351","h26v08","001","OK"
"352","h27v08","001","OK"
"353","h28v08","001","OK"
"354","h29v08","001","OK"
"355","h30v08","001","OK"
"356","h31v08","001","OK"
"357","h32v08","001","OK"
"358","h33v08","001","OK"
"359","h34v08","001","OK"
"360","h35v08","001","OK"
"362","h01v07","001","OK"
"364","h03v07","001","OK"
"368","h07v07","001","OK"
"369","h08v07","001","OK"
"370","h09v07","001","OK"
"371","h10v07","001","OK"
"372","h11v07","001","OK"
"373","h12v07","001","OK"
"376","h15v07","001","OK"
"377","h16v07","001","OK"
"378","h17v07","001","OK"
"379","h18v07","001","OK"
"380","h19v07","001","OK"
"381","h20v07","001","OK"
"382","h21v07","001","OK"
"383","h22v07","001","OK"
"384","h23v07","001","OK"
"385","h24v07","001","OK"
"386","h25v07","001","OK"
"387","h26v07","001","OK"
"388","h27v07","001","OK"
"389","h28v07","001","OK"
"390","h29v07","001","OK"
"391","h30v07","001","OK"
"392","h31v07","001","OK"
"393","h32v07","001","OK"
"394","h33v07","001","OK"
"395","h34v07","001","OK"
"399","h02v06","001","OK"
"400","h03v06","001","OK"
"404","h07v06","001","OK"
"405","h08v06","001","OK"
"406","h09v06","001","OK"
"407","h10v06","001","OK"
"408","h11v06","001","OK"
"413","h16v06","001","OK"
"414","h17v06","001","OK"
"415","h18v06","001","OK"
"416","h19v06","001","OK"
"417","h20v06","001","OK"
"418","h21v06","001","OK"
"419","h22v06","001","OK"
"420","h23v06","001","OK"
"421","h24v06","001","OK"
"422","h25v06","001","OK"
"423","h26v06","001","OK"
"424","h27v06","001","OK"
"425","h28v06","001","OK"
"426","h29v06","001","OK"
"427","h30v06","001","OK"
"428","h31v06","001","OK"
"440","h07v05","001","OK"
"441","h08v05","001","OK"
"442","h09v05","001","OK"
"443","h10v05","001","OK"
"444","h11v05","001","OK"
"445","h12v05","001","OK"
"448","h15v05","001","OK"
"449","h16v05","001","OK"
"450","h17v05","001","OK"
"451","h18v05","001","OK"
"452","h19v05","001","OK"
"453","h20v05","001","OK"
"454","h21v05","001","OK"
"455","h22v05","001","OK"
"456","h23v05","001","OK"
"457","h24v05","001","OK"
"458","h25v05","001","OK"
"459","h26v05","001","OK"
"460","h27v05","001","OK"
"461","h28v05","001","OK"
"462","h29v05","001","OK"
"463","h30v05","001","OK"
"477","h08v04","001","OK"
"478","h09v04","001","OK"
"479","h10v04","001","OK"
"480","h11v04","001","OK"
"481","h12v04","001","OK"
"482","h13v04","001","OK"
"483","h14v04","001","OK"
"486","h17v04","001","OK"
"487","h18v04","001","OK"
"488","h19v04","001","OK"
"489","h20v04","001","OK"
"490","h21v04","001","OK"
"491","h22v04","001","OK"
"492","h23v04","001","OK"
"493","h24v04","001","OK"
"494","h25v04","001","OK"
"495","h26v04","001","OK"
"496","h27v04","001","OK"
"497","h28v04","001","OK"
"511","h06v03","001","OK"
"512","h07v03","001","OK"
"513","h08v03","001","OK"
"514","h09v03","001","OK"
"515","h10v03","001","OK"
"516","h11v03","001","OK"
"517","h12v03","001","OK"
"518","h13v03","001","OK"
"519","h14v03","001","OK"
"520","h15v03","001","OK"
"522","h17v03","001","OK"
"523","h18v03","001","OK"
"524","h19v03","001","OK"
"525","h20v03","001","OK"
"526","h21v03","001","OK"
"527","h22v03","001","OK"
"528","h23v03","001","OK"
"529","h24v03","001","OK"
"530","h25v03","001","OK"
"531","h26v03","001","OK"
"532","h27v03","001","OK"
"533","h28v03","001","OK"
"534","h29v03","001","OK"
"550","h09v02","001","OK"
"551","h10v02","001","OK"
"552","h11v02","001","OK"
"553","h12v02","001","OK"
"554","h13v02","001","OK"
"555","h14v02","001","OK"
"556","h15v02","001","OK"
"557","h16v02","001","OK"
"558","h17v02","001","OK"
"559","h18v02","001","OK"
"560","h19v02","001","OK"
"561","h20v02","001","OK"
"562","h21v02","001","OK"
"563","h22v02","001","OK"
"564","h23v02","001","OK"
"565","h24v02","001","OK"
"566","h25v02","001","OK"
"567","h26v02","001","OK"
"588","h11v01","001","OK"
"589","h12v01","001","OK"
"590","h13v01","001","OK"
"591","h14v01","001","OK"
"592","h15v01","001","OK"
"593","h16v01","001","OK"
"594","h17v01","001","OK"
"595","h18v01","001","OK"
"596","h19v01","001","OK"
"597","h20v01","001","OK"
"598","h21v01","001","OK"
"599","h22v01","001","OK"
"600","h23v01","001","OK"
"601","h24v01","001","OK"
"770","h13v14","017","OK"
"771","h14v14","017","OK"
"772","h15v14","017","OK"
"773","h16v14","017","OK"
"775","h18v14","017","OK"
"779","h22v14","017","OK"
"784","h27v14","017","OK"
"785","h28v14","017","OK"
"798","h05v13","017","OK"
"805","h12v13","017","OK"
"806","h13v13","017","OK"
"810","h17v13","017","OK"
"813","h20v13","017","OK"
"814","h21v13","017","OK"
"815","h22v13","017","OK"
"821","h28v13","017","OK"
"822","h29v13","017","OK"
"823","h30v13","017","OK"
"824","h31v13","017","OK"
"840","h11v12","017","OK"
"841","h12v12","017","OK"
"842","h13v12","017","OK"
"845","h16v12","017","OK"
"846","h17v12","017","OK"
"848","h19v12","017","OK"
"849","h20v12","017","OK"
"853","h24v12","017","OK"
"856","h27v12","017","OK"
"857","h28v12","017","OK"
"858","h29v12","017","OK"
"859","h30v12","017","OK"
"860","h31v12","017","OK"
"861","h32v12","017","OK"
"866","h01v11","017","OK"
"867","h02v11","017","OK"
"868","h03v11","017","OK"
"869","h04v11","017","OK"
"870","h05v11","017","OK"
"871","h06v11","017","OK"
"873","h08v11","017","OK"
"875","h10v11","017","OK"
"876","h11v11","017","OK"
"877","h12v11","017","OK"
"878","h13v11","017","OK"
"879","h14v11","017","OK"
"880","h15v11","017","OK"
"884","h19v11","017","OK"
"885","h20v11","017","OK"
"886","h21v11","017","OK"
"887","h22v11","017","OK"
"888","h23v11","017","OK"
"892","h27v11","017","OK"
"893","h28v11","017","OK"
"894","h29v11","017","OK"
"895","h30v11","017","OK"
"896","h31v11","017","OK"
"897","h32v11","017","OK"
"898","h33v11","017","OK"
"901","h00v10","017","OK"
"902","h01v10","017","OK"
"903","h02v10","017","OK"
"904","h03v10","017","OK"
"905","h04v10","017","OK"
"906","h05v10","017","OK"
"911","h10v10","017","OK"
"912","h11v10","017","OK"
"913","h12v10","017","OK"
"914","h13v10","017","OK"
"915","h14v10","017","OK"
"918","h17v10","017","OK"
"920","h19v10","017","OK"
"921","h20v10","017","OK"
"922","h21v10","017","OK"
"923","h22v10","017","OK"
"924","h23v10","017","OK"
"928","h27v10","017","OK"
"929","h28v10","017","OK"
"930","h29v10","017","OK"
"931","h30v10","017","OK"
"932","h31v10","017","OK"
"933","h32v10","017","OK"
"934","h33v10","017","OK"
"935","h34v10","017","OK"
"936","h35v10","017","OK"
"937","h00v09","017","OK"
"938","h01v09","017","OK"
"939","h02v09","017","OK"
"940","h03v09","017","OK"
"941","h04v09","017","OK"
"945","h08v09","017","OK"
"946","h09v09","017","OK"
"947","h10v09","017","OK"
"948","h11v09","017","OK"
"949","h12v09","017","OK"
"950","h13v09","017","OK"
"951","h14v09","017","OK"
"953","h16v09","017","OK"
"955","h18v09","017","OK"
"956","h19v09","017","OK"
"957","h20v09","017","OK"
"958","h21v09","017","OK"
"959","h22v09","017","OK"
"960","h23v09","017","OK"
"962","h25v09","017","OK"
"964","h27v09","017","OK"
"965","h28v09","017","OK"
"966","h29v09","017","OK"
"967","h30v09","017","OK"
"968","h31v09","017","OK"
"969","h32v09","017","OK"
"970","h33v09","017","OK"
"971","h34v09","017","OK"
"972","h35v09","017","OK"
"973","h00v08","017","OK"
"974","h01v08","017","OK"
"975","h02v08","017","OK"
"981","h08v08","017","OK"
"982","h09v08","017","OK"
"983","h10v08","017","OK"
"984","h11v08","017","OK"
"985","h12v08","017","OK"
"986","h13v08","017","OK"
"989","h16v08","017","OK"
