WORLDGRIDS_CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,RESOLUTION_SOURCE_M,RESAMPLE_METHOD,CONFIDENCE_INTERVAL,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,Z_SCALE,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,MASK_VALUE,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,LINEAGE_CODE
DEMNED6,DEM-parameters,Land surface elevation,Merged elevation based on 100 m resolution DEMs from NED - Conterminous United States 100 Meter Resolution Albers Projection. No additional post-processing has been applied to remove vegetation and filter noise.,100,average,M,0.00 m,0.00 m,1,-350,8500,20,1,meter,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,http://dds.cr.usgs.gov/pub/data/nationalatlas/elev48i0100a.tif_nt00828.tar.gz,,,,
SLPNED6,DEM-parameters,Terrain slope,Terrain slope based on DEMMRG5 derived in SAGA GIS and expressed in radians x 100.,100,,M,0.00 m,0.00 m,100,0,180,1,1,radians x 100,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_morphometry_0.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
CRVNED6,DEM-parameters,Profile Curvature,Profile curvature based on DEMNED6 derived in SAGA GIS.,100,,M,0.00 m,0.00 m,10000,-250,250,0,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_morphometry_0.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
VBFNED6,DEM-parameters,Multiresolution Index of Valley Bottom Flatness (MRVBF),"Multiresolution Index of Valley Bottom Flatness (MRVBF) based on DEMNED6. Derived in SAGA GIS at 500 m, then downscaled to 250 m. Computationally very intensive operation.",100,,M,0.00 m,0.00 m,100,0,1000,400,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_morphometry_8.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
DVMNED6,DEM-parameters,Deviation from Mean Value (surface roughness),Deviation from Mean Value (surface roughness) based on DEMNED6. Derived in SAGA GIS using a 7 by 7 search radius.,100,,M,0.00 m,0.00 m,100,-1500,1500,0,1,meter x 100,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/statistics_grid_1.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
VDPNED6,DEM-parameters,Valley depth,Valley depth based on DEMNED6 i.e. vertical distance to a channel network base level derived in SAGA GIS.,100,,M,0.00 m,0.00 m,10,-5000,5000,0,1,meter x 10,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_channels_7.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
NEGNED6,DEM-parameters,Negative Topographic Openness,Negative Topographic Openness based on DEMNED6; derived in SAGA GIS. Positive topographic openness expresses the dominance of a landscape location. See Yokoyama et al. (2002) for a precise definition.,100,,M,0.00 m,0.00 m,1000,0,5000,1500,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_lighting_5.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
POSNED6,DEM-parameters,Positive Topographic Openness,Positive Topographic Openness based on DEMNED6; derived in SAGA GIS. Negative topographic openness expresses the enclosure of a landscape location. See Yokoyama et al. (2002) for a precise definition.,100,,M,0.00 m,0.00 m,1000,0,5000,1500,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.7/ta_lighting_5.html,,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/USA48
MRNNED6,DEM-parameters,Melton Ruggedness Number,,100,,M,0.00 m,0.00 m,100,0,,,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://saga-gis.org/saga_module_doc/2.2.7/ta_hydrology_23.html,,,
TPINED6,DEM-parameters,Topographic Position Index,Topographic Position Index is the difference to the mean calculation (residual analysis) proposed by Wilson & Gallant (2000).,100,,M,0.00 m,0.00 m,100,0,,,1,,http://nationalmap.gov/small_scale/,NED - Conterminous United States 100 Meter Resolution Albers Projection,http://nationalmap.gov/small_scale/,,2014,,ftp.worldgrids.org,http://saga-gis.org/saga_module_doc/2.2.7/ta_morphometry_18.html,,,
