pscs,Count,CLYPPT,CLYPPT.sd
FINE-LOAMY,68412,27,6
FINE,55383,48,9
FINE-SILTY,40611,27,6
LOAMY-SKELETAL,34122,20,8
COARSE-LOAMY,33141,10,8
LOAMY,15768,20,8
SANDY,10874,6,6
PSAMMENTS,7340,4,8
COARSE-SILTY,6524,10,11
SANDY-SKELETAL,6203,6,6
CLAYEY,4587,64,16
CLAYEY-SKELETAL,4334,64,16
FINE-LOAMY OVER SANDY OR SANDY-SKELETAL,3153,18,12
VERY-FINE,2946,74,12
ROCK OUTCROP,2094,0,6
COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL,1804,8,8
LOAMY-SKELETAL OVER CLAYEY,1059,40,12
CLAYEY OVER LOAMY,805,46,10
FINE-LOAMY OVER CLAYEY,726,40,10
SANDY OVER LOAMY,681,17,8
ASHY-SKELETAL,661,6,10
SANDY OR SANDY-SKELETAL,561,8,8
FINE-SILTY OVER SANDY OR SANDY-SKELETAL,534,22,11
ASHY,461,6,10
FINE-SILTY OVER CLAYEY,402,38,10
COARSE-SILTY OVER SANDY OR SANDY-SKELETAL,355,8,10
ASHY OVER LOAMY-SKELETAL,263,16,12
ASHY OVER LOAMY,246,16,12
COARSE-LOAMY OVER CLAYEY,203,26,15
COARSE-SILTY OVER CLAYEY,187,26,15
MEDIAL-SKELETAL,185,,
SANDY OVER CLAYEY,185,25,16
MEDIAL,183,,
CLAYEY OVER SANDY OR SANDY-SKELETAL,177,25,16
COARSE-GYPSEOUS,169,,
FINE-GYPSEOUS,132,,
MEDIAL OVER LOAMY,119,20,14
ASHY-SKELETAL OVER LOAMY-SKELETAL,118,18,16
CLAYEY OVER LOAMY-SKELETAL,105,40,12
LOAMY-SKELETAL OVER SANDY OR SANDY-SKELETAL,95,17,8
LOAMY-SKELETAL OVER FRAGMENTAL,88,20,12
FRAGMENTAL,78,,
ASHY OVER SANDY OR SANDY-SKELETAL,45,6,8
LOAMY OVER SANDY OR SANDY-SKELETAL,44,11,10
MEDIAL OVER LOAMY-SKELETAL,42,20,12
CINDERY,40,,
LOAMY-SKELETAL OVER CINDERY,34,20,8
FINE-LOAMY OVER FRAGMENTAL,32,27,6
SANDY-SKELETAL OVER LOAMY,32,17,9
ASHY OVER CLAYEY,27,45,15
ASHY-PUMICEOUS,22,,
ASHY OVER MEDIAL-SKELETAL,19,,
COARSE-LOAMY OVER FRAGMENTAL,17,12,10
LOAMY OVER COARSE-GYPSEOUS,16,17,9
ASHY-SKELETAL OVER FRAGMENTAL OR CINDERY,14,,
ASHY-SKELETAL OVER SANDY OR SANDY-SKELETAL,11,6,9
CLAYEY-SKELETAL OVER SANDY OR SANDY-SKELETAL,11,34,16
ASHY OVER CLAYEY-SKELETAL,9,30,16
HYDROUS-SKELETAL,9,,
CLAYEY OVER FINE-SILTY,7,44,12
ASHY OVER MEDIAL,6,,
LOAMY OVER ASHY OR ASHY-PUMICEOUS,6,11,10
LOAMY OVER FINE-GYPSEOUS,6,18,14
LOAMY OVER PUMICEOUS OR CINDERY,6,,
MEDIAL OVER SANDY OR SANDY-SKELETAL,6,6,11
MEDIAL-SKELETAL OVER LOAMY-SKELETAL,5,,
CLAYEY OVER FRAGMENTAL,4,48,14
GYPSEOUS-SKELETAL,4,,
MEDIAL-SKELETAL OVER FRAGMENTAL OR CINDERY,4,,
MEDIAL OVER FRAGMENTAL,4,,
LOAMY-SKELETAL OR CLAYEY-SKELETAL,3,,
ASHY OVER PUMICEOUS OR CINDERY,2,,
CINDERY OVER LOAMY,2,,
FINE-SILTY OVER FRAGMENTAL,2,,
MEDIAL-SKELETAL OVER SANDY OR SANDY-SKELETAL,2,,
MEDIAL OVER CLAYEY,2,,
MEDIAL OVER CLAYEY-SKELETAL,2,,
THIXOTROPIC,2,,
ASHY-SKELETAL OVER CLAYEY,1,,
HYDROUS,1,,
LOAMY-SKELETAL OVER GYPSEOUS-SKELETAL,1,,
PUMICEOUS,1,,
PUMICEOUS OR ASHY-PUMICEOUS OVER LOAMY,1,,
PUMICEOUS OR ASHY-PUMICEOUS OVER LOAMY-SKELETAL,1,,
PUMICEOUS OR ASHY-PUMICEOUS OVER MEDIAL-SKELETAL,1,,
SANDY-SKELETAL OVER CLAYEY,1,,
THIXOTROPIC-SKELETAL,1,,
THIXOTROPIC OVER LOAMY-SKELETAL,1,,
