Great_Group,Suborder,Order,TAX
Albaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Albaqualfs
Cryaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Cryaqualfs
Duraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Duraqualfs
Endoaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Endoaqualfs
Epiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Epiaqualfs
Fragiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Fragiaqualfs
Glossaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Glossaqualfs
Kandiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Kandiaqualfs
Natraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Natraqualfs
Ochraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Ochraqualfs
Plinthaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Plinthaqualfs
Tropaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Tropaqualfs
Umbraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Umbraqualfs
Vermaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Vermaqualfs
Cryoboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Cryoboralfs
Eutroboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Eutroboralfs
Fragiboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Fragiboralfs
Glossoboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Glossoboralfs
Natriboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Natriboralfs
Paleboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Paleboralfs
Glossocryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Glossocryalfs
Haplocryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Haplocryalfs
Palecryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Palecryalfs
Ferrudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Ferrudalfs
Fragiudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Fragiudalfs
Fraglossudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Fraglossudalfs
Glossudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Glossudalfs
