"","all","ASHY","ASHY.OVER.CLAYEY","ASHY.OVER.CLAYEY.SKELETAL","ASHY.OVER.LOAMY","ASHY.OVER.LOAMY.SKELETAL","ASHY.OVER.MEDIAL","ASHY.OVER.MEDIAL.SKELETAL","ASHY.OVER.SANDY.OR.SANDY.SKELETAL","ASHY.PUMICEOUS","ASHY.SKELETAL","ASHY.SKELETAL.OVER.FRAGMENTAL.OR.CINDERY","ASHY.SKELETAL.OVER.LOAMY.SKELETAL","ASHY.SKELETAL.OVER.SANDY.OR.SANDY.SKELETAL","CINDERY","CLAYEY","CLAYEY.OVER.FINE.SILTY","CLAYEY.OVER.LOAMY","CLAYEY.OVER.LOAMY.SKELETAL","CLAYEY.OVER.SANDY.OR.SANDY.SKELETAL","CLAYEY.SKELETAL","CLAYEY.SKELETAL.OVER.SANDY.OR.SANDY.SKELETAL","COARSE.GYPSEOUS","COARSE.LOAMY","COARSE.LOAMY.OVER.CLAYEY","COARSE.LOAMY.OVER.FRAGMENTAL","COARSE.LOAMY.OVER.SANDY.OR.SANDY.SKELETAL","COARSE.SILTY","COARSE.SILTY.OVER.CLAYEY","COARSE.SILTY.OVER.SANDY.OR.SANDY.SKELETAL","FINE","FINE.GYPSEOUS","FINE.LOAMY","FINE.LOAMY.OVER.CLAYEY","FINE.LOAMY.OVER.FRAGMENTAL","FINE.LOAMY.OVER.SANDY.OR.SANDY.SKELETAL","FINE.SILTY","FINE.SILTY.OVER.CLAYEY","FINE.SILTY.OVER.SANDY.OR.SANDY.SKELETAL","FRAGMENTAL","HYDROUS.SKELETAL","LOAMY","LOAMY.OVER.ASHY.OR.ASHY.PUMICEOUS","LOAMY.OVER.COARSE.GYPSEOUS","LOAMY.OVER.FINE.GYPSEOUS","LOAMY.OVER.PUMICEOUS.OR.CINDERY","LOAMY.OVER.SANDY.OR.SANDY.SKELETAL","LOAMY.SKELETAL","LOAMY.SKELETAL.OVER.CINDERY","LOAMY.SKELETAL.OVER.CLAYEY","LOAMY.SKELETAL.OVER.FRAGMENTAL","LOAMY.SKELETAL.OVER.SANDY.OR.SANDY.SKELETAL","MEDIAL","MEDIAL.OVER.LOAMY","MEDIAL.OVER.LOAMY.SKELETAL","MEDIAL.OVER.SANDY.OR.SANDY.SKELETAL","MEDIAL.SKELETAL","PSAMMENTS","ROCK.OUTCROP","SANDY","SANDY.OR.SANDY.SKELETAL","SANDY.OVER.CLAYEY","SANDY.OVER.LOAMY","SANDY.SKELETAL","SANDY.SKELETAL.OVER.LOAMY","VERY.FINE"
"DEMNED6",0.0335750340798267,0.00678260869565218,0.000333333333333333,0,0.00275471698113207,0.0035609756097561,0,-0.000666666666666667,0.00355555555555556,0,0.0122385321100917,0.002,0.00174193548387097,0,0,0.00810749646393211,0,0.0117567567567568,9.52380952380951e-05,0.0137575757575757,0.00920114122681884,0,0.00875,0.00931927272727272,0.00494117647058823,0.0275,0.0063841463414634,0.0126224677716391,0.00566666666666666,0.00538461538461537,0.0120516881117343,0.01568,0.011058781490084,0.00989380530973452,0.019,0.00788372093023256,0.0127602427921093,0.00275,0.00371428571428571,0.000117647058823529,NA,0.0059159795838241,0,NA,NA,NA,0,0.0156374523679913,0.026,0.00630864197530864,0.0054,0.000700000000000001,-0.000470588235294118,0.00599999999999999,0.00142857142857143,NA,0.0025,0.0120159716060337,0.00644571428571428,0.00986143187066975,0.00424444444444444,0.0026060606060606,0.00261946902654867,0.0154774951076321,-0.001,0.013381443298969
"SLPNED6",0.013381443298969,0.0145268085050405,0.0062608695652174,0.000666666666666667,0,0.00467924528301887,0.00248780487804878,0,0.00133333333333333,0.00377777777777778,-0.000666666666666667,0.00888073394495412,-0.006,0.00451612903225806,0,-0.000333333333333333,0.00335502121640735,0,0.00594594594594595,0.000761904761904763,0.00672727272727272,0.0034037089871612,0,0.0116666666666667,0.00344145454545454,0.00205882352941177,0.0145,0.0018170731707317,0.00468876611418048,0.00206666666666667,0.00180769230769231,0.00614802595403057,0.0068,0.0040923709129891,0.00566371681415929,0.0296666666666667,0.00292635658914729,0.00430804248861912,0.00267857142857142,0.00232967032967033,0.000352941176470588,NA,0.00232979976442874,0,NA,NA,NA,0,0.0131166757394302,0.0345714285714286,0.0058888888888889,0.003,3e-04,0.000235294117647059,0.00553846153846154,0,NA,0.0126875,0.00288731144631767,0.00594285714285714,0.00443302540415704,0.00191111111111111,0.000242424242424242,0.00106194690265487,0.00554011741682974,0
"CRVNED6",0,0.00483298969072164,0.0017118956095913,0.000927536231884058,0,0,0,0.000536585365853659,0,0,0,0,0.000715596330275229,-0.001,-6.4516129032258e-05,0,0,0.000687411598302685,0,0.000391891891891892,0.000190476190476191,0.00284848484848485,0.000211126961483595,0,0.000333333333333333,0.000397818181818185,0.00011764705882353,0.004,0.000390243902439023,0.000484346224677717,0.000333333333333333,0.000115384615384616,0.000944682722973712,4e-04,0.00073146328390209,0.000619469026548674,0.00133333333333333,0.000658914728682169,0.000610925644916538,0.000892857142857142,0.000439560439560441,0.000117647058823529,NA,0.000312524538672951,0,NA,NA,NA,0,0.000439484667029577,0.00857142857142857,0.000543209876543211,0.0016,-2e-04,-0.000352941176470588,-0.000615384615384615,-0.000571428571428571,NA,-0.00025,0.000436557231588286,0.000685714285714285,0.000594688221709007,0.000333333333333332,6.06060606060606e-05,-4.44089209850063e-19,0.000933463796477498
"VBFNED6",0.000933463796477498,0,0.000474226804123711,0.0219004253935965,0.00924637681159422,-0.000666666666666666,0,0.00184905660377358,0.00151219512195122,0,-0.000666666666666667,0.00466666666666667,0,0.0125137614678899,-0.008,0.00496774193548387,0,2.22044604925031e-19,0.00456859971711456,0,0.0170135135135135,0.000380952380952381,0.0145454545454545,0.00574037089871612,0,0.0125,0.00524036363636364,0.00352941176470588,0.019,0.00309756097560975,0.00909760589318601,0.00453333333333333,0.00269230769230769,0.00819971406576488,0.01128,0.00609201357870288,0.0101238938053097,0.0183333333333333,0.00605038759689923,0.00684491654021245,0.00264285714285714,0.00268131868131868,0.000352941176470588,NA,0.00389870435806832,0,NA,NA,NA,0,0.0198178189076392,0.0508571428571428,0.00518518518518519,0.0042,4e-04,0.000470588235294118,0.0066153846153846,0.002,NA,0.0134375,0.00629813664596273,0.00831428571428572,0.00722401847575058,0.00302222222222222,0.00103030303030303,0.0011858407079646
"DVMNED6",0.0011858407079646,0.00668297455968688,0.001,0.012540206185567,0.00424656751280354,-2.89855072463758e-05,0,0,-0.000490566037735849,4.44089209850063e-19,0,0,0,0,0.000330275229357799,-0.002,0.000387096774193548,0,0,0.000967468175388965,0,0.00194594594594595,0,0.00745454545454545,0.000707560627674749,0,0.00133333333333333,0.00176727272727273,0.000470588235294118,0.0205,0.00122560975609756,0.00280294659300184,6e-04,0.00138461538461538,0.00180380512482129,0.00224,0.00155583348222262,0.00217699115044248,0.00233333333333333,0.00286434108527132,0.00165857359635811,0.000428571428571428,0.000527472527472527,0,NA,0.00116372202591284,0,NA,NA,NA,0,0.00119651605879151,0.00485714285714286,0.000987654320987654,8e-04,1e-04,-0.000235294117647059,0.00107692307692308,0.000571428571428571,NA,0,0.00108251996450754,0.000759999999999998,0.00149538106235566,0.00113333333333333,0.000303030303030303
"VDPNED6",0.000303030303030303,0.000336283185840708,0.00183365949119374,0.001,0.00103505154639175,0.0149749939728751,0.00159420289855072,0,0,-0.00060377358490566,-0.000926829268292684,0,0.000666666666666667,0.000444444444444445,-0.000666666666666667,0.00137614678899083,-0.001,0.00116129032258064,0,-0.000333333333333333,0.00298444130127298,0,0.00745945945945947,0,0.00466666666666667,0.00337517831669044,0,0.00516666666666666,0.00388327272727273,0.00217647058823529,0.013,0.0024451219512195,0.0104475138121547,0.00466666666666666,0.00346153846153846,0.00892884636533598,0.00576,0.00489583705556548,0.00768141592920354,0.005,0.00448837209302326,0.00855477996965099,0.00217857142857143,0.00272527472527472,-0.000470588235294118,NA,0.00283156654888104,0,NA,NA,NA,0,0.00183233532934132,0.0154285714285714,0.00165432098765432,0.0018,-1e-04,-0.000117647058823529,0.00292307692307692,0,NA,0.000375,0.00448269742679682,0.00224571428571428,0.00485219399538106,0.00228888888888889
"NEGNED6",0.00228888888888889,0.0016969696969697,0.00180530973451328,0.00437377690802347,0,0.00490309278350514,0.0121189062033571,0.00327536231884058,-0.000666666666666666,0,0.00188679245283019,0.00151219512195122,0,0,0.00177777777777778,-0.000666666666666667,0.00227522935779816,0.002,0.00354838709677419,0,0.000666666666666667,0.0024073550212164,0,0.00351351351351352,9.52380952380951e-05,0.006,0.00168616262482168,0,0.00583333333333333,0.00331163636363636,0.00111764705882353,0.0225,0.00352439024390243,0.00426519337016575,0.00166666666666667,0.00119230769230769,0.00571582536016716,0.00624,0.00451098802930141,0.00497345132743363,0.0183333333333333,0.00422093023255814,0.00354446130500758,0.00146428571428571,0.00184615384615385,0.000352941176470588,NA,0.00202591283863369,0,NA,NA,NA,0,0.00568753402286337,0.00999999999999999,0.0014320987654321,0.0042,2.22044604925031e-19,-0.00176470588235294,-0.000153846153846153,-0.000285714285714286,NA,0.0041875,0.0036681455190772,0.00195428571428571,0.00397921478060045
"POSNED6",0.00397921478060045,0.00208888888888889,0.00103030303030303,0.000831858407079646,0.0140861056751468,0.001,0.00343505154639175,0.013570354662721,0.00695652173913045,0,0,0.00290566037735849,0.00448780487804878,0,0.000666666666666667,-0.00177777777777778,0.000666666666666667,0.00862385321100917,0.009,-0.00032258064516129,0,0,0.00307496463932107,0,0.00433783783783784,0.00114285714285714,0.0106666666666667,0.00479029957203994,0,0.00758333333333334,0.00365563636363636,0.002,0.025,0.00258536585365853,0.00401289134438306,0.002,0.00196153846153846,0.00549279665676894,0.00864000000000001,0.00386850098266929,0.00553982300884956,0.00966666666666666,0.00341860465116279,0.00381456752655539,0.00242857142857143,0.00103296703296703,0.000117647058823529,NA,0.00280329799764429,0,NA,NA,NA,0,0.0123454908365088,0.0382857142857142,0.00237037037037037,0.0026,-5e-04,0.00341176470588235,0.00615384615384615,0.000571428571428571,NA,0.00925,0.00337000887311447,0.00530285714285714
"MRNNED6",0.00530285714285714,0.00358545034642032,0.00206666666666667,0.000363636363636363,0.000530973451327435,0.0037866927592955,0,0.00398350515463917,0.00311994460037918,0.000202898550724637,0,0,0.000226415094339623,0.000780487804878049,0,0,-0.000222222222222222,0,0.00115596330275229,-0.001,6.45161290322589e-05,0,-0.000333333333333333,0.000557284299858554,0,0.000513513513513512,-9.52380952380953e-05,0.00242424242424242,0.00038231098430813,0,8.33333333333337e-05,0.000765090909090913,0.000294117647058824,0.01,0.000719512195121951,0.000845303867403316,0.000466666666666667,0.000538461538461538,0.00190344220829209,0.00184,0.00117866714311238,0.000690265486725665,0.005,0.00100387596899225,0.00124491654021244,0.000357142857142857,0.000681318681318681,-0.000235294117647059,NA,0.000433451118963488,0,NA,NA,NA,0,0.00105752132099438,0.00514285714285714,0.000629629629629631,0.001,2e-04,-0.000352941176470588,-0.000307692307692307,-0.000285714285714286,NA,0.0016875,0.000835847382431231
"TPINED6",0.000835847382431231,0.000468571428571427,0.00091339491916859,0.000688888888888888,0.000121212121212121,0.00015929203539823,0.00108610567514677,0,0.000969072164948455,0.00588157094246385,0.000463768115942029,0,0,-0.000754716981132075,0,0,0.000666666666666667,0.000666666666666667,0,0.000899082568807339,-0.001,0,0,0,0.00138896746817538,0,0.00248648648648649,-9.52380952380949e-05,0.004,0.000990014265335235,0,-8.3333333333333e-05,0.00181709090909091,0.00111764705882353,0.018,0.00123780487804878,0.00369981583793739,0.00146666666666667,0.00119230769230769,0.00300120972176399,0.00304,0.00242326246203323,0.00217699115044248,0.00533333333333333,0.00281395348837209,0.00269924127465857,0.00107142857142857,0.000923076923076923,-0.000117647058823529,NA,0.00118963486454653,0,NA,NA,NA,0,0.00109344946470695,0.00714285714285714,0.000962962962962965,0.0014,0.000700000000000001,0.000588235294117647,0.00215384615384615,0.000285714285714286,NA,0
