"","NAMES","Value"
"1","Abbeville",1
"2","Acadia",2
"3","Accomack",3
"4","Ada",4
"5","Adair",5
"6","Adams",6
"7","Addison",7
"8","Adjuntas",8
"9","Aguada",9
"10","Aguadilla",10
"11","Aguas Buenas",11
"12","Aibonito",12
"13","Aiken",13
"14","Aitkin",14
"15","Alachua",15
"16","Alamance",16
"17","Alameda",17
"18","Alamosa",18
"19","Albany",19
"20","Albemarle",20
"21","Alcona",21
"22","Alcorn",22
"23","Aleutians East",23
"24","Aleutians West",24
"25","Alexander",25
"26","Alexandria",26
"27","Alfalfa",27
"28","Alger",28
"29","Allamakee",29
"30","Allegan",30
"31","Allegany",31
"32","Alleghany",32
"33","Allegheny",33
"34","Allen",34
"35","Allendale",35
"36","Alpena",36
"37","Alpine",37
"38","Amador",38
"39","Amelia",39
"40","Amherst",40
"41","Amite",41
"42","Añasco",42
"43","Anchorage",43
"44","Anderson",44
"45","Andrew",45
"46","Andrews",46
"47","Androscoggin",47
"48","Angelina",48
"49","Anne Arundel",49
"50","Anoka",50
"51","Anson",51
"52","Antelope",52
"53","Antrim",53
"54","Apache",54
"55","Appanoose",55
"56","Appling",56
"57","Appomattox",57
"58","Aransas",58
"59","Arapahoe",59
"60","Archer",60
"61","Archuleta",61
"62","Arecibo",62
"63","Arenac",63
"64","Arkansas",64
"65","Arlington",65
"66","Armstrong",66
"67","Aroostook",67
"68","Arroyo",68
"69","Arthur",69
"70","Ascension",70
"71","Ashe",71
"72","Ashland",72
"73","Ashley",73
"74","Ashtabula",74
"75","Asotin",75
"76","Assumption",76
"77","Atascosa",77
"78","Atchison",78
"79","Athens",79
"80","Atkinson",80
"81","Atlantic",81
"82","Atoka",82
"83","Attala",83
"84","Audrain",84
"85","Audubon",85
"86","Auglaize",86
"87","Augusta",87
"88","Aurora",88
"89","Austin",89
"90","Autauga",90
"91","Avery",91
"92","Avoyelles",92
"93","Baca",93
"94","Bacon",94
"95","Bailey",95
"96","Baker",96
"97","Baldwin",97
"98","Ballard",98
"99","Baltimore",99
"100","Bamberg",100
"101","Bandera",101
"102","Banks",102
"103","Banner",103
"104","Bannock",104
"105","Baraga",105
"106","Barber",106
"107","Barbour",107
"108","Barceloneta",108
"109","Barnes",109
"110","Barnstable",110
"111","Barnwell",111
"112","Barranquitas",112
"113","Barren",113
"114","Barron",114
"115","Barrow",115
"116","Barry",116
"117","Bartholomew",117
"118","Barton",118
"119","Bartow",119
"120","Bastrop",120
"121","Bates",121
"122","Bath",122
"123","Baxter",123
"124","Bay",124
"125","Bayamón",125
"126","Bayfield",126
"127","Baylor",127
"128","Beadle",128
"129","Bear Lake",129
"130","Beaufort",130
"131","Beauregard",131
"132","Beaver",132
"133","Beaverhead",133
"134","Becker",134
"135","Beckham",135
"136","Bedford",136
"137","Bee",137
"138","Belknap",138
"139","Bell",139
"140","Belmont",140
"141","Beltrami",141
"142","Benewah",142
"143","Ben Hill",143
"144","Bennett",144
"145","Bennington",145
"146","Benson",146
"147","Bent",147
"148","Benton",148
"149","Benzie",149
"150","Bergen",150
"151","Berkeley",151
"152","Berks",152
"153","Berkshire",153
"154","Bernalillo",154
"155","Berrien",155
"156","Bertie",156
"157","Bethel",157
"158","Bexar",158
"159","Bibb",159
"160","Bienville",160
"161","Big Horn",161
"162","Big Stone",162
"163","Billings",163
"164","Bingham",164
"165","Blackford",165
"166","Black Hawk",166
"167","Bladen",167
"168","Blaine",168
"169","Blair",169
"170","Blanco",170
"171","Bland",171
"172","Bleckley",172
"173","Bledsoe",173
"174","Blount",174
"175","Blue Earth",175
"176","Boise",176
"177","Bolivar",177
"178","Bollinger",178
"179","Bond",179
"180","Bon Homme",180
"181","Bonner",181
"182","Bonneville",182
"183","Boone",183
"184","Borden",184
"185","Bosque",185
"186","Bossier",186
"187","Botetourt",187
"188","Bottineau",188
"189","Boulder",189
"190","Boundary",190
"191","Bourbon",191
"192","Bowie",192
"193","Bowman",193
"194","Box Butte",194
"195","Box Elder",195
"196","Boyd",196
"197","Boyle",197
"198","Bracken",198
"199","Bradford",199
"200","Bradley",200
"201","Branch",201
"202","Brantley",202
"203","Braxton",203
"204","Brazoria",204
"205","Brazos",205
"206","Breathitt",206
"207","Breckinridge",207
"208","Bremer",208
"209","Brevard",209
"210","Brewster",210
"211","Briscoe",211
"212","Bristol",212
"213","Bristol Bay",213
"214","Broadwater",214
"215","Bronx",215
"216","Brooke",216
"217","Brookings",217
"218","Brooks",218
"219","Broome",219
"220","Broomfield",220
"221","Broward",221
"222","Brown",222
"223","Brule",223
"224","Brunswick",224
"225","Bryan",225
"226","Buchanan",226
"227","Buckingham",227
"228","Bucks",228
"229","Buena Vista",229
"230","Buffalo",230
"231","Bullitt",231
"232","Bulloch",232
"233","Bullock",233
"234","Buncombe",234
"235","Bureau",235
"236","Burke",236
"237","Burleigh",237
"238","Burleson",238
"239","Burlington",239
"240","Burnet",240
"241","Burnett",241
"242","Burt",242
"243","Butler",243
"244","Butte",244
"245","Butts",245
"246","Cabarrus",246
"247","Cabell",247
"248","Cabo Rojo",248
"249","Cache",249
"250","Caddo",250
"251","Caguas",251
"252","Calaveras",252
"253","Calcasieu",253
"254","Caldwell",254
"255","Caledonia",255
"256","Calhoun",256
"257","Callahan",257
"258","Callaway",258
"259","Calloway",259
"260","Calumet",260
"261","Calvert",261
"262","Camas",262
"263","Cambria",263
"264","Camden",264
"265","Cameron",265
"266","Camp",266
"267","Campbell",267
"268","Camuy",268
"269","Canadian",269
"270","Candler",270
"271","Cannon",271
"272","Canóvanas",272
"273","Canyon",273
"274","Cape Girardeau",274
"275","Cape May",275
"276","Carbon",276
"277","Caribou",277
"278","Carlisle",278
"279","Carlton",279
"280","Carolina",280
"281","Caroline",281
"282","Carroll",282
"283","Carson",283
"284","Carson City",284
"285","Carter",285
"286","Carteret",286
"287","Carver",287
"288","Cascade",288
"289","Casey",289
"290","Cass",290
"291","Cassia",291
"292","Castro",292
"293","Caswell",293
"294","Catahoula",294
"295","Cataño",295
"296","Catawba",296
"297","Catoosa",297
"298","Catron",298
"299","Cattaraugus",299
"300","Cavalier",300
"301","Cayey",301
"302","Cayuga",302
"303","Cecil",303
"304","Cedar",304
"305","Ceiba",305
"306","Centre",306
"307","Cerro Gordo",307
"308","Chaffee",308
"309","Chambers",309
"310","Champaign",310
"311","Chariton",311
"312","Charles",312
"313","Charles City",313
"314","Charles Mix",314
"315","Charleston",315
"316","Charlevoix",316
"317","Charlotte",317
"318","Charlottesville",318
"319","Charlton",319
"320","Chase",320
"321","Chatham",321
"322","Chattahoochee",322
"323","Chattooga",323
"324","Chautauqua",324
"325","Chaves",325
"326","Cheatham",326
"327","Cheboygan",327
"328","Chelan",328
"329","Chemung",329
"330","Chenango",330
"331","Cherokee",331
"332","Cherry",332
"333","Chesapeake",333
"334","Cheshire",334
"335","Chester",335
"336","Chesterfield",336
"337","Cheyenne",337
"338","Chickasaw",338
"339","Chicot",339
"340","Childress",340
"341","Chilton",341
"342","Chippewa",342
"343","Chisago",343
"344","Chittenden",344
"345","Choctaw",345
"346","Chouteau",346
"347","Chowan",347
"348","Christian",348
"349","Churchill",349
"350","Ciales",350
"351","Cibola",351
"352","Cidra",352
"353","Cimarron",353
"354","Citrus",354
"355","Clackamas",355
"356","Claiborne",356
"357","Clallam",357
"358","Clare",358
"359","Clarendon",359
"360","Clarion",360
"361","Clark",361
"362","Clarke",362
"363","Clatsop",363
"364","Clay",364
"365","Clayton",365
"366","Clear Creek",366
"367","Clearfield",367
"368","Clearwater",368
"369","Cleburne",369
"370","Clermont",370
"371","Cleveland",371
"372","Clinch",372
"373","Clinton",373
"374","Cloud",374
"375","Coahoma",375
"376","Coal",376
"377","Coamo",377
"378","Cobb",378
"379","Cochise",379
"380","Cochran",380
"381","Cocke",381
"382","Coconino",382
"383","Codington",383
"384","Coffee",384
"385","Coffey",385
"386","Coke",386
"387","Colbert",387
"388","Cole",388
"389","Coleman",389
"390","Coles",390
"391","Colfax",391
"392","Colleton",392
"393","Collier",393
"394","Collin",394
"395","Collingsworth",395
"396","Colonial Heights",396
"397","Colorado",397
"398","Colquitt",398
"399","Columbia",399
"400","Columbiana",400
"401","Columbus",401
"402","Colusa",402
"403","Comal",403
"404","Comanche",404
"405","Comerío",405
"406","Concho",406
"407","Concordia",407
"408","Conecuh",408
"409","Conejos",409
"410","Contra Costa",410
"411","Converse",411
"412","Conway",412
"413","Cook",413
"414","Cooke",414
"415","Cooper",415
"416","Coos",416
"417","Coosa",417
"418","Copiah",418
"419","Corozal",419
"420","Corson",420
"421","Cortland",421
"422","Coryell",422
"423","Coshocton",423
"424","Costilla",424
"425","Cottle",425
"426","Cotton",426
"427","Cottonwood",427
