Value,Count,OBJECTID_1,pmaterial_class,fg_pm_group,pmaterial_class_f
1,"203,920,490",4,Alluvium,Waterlaid (or Transported) Deposits,Alluvium
2,"56,131,950",17,Colluvium,Mass Movement Deposits,Colluvium
3,"33,974,541",35,Eolian deposits,Eolian Deposits (nonvolcanic),Eolian Deposits (nonvolcanic)
4,"170,350,772",77,Residuum,In-Place Deposits (nontransported),Residuum - Slope Alluvium
5,"18,407,702",36,Eolian sands,Eolian Deposits (nonvolcanic),Eolian sands
6,"28,717,241",NULL,Woody organic material,Organic Deposits,Woody organic material
7,"19,608,480",95,Slope alluvium,Waterlaid (or Transported) Deposits,Residuum - Slope Alluvium
8,"7,800,550",50,Lacustrine deposits,Waterlaid (or Transported) Deposits,Lacustrine deposits
9,"10,470,955",106,Volcanic ash,Volcanic Deposits (unconsolidated; eolian and mass movement),Volcanic ash
10,"2,232,225",69,Organic material,Organic Deposits,Organic material
11,"207,036",15,Cinders,Volcanic Deposits (unconsolidated; eolian and mass movement),Cinders
12,"10,013,664",70,Outwash,Glacial and Periglacial Deposits,Outwash
13,"62,377,890",102,Till,Glacial and Periglacial Deposits,Basal till
14,"94,059",18,Complex landslide deposits,Mass Movement Deposits,Complex landslide deposits
15,"26,917",91,shale,Miscoded - should be pmorigin,shale
16,"37,638",24,Debris flow deposits,Mass Movement Deposits,Debris flow deposits
17,"81,519,434",57,Loess,Eolian Deposits (nonvolcanic),Eolian Deposits (nonvolcanic)
18,"1,378,377",72,Pedisediment,Waterlaid (or Transported) Deposits,Pedisediment
19,"138,549",60,Mass movement deposits,Mass Movement Deposits,Mass movement deposits
20,"4,494,724",47,Herbaceous organic material,Organic Deposits,Herbaceous organic material
21,"18,216,959",40,Fluviomarine deposits,Waterlaid (or Transported) Deposits,Fluviomarine deposits
22,"64,649",31,Dredge spoils,Anthropogenic Deposits,Dredge spoils
23,"45,507,505",58,Marine deposits,Waterlaid (or Transported) Deposits,Marine deposits
24,"11,181,340",41,Glaciofluvial deposits,Glacial and Periglacial Deposits,Glaciofluvial deposits
25,"10,651,568",42,Glaciolacustrine deposits,Glacial and Periglacial Deposits,Glaciolacustrine deposits
26,"196,958",67,Mudflow deposits,Mass Movement Deposits,Mudflow deposits
27,"509,146",73,Pumice,Volcanic Deposits (unconsolidated; eolian and mass movement),Pumice
28,"13,144",87,Scoria,Volcanic Deposits (unconsolidated; eolian and mass movement),Scoria
29,"199,965",37,Estuarine deposits,Waterlaid (or Transported) Deposits,Estuarine deposits
30,"111,452",48,Human-transported material,Anthropogenic Deposits,Human-transported material
31,"1,403,795",2,Ablation till,Glacial and Periglacial Deposits,Ablation till
