"","NAMES","Value"
"1","Alkalic intrusive rock",1
"2","Alkalic volcanic rock",2
"3","Alkali-feldspar granite",3
"4","Alkali-feldspar syenite",4
"5","Alkaline basalt",5
"6","Alkali rhyolite",6
"7","Alluvial fan",7
"8","Alluvial terrace",8
"9","Alluvium",9
"10","Amphibole schist",10
"11","Amphibolite",11
"12","Andesite",12
"13","Anorthosite",13
"14","Aplite",14
"15","Arenite",15
"16","Argillite",16
"17","Arkose",17
"18","Ash-flow tuff",18
"19","Augen gneiss",19
"20","Basalt",20
"21","Beach sand",21
"22","Bimodal suite",22
"23","Biogenic sediment",23
"24","Biotite gneiss",24
"25","Black shale",25
"26","Blueschist",26
"27","Calcarenite",27
"28","Calc-silicate rock",28
"29","Carbonate rock",29
"30","Charnockite",30
"31","Chert",31
"32","Clastic rock",32
"33","Clay or mud",33
"34","Claystone",34
"35","Coarse-grained mixed clastic rock",35
"36","Conglomerate",36
"37","Dacite",37
"38","Delta",38
"39","Diabase",39
"40","Diorite",40
"41","Dolostone",41
"42","Dune sand",42
"43","Dunite",43
"44","Eolian material",44
"45","Evaporite",45
"46","Felsic gneiss",46
"47","Felsic metavolcanic rock",47
"48","Felsic volcanic rock",48
"49","Fine-grained mixed clastic rock",49
"50","Flood plain",50
"51","Gabbro",51
"52","Gabbroid",52
"53","Glacial drift",53
"54","Glacial outwash sediment",54
"55","Glaciolacustrine sediment",55
"56","Gneiss",56
"57","Granite",57
"58","Granitic gneiss",58
"59","Granitoid",59
"60","Granodiorite",60
"61","Granofels",61
"62","Granulite",62
"63","Gravel",63
"64","Graywacke",64
"65","Greenschist",65
"66","Greenstone",66
"67","Hornblendite",67
"68","Hornfels",68
"69","ice",69
"70","Ignimbrite",70
"71","Intermediate metavolcanic rock",71
"72","Intermediate volcanic rock",72
"73","Iron formation",73
"74","Kimberlite",74
"75","Lake or marine sediment",75
"76","Lamprophyre",76
"77","Landslide",77
"78","Latite",78
"79","Lava flow",79
"80","Limestone",80
"81","Loess",81
"82","Mafic gneiss",82
"83","Mafic metavolcanic rock",83
"84","Mafic volcanic rock",84
"85","Marble",85
"86","Medium-grained mixed clastic rock",86
"87","Melange",87
"88","Meta-argillite",88
"89","Metabasalt",89
"90","Metaconglomerate",90
"91","Metamorphic rock",91
"92","Metarhyolite",92
"93","Metasedimentary rock",93
"94","Metavolcanic rock",94
"95","Mica schist",95
"96","Migmatite",96
"97","Mixed carbonate/clastic rock",97
"98","Mixed volcanic/clastic rock",98
"99","Monzodiorite",99
"100","Monzonite",100
"101","Moraine",101
"102","Mud flat",102
"103","Mudstone",103
"104","Mylonite",104
"105","Nepheline syenite",105
"106","Norite",106
"107","Novaculite",107
"108","Oil shale",108
"109","Olistostrome",109
"110","Orthogneiss",110
"111","Orthoquartzite",111
"112","Paragneiss",112
"113","Peat",113
"114","Pegmatite",114
"115","Pelitic schist",115
"116","Peraluminous granite",116
"117","Peridotite",117
"118","Phonolite",118
"119","Phyllite",119
"120","Phyllonite",120
"121","Playa",121
"122","Plutonic rock",122
"123","Porphyry",123
"124","Pyroclastic rock",124
"125","Pyroxenite",125
"126","Quartz diorite",126
"127","Quartz-feldspar schist",127
"128","Quartzite",128
"129","Quartz latite",129
"130","Quartz monzodiorite",130
"131","Quartz monzonite",131
"132","Quartz syenite",132
"133","Rhyodacite",133
"134","Rhyolite",134
"135","Sand",135
"136","Sandstone",136
"137","Schist",137
"138","Sedimentary breccia",138
"139","Sedimentary rock",139
"140","Serpentinite",140
"141","Shale",141
"142","Silt",142
"143","Siltstone",143
"144","Slate",144
"145","Stratified glacial sediment",145
"146","Syenite",146
"147","Tectonic breccia",147
"148","Tectonite",148
"149","Tephrite",149
"150","Terrace",150
"151","Tholeiite",151
"152","Till",152
"153","Tonalite",153
"154","Trachyandesite",154
"155","Trachybasalt",155
"156","Trachyte",156
"157","Troctolite",157
"158","Trondhjemite",158
"159","Tuff",159
"160","Ultramafic intrusive rock",160
"161","Ultramafic rock",161
"162","Ultramafitite",162
"163","Unconsolidated material",163
"164","Unknown",164
"165","Volcanic ash",165
"166","Volcanic breccia",166
"167","Volcanic rock",167
"168","Wacke",168
"169","water",169
