"","NAMES","Value"
"1","Abyei",1
"2","Afghanistan",2
"3","Aksai Chin",3
"4","Albania",4
"5","Algeria",5
"6","American Samoa",6
"7","Andorra",7
"8","Angola",8
"9","Anguilla",9
"10","Antarctica",10
"11","Antigua and Barbuda",11
"12","Argentina",12
"13","Armenia",13
"14","Aruba",14
"15","Arunachal Pradesh",15
"16","Ashmore and Cartier Islands",16
"17","Australia",17
"18","Austria",18
"19","Azerbaijan",19
"20","Azores Islands",20
"21","Bahamas",21
"22","Bahrain",22
"23","Baker Island",23
"24","Bangladesh",24
"25","Barbados",25
"26","Bassas da India",26
"27","Belarus",27
"28","Belgium",28
"29","Belize",29
"30","Benin",30
"31","Bermuda",31
"32","Bhutan",32
"33","Bird Island",33
"34","Bolivia",34
"35","Bosnia and Herzegovina",35
"36","Botswana",36
"37","Bouvet Island",37
"38","Brazil",38
"39","British Indian Ocean Territory",39
"40","British Virgin Islands",40
"41","Brunei Darussalam",41
"42","Bulgaria",42
"43","Burkina Faso",43
"44","Burundi",44
"45","Cambodia",45
"46","Cameroon",46
"47","Canada",47
"48","Cape Verde",48
"49","Cayman Islands",49
"50","Central African Republic",50
"51","Chad",51
"52","Chile",52
"53","China",53
"54","China/India",54
"55","Christmas Island",55
"56","Clipperton Island",56
"57","Cocos (Keeling) Islands",57
"58","Colombia",58
"59","Comoros",59
"60","Congo",60
"61","Cook Islands",61
"62","Costa Rica",62
"63","Croatia",63
"64","Côte d'Ivoire",64
"65","Cuba",65
"66","Cyprus",66
"67","Czech Republic",67
"68","Democratic Republic of the Congo",68
"69","Dem People's Rep of Korea",69
"70","Denmark",70
"71","Djibouti",71
"72","Dominica",72
"73","Dominican Republic",73
"74","Ecuador",74
"75","Egypt",75
"76","El Salvador",76
"77","Equatorial Guinea",77
"78","Eritrea",78
"79","Estonia",79
"80","Ethiopia",80
"81","Europa Island",81
"82","Falkland Islands (Malvinas)",82
"83","Faroe Islands",83
"84","Fiji",84
"85","Finland",85
"86","France",86
"87","French Guiana",87
"88","French Polynesia",88
"89","French Southern and Antarctic Territories",89
"90","Gabon",90
"91","Gambia",91
"92","Gaza Strip",92
"93","Georgia",93
"94","Germany",94
"95","Ghana",95
"96","Gibraltar",96
"97","Glorioso Island",97
"98","Greece",98
"99","Greenland",99
"100","Grenada",100
"101","Guadeloupe",101
"102","Guam",102
"103","Guatemala",103
"104","Guernsey",104
"105","Guinea",105
"106","Guinea-Bissau",106
"107","Guyana",107
"108","Haiti",108
"109","Hala'ib triangle",109
"110","Heard Island and McDonald Islands",110
"111","Holy See",111
"112","Honduras",112
"113","Hong Kong",113
"114","Howland Island",114
"115","Hungary",115
"116","Iceland",116
"117","Ilemi triangle",117
"118","India",118
"119","Indonesia",119
"120","Iran  (Islamic Republic of)",120
"121","Iraq",121
"122","Ireland",122
"123","Isle of Man",123
"124","Israel",124
"125","Italy",125
"126","Jamaica",126
"127","Jammu and Kashmir",127
"128","Japan",128
"129","Jarvis Island",129
"130","Jersey",130
"131","Johnston Atoll",131
"132","Jordan",132
"133","Juan de Nova Island",133
"134","Kazakhstan",134
"135","Kenya",135
"136","Kingman Reef",136
"137","Kiribati",137
"138","Kuril islands",138
"139","Kuwait",139
"140","Kyrgyzstan",140
"141","Lao People's Democratic Republic",141
"142","Latvia",142
"143","Lebanon",143
"144","Lesotho",144
"145","Liberia",145
"146","Libya",146
"147","Liechtenstein",147
"148","Lithuania",148
"149","Luxembourg",149
"150","Macau",150
"151","Madagascar",151
"152","Madeira Islands",152
"153","Malawi",153
"154","Malaysia",154
"155","Maldives",155
"156","Mali",156
"157","Malta",157
"158","Marshall Islands",158
"159","Martinique",159
"160","Ma'tan al-Sarra",160
"161","Mauritania",161
"162","Mauritius",162
"163","Mayotte",163
"164","Mexico",164
"165","Micronesia (Federated States of)",165
"166","Midway Island",166
"167","Moldova, Republic of",167
"168","Monaco",168
"169","Mongolia",169
"170","Montenegro",170
"171","Montserrat",171
"172","Morocco",172
"173","Mozambique",173
"174","Myanmar",174
"175","Namibia",175
"176","Nauru",176
"177","Navassa Island",177
"178","Nepal",178
"179","Netherlands",179
"180","Netherlands Antilles",180
"181","New Caledonia",181
"182","New Zealand",182
"183","Nicaragua",183
"184","Niger",184
"185","Nigeria",185
"186","Niue",186
"187","Norfolk Island",187
"188","Northern Mariana Islands",188
"189","Norway",189
"190","Oman",190
"191","Pakistan",191
"192","Palau",192
"193","Palmyra Atoll",193
"194","Panama",194
"195","Papua New Guinea",195
"196","Paracel Islands",196
"197","Paraguay",197
"198","Peru",198
"199","Philippines",199
"200","Pitcairn",200
"201","Poland",201
"202","Portugal",202
"203","Puerto Rico",203
"204","Qatar",204
"205","Republic of Korea",205
"206","Romania",206
"207","Réunion",207
"208","Russian Federation",208
"209","Rwanda",209
"210","Saint Helena",210
"211","Saint Kitts and Nevis",211
"212","Saint Lucia",212
"213","Saint Pierre et Miquelon",213
"214","Saint Vincent and the Grenadines",214
"215","Samoa",215
"216","San Marino",216
"217","Sao Tome and Principe",217
"218","Saudi Arabia",218
"219","Scarborough Reef",219
"220","Senegal",220
"221","Senkaku Islands",221
"222","Serbia",222
"223","Seychelles",223
"224","Sierra Leone",224
"225","Singapore",225
"226","Slovakia",226
"227","Slovenia",227
"228","Solomon Islands",228
"229","Somalia",229
"230","South Africa",230
"231","South Georgia and the South Sandwich Islands",231
"232","South Sudan",232
"233","Spain",233
"234","Spratly Islands",234
"235","Sri Lanka",235
"236","Sudan",236
"237","Suriname",237
"238","Svalbard and Jan Mayen Islands",238
"239","Swaziland",239
"240","Sweden",240
"241","Switzerland",241
"242","Syrian Arab Republic",242
"243","Taiwan",243
"244","Tajikistan",244
"245","Thailand",245
"246","The former Yugoslav Republic of Macedonia",246
"247","Timor-Leste",247
"248","Togo",248
"249","Tokelau",249
"250","Tonga",250
"251","Trinidad and Tobago",251
"252","Tromelin Island",252
"253","Tunisia",253
"254","Turkey",254
"255","Turkmenistan",255
"256","Turks and Caicos islands",256
"257","Tuvalu",257
"258","Uganda",258
"259","U.K. of Great Britain and Northern Ireland",259
"260","Ukraine",260
"261","United Arab Emirates",261
"262","United Republic of Tanzania",262
"263","United States of America",263
"264","United States Virgin Islands",264
"265","Uruguay",265
"266","Uzbekistan",266
"267","Vanuatu",267
"268","Venezuela",268
"269","Viet Nam",269
"270","Wake Island",270
"271","Wallis and Futuna",271
"272","West Bank",272
"273","Western Sahara",273
"274","Yemen",274
"275","Zambia",275
"276","Zimbabwe",276
