FileName,SERIES_NAME,VARIABLE_NAME,ATTRIBUTE_TITLE,KEYWORD1,KEYWORD2,ATTRIBUTE_LABEL,CONFIDENCE_INTERVAL,DEPTH,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,CITATION_ADDRESS,PUBLICATION_DATE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,SLD_URL,SLD_NAME,NO_DATA,DATA_FORMAT
BDRICM_M_250m_ll.tif,SoilGrids250m,Depth to bedrock (R horizon) up to 200 cm,Depth to bedrock (R horizon) up to 200 cm,bedrock,depth,BDRICM_M,M,None,0.00 m,2.00 m,0,4000,1,cm,http://www.isric.org/data/soilgrids,"College of Global Change and Earth System Science, Beijing Normal University / ISRIC - World Soil Information",shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BDRICM_M_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BDRICM.sld,soilgrids250m:BDRICM,-99999,Int32
BDRLOG_M_250m_ll.tif,SoilGrids250m,Predicted probability of occurrence (0-100%) of R horizon,Predicted probability of occurence (0-100%) of R horizon,bedrock,depth,BDRLOG_M,M,None,0.00 m,2.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,"College of Global Change and Earth System Science, Beijing Normal University / ISRIC - World Soil Information",shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BDRLOG_M_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BDRLOG.sld,soilgrids250m:BDRLOG,255,Byte
BDTICM_M_250m_ll.tif,SoilGrids250m,Absolute depth to bedrock (in cm),Absolute depth to bedrock (in cm),bedrock,depth,BDTICM_M,M,None,0.00 m,5000.00 m,0,200,1,cm,http://www.isric.org/data/soilgrids,"College of Global Change and Earth System Science, Beijing Normal University / ISRIC - World Soil Information",shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BDTICM_M_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BDTICM.sld,soilgrids250m:BDTICM,255,Byte
BLDFIE_M_sl1_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.00 m,bulk,density,BLDFIE_M_sl1,M,0.00 m,0.00 m,0.00 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl2_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.05 m,bulk,density,BLDFIE_M_sl2,M,0.05 m,0.05 m,0.05 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl3_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.15 m,bulk,density,BLDFIE_M_sl3,M,0.15 m,0.15 m,0.15 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl4_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.30 m,bulk,density,BLDFIE_M_sl4,M,0.30 m,0.30 m,0.30 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl5_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.60 m,bulk,density,BLDFIE_M_sl5,M,0.60 m,0.60 m,0.60 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl5_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl6_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 1.00 m,bulk,density,BLDFIE_M_sl6,M,1.00 m,1.00 m,1.00 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl6_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
BLDFIE_M_sl7_250m_ll.tif,SoilGrids250m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 2.00 m,bulk,density,BLDFIE_M_sl7,M,2.00 m,2.00 m,2.00 m,50,2650,1,kg / cubic-m,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl7_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/BLDFIE.sld,soilgrids250m:BLDFIE,-32768,Int16
