"","Fields","Values"
"1","fileIdentifier.CharacterString","4c59ee58-a24e-4154-912e-0ff18395ac0d"
"2","language.LanguageCode.codeList","http://www.loc.gov/standards/iso639-2/"
"3","language.LanguageCode.codeListValue","eng"
"4","characterSet.MD_CharacterSetCode.codeListValue","utf8"
"5","characterSet.MD_CharacterSetCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#MD_CharacterSetCode"
"6","contact.CI_ResponsibleParty.individualName.CharacterString","Tom Hengl"
"7","contact.CI_ResponsibleParty.organisationName.CharacterString","ISRIC - World Soil Information"
"8","contact.CI_ResponsibleParty.positionName.CharacterString","Senior Soil Scientist"
"9","contact.CI_ResponsibleParty.contactInfo.CI_Contact.phone.CI_Telephone.voice..attrs.nilReason","missing"
"10","contact.CI_ResponsibleParty.contactInfo.CI_Contact.phone.CI_Telephone.facsimile..attrs.nilReason","missing"
"11","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.deliveryPoint.CharacterString","PO Box 353"
"12","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.city.CharacterString","Wageningen"
"13","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.administrativeArea..attrs.nilReason","missing"
"14","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.postalCode.CharacterString","6700 AJ"
"15","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.country.CharacterString","Netherlands"
"16","contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString","tom.hengl@isric.org"
"17","contact.CI_ResponsibleParty.role.CI_RoleCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode"
"18","contact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue","pointOfContact"
"19","dateStamp.DateTime","2017-09-29T12:39:39"
"20","metadataStandardName.CharacterString","ISO 19115:2003/19139"
"21","metadataStandardVersion.CharacterString","2003/Cor.1:2006"
"22","referenceSystemInfo.MD_ReferenceSystem.referenceSystemIdentifier.RS_Identifier.code.CharacterString","+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"23","referenceSystemInfo.MD_ReferenceSystem.referenceSystemIdentifier.RS_Identifier.codeSpace.CharacterString","proj4"
"24","identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString","SoilGrids250m - pH in H2O"
"25","identificationInfo.MD_DataIdentification.citation.CI_Citation.date.CI_Date.date.Date","2017-03-10"
"26","identificationInfo.MD_DataIdentification.citation.CI_Citation.date.CI_Date.dateType.CI_DateTypeCode.codeListValue","creation"
"27","identificationInfo.MD_DataIdentification.citation.CI_Citation.date.CI_Date.dateType.CI_DateTypeCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_DateTypeCode"
"28","identificationInfo.MD_DataIdentification.citation.CI_Citation.edition.CharacterString","2017-03"
"29","identificationInfo.MD_DataIdentification.citation.CI_Citation.identifier.RS_Identifier.code.CharacterString","PHIHOX_M"
"30","identificationInfo.MD_DataIdentification.citation.CI_Citation.identifier.RS_Identifier.codeSpace..attrs.nilReason","missing"
"31","identificationInfo.MD_DataIdentification.citation.CI_Citation.presentationForm.CI_PresentationFormCode.codeListValue","mapDigital"
"32","identificationInfo.MD_DataIdentification.citation.CI_Citation.presentationForm.CI_PresentationFormCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_PresentationFormCode"
"33","identificationInfo.MD_DataIdentification.abstract.CharacterString","Soil pH x 10 in H2O from 0 cm depth to 200 cm (INCOMPLETE)"
"34","identificationInfo.MD_DataIdentification.purpose..attrs.nilReason","missing"
"35","identificationInfo.MD_DataIdentification.status.MD_ProgressCode.codeListValue","completed"
"36","identificationInfo.MD_DataIdentification.status.MD_ProgressCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#MD_ProgressCode"
"37","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.individualName.CharacterString","Tom Hengl"
"38","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.organisationName.CharacterString","ISRIC - World Soil Information"
"39","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.positionName.CharacterString","Senior Soil Scientist"
"40","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.phone.CI_Telephone.voice..attrs.nilReason","missing"
"41","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.phone.CI_Telephone.facsimile..attrs.nilReason","missing"
"42","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.deliveryPoint..attrs.nilReason","missing"
"43","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.city.CharacterString","Wageningen"
"44","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.administrativeArea..attrs.nilReason","missing"
"45","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.postalCode.CharacterString","PO Box 353, 6700 AJ"
"46","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.country.CharacterString","Netherlands"
"47","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString","tom.hengl@isric.org"
"48","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue","author"
"49","identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode"
"50","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.maintenanceAndUpdateFrequency.MD_MaintenanceFrequencyCode.codeListValue","asNeeded"
"51","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.maintenanceAndUpdateFrequency.MD_MaintenanceFrequencyCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#MD_MaintenanceFrequencyCode"
"52","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.individualName.CharacterString","Tom Hengl"
"53","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.organisationName.CharacterString","ISRIC - World Soil Information"
"54","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString","tom.hengl@isric.org"
"55","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.role.CI_RoleCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode"
"56","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue","pointOfContact"
"57","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.individualName.CharacterString","Eloi Ribeiro"
"58","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.organisationName.CharacterString","ISRIC - World Soil Information"
"59","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString","eloi.carvalhoribeiro@wur.nl"
"60","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.role.CI_RoleCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode"
"61","identificationInfo.MD_DataIdentification.resourceMaintenance.MD_MaintenanceInformation.contact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue","author"
"62","identificationInfo.MD_DataIdentification.graphicOverview.MD_BrowseGraphic.fileName.CharacterString","http://data.isric.org/geoserver/www/thumbnails/sg250m/55.png"
"63","identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.CharacterString","Soil"
"64","identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.CharacterString","pH"
"65","identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.CharacterString","SoilGrids250m"
"66","identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeListValue","stratum"
"67","identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#MD_KeywordTypeCode"
"68","identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeListValue","license"
"69","identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#MD_RestrictionCode"
"70","identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeListValue","license"
"71","identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeList","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#MD_RestrictionCode"
