"","Value","OCS_mT","Total_Area_km2","ADM0_NAME","ADM1_NAME_filename","OCS_t_ha"
"1",1,47.2,10057.68,"Abyei","abyei-administrative-unit-not-available",47
"2",2,793.7,37036.8,"Afghanistan","afghanistan-badakhshan",214
"3",3,119,20555.64,"Afghanistan","afghanistan-badghis",58
"4",4,168,17643.42,"Afghanistan","afghanistan-baghlan",95
"5",5,56.5,16586.28,"Afghanistan","afghanistan-balkh",34
"6",6,262.1,17741.97,"Afghanistan","afghanistan-bamyan",148
"7",7,120.5,15832.35,"Afghanistan","afghanistan-daykundi",76
"8",8,83.8,49026.69,"Afghanistan","afghanistan-farah",17
"9",9,113.2,20674.35,"Afghanistan","afghanistan-faryab",55
"10",10,172.1,21586.23,"Afghanistan","afghanistan-ghazni",80
"11",11,342.4,36959.85,"Afghanistan","afghanistan-ghor",93
"12",12,73.4,59738.13,"Afghanistan","afghanistan-hilmand",12
"13",13,149,54665.28,"Afghanistan","afghanistan-hirat",27
"14",14,34.3,11163.6,"Afghanistan","afghanistan-jawzjan",31
"15",15,23.2,4572.81,"Afghanistan","afghanistan-kabul",51
"16",16,64.6,54375.12,"Afghanistan","afghanistan-kandahar",12
"17",17,15.7,1862.82,"Afghanistan","afghanistan-kapisa",84
"18",18,24.9,4327.92,"Afghanistan","afghanistan-khost",58
"19",19,52.3,4862.43,"Afghanistan","afghanistan-kunar",108
"20",20,26.6,7848.36,"Afghanistan","afghanistan-kunduz",34
"21",21,28.5,3810.15,"Afghanistan","afghanistan-laghman",75
"22",22,29,4335.84,"Afghanistan","afghanistan-logar",67
"23",23,39.6,7427.16,"Afghanistan","afghanistan-nangarhar",53
"24",24,35.7,40210.65,"Afghanistan","afghanistan-nimroz",9
"25",25,152.8,8395.56,"Afghanistan","afghanistan-nuristan",182
"26",26,58.6,19174.05,"Afghanistan","afghanistan-paktika",31
"27",27,38.1,5347.89,"Afghanistan","afghanistan-paktya",71
"28",28,73.8,3537.9,"Afghanistan","afghanistan-panjsher",209
"29",29,62.7,5667.66,"Afghanistan","afghanistan-parwan",111
"30",30,77.1,12991.68,"Afghanistan","afghanistan-samangan",59
"31",31,154.9,15352.02,"Afghanistan","afghanistan-sar-e-pul",101
"32",32,119.9,11972.25,"Afghanistan","afghanistan-takhar",100
"33",33,44.3,10984.23,"Afghanistan","afghanistan-uruzgan",40
"34",34,124.5,10648.89,"Afghanistan","afghanistan-wardak",117
"35",35,54.9,17411.94,"Afghanistan","afghanistan-zabul",32
"36",36,261.4,26613,"Aksai Chin","aksai-chin-administrative-unit-not-available",98
"37",37,7.7,873.81,"Albania","albania-berat",88
"38",38,8.6,692.55,"Albania","albania-bulqize",124
"39",39,3.3,336.6,"Albania","albania-delvine",98
"40",40,4.8,468.81,"Albania","albania-devoll",103
"41",41,12.3,975.87,"Albania","albania-diber",126
"42",42,3.9,420.66,"Albania","albania-durres",93
"43",43,11.4,1234.89,"Albania","albania-elbasan",92
"44",44,6.6,780.39,"Albania","albania-fier",84
"45",45,13.4,1186.02,"Albania","albania-gjirokaster",113
"46",46,7.6,742.86,"Albania","albania-gramsh",102
"47",47,4.3,395.28,"Albania","albania-has",109
"48",48,3.4,386.91,"Albania","albania-kavaje",87
"49",49,9.1,857.16,"Albania","albania-kolonje",106
"50",50,18.5,1681.38,"Albania","albania-korce",110
"51",51,3.1,323.1,"Albania","albania-kruje",97
"52",52,0.6,88.65,"Albania","albania-kucove",73
"53",53,11.7,937.26,"Albania","albania-kukes",125
"54",54,2.7,245.97,"Albania","albania-kurbin",108
"55",55,5.2,480.69,"Albania","albania-lezhe",107
"56",56,13.2,1107.27,"Albania","albania-librazhd",119
"57",57,6,657.36,"Albania","albania-lushnje",91
