"","Country_NAME","Total_OCS_1m_Pg","Total_OCS_2m_Pg","Total_OCS_1m_N"
"1","Abyei",0.3,0.1,10449
"2","Afghanistan",9.7,2,888892
"3","Aksai Chin",12.1,4.6,283235
"4","Albania",17.6,5.4,629623
"5","Algeria",6.7,0.8,2387265
"6","American Samoa",9.6,2.3,947070
"7","Andorra",257.5,80,9383619
"8","Angola",12.8,3.1,1255054
"9","Anguilla",3.3,0.7,177757
"10","Antarctica",5.5,1.8,12934087
"11","Antigua and Barbuda",0.4,0.1,14966
"12","Argentina",61.9,18,3712950
"13","Armenia",9.5,3.2,362890
"14","Aruba",0,0,262
"15","Arunachal Pradesh",3.2,0.5,69581
"16","Ashmore and Cartier Islands",0,0,5612
"17","Australia",57.7,13.2,8009878
"18","Austria",5.2,1.3,543187
"19","Azerbaijan",9.2,2.4,916893
"20","Azores Islands",2.6,0.5,395306
"21","Bahamas",1.1,0.4,18401
"22","Bahrain",0,0,870
"23","Baker Island",0,0,6
"24","Bangladesh",5.9,2.6,144714
"25","Barbados",0,0,494
"26","Bassas da India",0,0,12
"27","Belarus",10.1,4.3,206497
"28","Belgium",0.5,0.2,31341
"29","Belize",0.7,0.2,23357
"30","Benin",0.6,0.1,117074
"31","Bermuda",0,0,132
"32","Bhutan",1.3,0.2,38244
"33","Bird Island",0,0,2
"34","Bolivia",16.2,4,1091143
"35","Bosnia and Herzegovina",1.4,0.4,51976
"36","Botswana",2.3,0.5,582306
"37","Bouvet Island",0,0,62
"38","Brazil",123.7,35,8533977
"39","British Indian Ocean Territory",0,0,269
"40","British Virgin Islands",0,0,361
"41","Brunei Darussalam",0.6,0.3,6333
"42","Bulgaria",2,0.5,111243
"43","Burkina Faso",0.9,0.1,276092
"44","Burundi",0.6,0.2,27343
"45","Cambodia",4.8,1.8,181197
"46","Cameroon",6.4,1.5,467510
"47","Canada",717.3,354.9,10009171
"48","Cape Verde",0.1,0,4700
"49","Cayman Islands",0,0,413
"50","Central African Republic",6.9,1.4,625105
"51","Chad",5.7,1.2,1265394
"52","Chile",26.1,6.7,789770
"53","China",158.1,53.3,9354637
"54","China/India",0.1,0,3555
"55","Christmas Island",0,0,183
"56","Clipperton Island",0,0,18
"57","Cocos (Keeling) Islands",0,0,71
"58","Colombia",38.2,14.3,1141909
"59","Comoros",0.1,0,1916
"60","Congo",6.9,2.2,341557
"61","Cook Islands",0,0,617
"62","Costa Rica",1.7,0.5,52753
"63","Croatia",1.3,0.3,58104
"64","Côte d'Ivoire",2.7,0.4,324652
"65","Cuba",3.4,1,116490
"66","Cyprus",0.1,0,9671
"67","Czech Republic",1.6,0.4,78243
"68","Democratic Republic of the Congo",39.4,11.2,2340940
"69","Dem People's Rep of Korea",3.5,1.1,123572
"70","Denmark",2,0.8,47143
"71","Djibouti",0.1,0,22358
"72","Dominica",0,0,854
