"","Number","ADM1_NAME","Value","ADM0_NAME","ADM0_NAME_filename","ADM1_NAME_filename","ADM0_NAME_Value"
"1",1,"A Dakhliya",1,"Oman","Oman","Oman__A_Dakhliya",190
"2",2,"A Sharqiya",2,"Oman","Oman","Oman__A_Sharqiya",190
"3",3,"Aaland",3,"Finland","Finland","Finland__Aaland",85
"4",4,"Aargau",4,"Switzerland","Switzerland","Switzerland__Aargau",241
"5",5,"Aarhus",5,"Denmark","Denmark","Denmark__Aarhus",70
"6",6,"Abia",6,"Nigeria","Nigeria","Nigeria__Abia",185
"7",7,"Abim",7,"Uganda","Uganda","Uganda__Abim",259
"8",8,"Abkhazia Aut. Rep.",8,"Georgia","Georgia","Georgia__Abkhazia_Aut._Rep.",93
"9",9,"Abruzzi",9,"Italy","Italy","Italy__Abruzzi",125
"10",10,"Absheron",10,"Azerbaijan","Azerbaijan","Azerbaijan__Absheron",19
"11",11,"Abu Dhabi",11,"United Arab Emirates","United_Arab_Emirates","United_Arab_Emirates__Abu_Dhabi",261
"12",12,"Abuja",12,"Nigeria","Nigeria","Nigeria__Abuja",185
"13",13,"Abyan",13,"Yemen","Yemen","Yemen__Abyan",274
"14",14,"Acre",14,"Brazil","Brazil","Brazil__Acre",38
"15",15,"Ad Dawhah",15,"Qatar","Qatar","Qatar__Ad_Dawhah",204
"16",16,"Adamaoua",16,"Cameroon","Cameroon","Cameroon__Adamaoua",47
"17",17,"Adamawa",17,"Nigeria","Nigeria","Nigeria__Adamawa",185
"18",18,"Adana",18,"Turkey","Turkey","Turkey__Adana",254
"19",19,"Addis Ababa",19,"Ethiopia","Ethiopia","Ethiopia__Addis_Ababa",80
"20",20,"Aden",20,"Yemen","Yemen","Yemen__Aden",274
"21",21,"Adiyaman",21,"Turkey","Turkey","Turkey__Adiyaman",254
"22",22,"Adjara Aut. Rep.",22,"Georgia","Georgia","Georgia__Adjara_Aut._Rep.",93
"23",23,"Adjumani",23,"Uganda","Uganda","Uganda__Adjumani",259
"24",24,"Administrative unit not available",24,"Bassas da India","Bassas_da_India","Bassas_da_India__Administrative_unit_not_available",26
"25",25,"Adrar",25,"Algeria","Algeria","Algeria__Adrar",5
"26",26,"Adygeya Rep.",26,"Russian Federation","Russian_Federation","Russian_Federation__Adygeya_Rep.",208
"27",27,"Afar",27,"Ethiopia","Ethiopia","Ethiopia__Afar",80
"28",28,"Afyon",28,"Turkey","Turkey","Turkey__Afyon",254
"29",29,"Agadez",29,"Niger","Niger","Niger__Agadez",184
"30",30,"Agago",30,"Uganda","Uganda","Uganda__Agago",259
"31",31,"Aginskiy Buryatskiy A. Okrug",31,"Russian Federation","Russian_Federation","Russian_Federation__Aginskiy_Buryatskiy_A._Okrug",208
"32",32,"Agri",32,"Turkey","Turkey","Turkey__Agri",254
"33",33,"Aguadilla",33,"Puerto Rico","Puerto_Rico","Puerto_Rico__Aguadilla",203
"34",34,"Aguascalientes",34,"Mexico","Mexico","Mexico__Aguascalientes",164
"35",35,"Ahal",35,"Turkmenistan","Turkmenistan","Turkmenistan__Ahal",255
