,level1,agg,int
1,Aqualfs,Alfisols,0
2,Cryalfs,Alfisols,0
3,Udalfs,Alfisols,0
4,Ustalfs,Alfisols,0
5,Xeralfs,Alfisols,0
6,Aquands,Andisols,1
7,Cryands,Andisols,1
8,Gelands,Andisols,1
9,Torrands,Andisols,1
10,Udands,Andisols,1
11,Ustands,Andisols,1
12,Vitrands,Andisols,1
13,Xerands,Andisols,1
14,Argids,Aridisols,2
15,Calcids,Aridisols,2
16,Cambids,Aridisols,2
17,Cryids,Aridisols,2
18,Durids,Aridisols,2
19,Gypsids,Aridisols,2
20,Salids,Aridisols,2
21,Aquents,Entisols,3
22,Arents,Entisols,3
23,Fluvents,Entisols,3
24,Orthents,Entisols,3
25,Psamments,Entisols,3
26,Histels,Gelisols,4
27,Orthels,Gelisols,4
28,Turbels,Gelisols,4
29,Fibrists,Histosol,5
30,Folists,Histosol,5
31,Hemists,Histosol,5
32,Saprists,Histosol,5
33,Anthrepts,Inceptisols,6
34,Aquepts,Inceptisols,6
35,Cryepts,Inceptisols,6
36,Gelepts,Inceptisols,6
37,Ochrepts,Inceptisols,6
38,Udepts,Inceptisols,6
39,Ustepts,Inceptisols,6
40,Xerepts,Inceptisols,6
41,Albolls,Mollisols,7
42,Aquolls,Mollisols,7
43,Borolls,Mollisols,7
44,Cryolls,Mollisols,7
45,Gelolls,Mollisols,7
46,Rendolls,Mollisols,7
47,Udolls,Mollisols,7
48,Ustolls,Mollisols,7
49,Xerolls,Mollisols,7
50,Aquox,Oxisol,8
51,Perox,Oxisol,8
52,Torrox,Oxisol,8
53,Udox,Oxisol,8
54,Ustox,Oxisol,8
55,Aquods,Spodosols,9
56,Cryods,Spodosols,9
57,Gelods,Spodosols,9
58,Humods,Spodosols,9
59,Orthods,Spodosols,9
60,Aquults,Ultisols,10
61,Humults,Ultisols,10
62,Udults,Ultisols,10
63,Ustults,Ultisols,10
64,Xerults,Ultisols,10
65,Aquerts,Vertisols,11
66,Cryerts,Vertisols,11
67,Torrerts,Vertisols,11
68,Uderts,Vertisols,11
69,Usterts,Vertisols,11
70,Xererts,Vertisols,11
