,level1,agg,int
1,Haplic.Acrisols,Acrisols,0
2,Haplic.Acrisols..Alumic.,Acrisols,0
3,Haplic.Acrisols..Ferric.,Acrisols,0
4,Haplic.Acrisols..Humic.,Acrisols,0
5,Plinthic.Acrisols,Acrisols,0
6,Vitric.Acrisols,Acrisols,0
7,Haplic.Albeluvisols,Albeluvisols,1
8,Histic.Albeluvisols,Albeluvisols,1
9,Umbric.Albeluvisols,Albeluvisols,1
10,Cutanic.Alisols,Alisols,2
11,Haplic.Alisols,Alisols,2
12,Aluandic.Andosols,Andosols,3
13,Haplic.Andosols,Andosols,3
14,Vitric.Andosols,Andosols,3
15,Albic.Arenosols,Arenosols,5
16,Ferralic.Arenosols,Arenosols,5
17,Haplic.Arenosols,Arenosols,5
18,Haplic.Arenosols..Calcaric.,Arenosols,5
19,Hypoluvic.Arenosols,Arenosols,5
20,Protic.Arenosols,Arenosols,5
21,Haplic.Calcisols,Calcisols,6
22,Haplic.Calcisols..Sodic.,Calcisols,6
23,Luvic.Calcisols,Calcisols,6
24,Petric.Calcisols,Calcisols,6
25,Endogleyic.Cambisols,Cambisols,7
26,Ferralic.Cambisols,Cambisols,7
27,Haplic.Cambisols,Cambisols,7
28,Haplic.Cambisols..Calcaric.,Cambisols,7
29,Haplic.Cambisols..Chromic.,Cambisols,7
30,Haplic.Cambisols..Dystric.,Cambisols,7
31,Haplic.Cambisols..Eutric.,Cambisols,7
32,Haplic.Cambisols..Humic.,Cambisols,7
33,Haplic.Cambisols..Sodic.,Cambisols,7
34,Leptic.Cambisols,Cambisols,7
35,Vertic.Cambisols,Cambisols,7
36,Calcic.Chernozems,Chernozems,8
37,Haplic.Chernozems,Chernozems,8
38,Luvic.Chernozems,Chernozems,8
39,Haplic.Cryosols,Cryosols,9
40,Turbic.Cryosols,Cryosols,9
41,Vitric.Cryosols,Cryosols,9
42,Petric.Durisols,Durisols,10
43,Acric.Ferralsols,Ferralsols,11
44,Haplic.Ferralsols,Ferralsols,11
45,Haplic.Ferralsols..Rhodic.,Ferralsols,11
46,Haplic.Ferralsols..Xanthic.,Ferralsols,11
47,Umbric.Ferralsols,Ferralsols,11
48,Haplic.Fluvisols,Fluvisols,12
49,Haplic.Fluvisols..Arenic.,Fluvisols,12
50,Haplic.Fluvisols..Calcaric.,Fluvisols,12
51,Haplic.Fluvisols..Dystric.,Fluvisols,12
52,Haplic.Fluvisols..Eutric.,Fluvisols,12
53,Calcic.Gleysols,Gleysols,13
54,Haplic.Gleysols,Gleysols,13
55,Haplic.Gleysols..Dystric.,Gleysols,13
56,Haplic.Gleysols..Eutric.,Gleysols,13
57,Mollic.Gleysols,Gleysols,13
58,Umbric.Gleysols,Gleysols,13
59,Calcic.Gypsisols,Gypsisols,14
60,Haplic.Gypsisols,Gypsisols,14
61,Calcic.Histosols,Histosols,15
62,Cryic.Histosols,Histosols,15
63,Fibric.Histosols,Histosols,15
64,Hemic.Histosols,Histosols,15
65,Sapric.Histosols,Histosols,15
66,Calcic.Kastanozems,Kastanozems,16
67,Haplic.Kastanozems,Kastanozems,16
68,Haplic.Leptosols,Leptosols,17
69,Haplic.Leptosols..Eutric.,Leptosols,17
70,Lithic.Leptosols,Leptosols,17
71,Mollic.Leptosols,Leptosols,17
72,Rendzic.Leptosols,Leptosols,17
73,Haplic.Lixisols,Lixisols,18
74,Haplic.Lixisols..Chromic.,Lixisols,18
75,Haplic.Lixisols..Ferric.,Lixisols,18
76,Albic.Luvisols,Luvisols,19
77,Calcic.Luvisols,Luvisols,19
78,Gleyic.Luvisols,Luvisols,19
79,Haplic.Luvisols,Luvisols,19
80,Haplic.Luvisols..Chromic.,Luvisols,19
81,Haplic.Luvisols..Ferric.,Luvisols,19
82,Leptic.Luvisols,Luvisols,19
83,Stagnic.Luvisols,Luvisols,19
84,Vertic.Luvisols,Luvisols,19
85,Alic.Nitisols,Nitisols,20
86,Haplic.Nitisols..Rhodic.,Nitisols,20
87,Haplic.Phaeozems,Phaeozems,21
88,Leptic.Phaeozems,Phaeozems,21
89,Luvic.Phaeozems,Phaeozems,21
90,Endogleyic.Planosols,Planosols,22
91,Haplic.Planosols..Dystric.,Planosols,22
92,Haplic.Planosols..Eutric.,Planosols,22
93,Luvic.Planosols,Planosols,22
94,Solodic.Planosols,Planosols,22
95,Acric.Plinthosols,Plinthosols,23
96,Lixic.Plinthosols,Plinthosols,23
97,Gleyic.Podzols,Podzols,24
98,Haplic.Podzols,Podzols,24
99,Aric.Regosols,Regosols,25
100,Calcaric.Regosols,Regosols,25
101,Haplic.Regosols..Dystric.,Regosols,25
102,Haplic.Regosols..Eutric.,Regosols,25
103,Haplic.Regosols..Sodic.,Regosols,25
104,Leptic.Regosols,Regosols,25
105,Gypsic.Solonchaks,Solonchaks,26
106,Haplic.Solonchaks,Solonchaks,26
107,Haplic.Solonchaks..Sodic.,Solonchaks,26
108,Calcic.Solonetz,Solonetz,27
109,Gleyic.Solonetz,Solonetz,27
110,Haplic.Solonetz,Solonetz,27
111,Mollic.Solonetz,Solonetz,27
112,Luvic.Stagnosols,Stagnosols,28
113,Haplic.Umbrisols,Umbrisols,30
114,Leptic.Umbrisols,Umbrisols,30
115,Calcic.Vertisols,Vertisols,31
116,Haplic.Vertisols,Vertisols,31
117,Haplic.Vertisols..Eutric.,Vertisols,31
118,Mollic.Vertisols,Vertisols,31
119,Vetic.Acrisols,Acrisols,0
