Classification_system,Name,COUNT_training,Min_lat,Max_lat,Max_elevation,Arctic,Cold Dry,Cold Moist,Cold Semi-Dry,Cold Very Dry,Cold Very Wet,Cold Wet,Cool Dry,Cool Moist,Cool Semi-Dry,Cool Very Dry,Cool Very Wet,Cool Wet,Hot Dry,Hot Moist,Hot Semi-Dry,Hot Very Dry,Hot Very Wet,Hot Wet,Very Cold Dry,Very Cold Moist,Very Cold Semi-Dry,Very Cold Very Dry,Very Cold Very Wet,Very Cold Wet,Very Hot Dry,Very Hot Moist,Very Hot Semi-Dry,Very Hot Very Dry,Very Hot Very Wet,Very Hot Wet,Warm Dry,Warm Moist,Warm Semi-Dry,Warm Very Dry,Warm Very Wet,Warm Wet
TAXNWRB,Haplic Acrisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Acrisols (Alumic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Acrisols (Ferric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Acrisols (Humic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Plinthic Acrisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Vitric Acrisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Albeluvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Histic Albeluvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Umbric Albeluvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Cutanic Alisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Alisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Aluandic Andosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Andosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Vitric Andosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Ferralic Arenosols,#N/A,,,,x,,x,,,x,x,,x,,,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,x,x
TAXNWRB,Haplic Arenosols,#N/A,,,,x,,x,,,x,x,,x,,,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,x,x
TAXNWRB,Haplic Arenosols (Calcaric),#N/A,,,,x,,x,,,x,x,,x,,,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,x,x
TAXNWRB,Hypoluvic Arenosols,#N/A,,,,x,,,,,x,x,,,,,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,x,x
TAXNWRB,Protic Arenosols,#N/A,,,,x,,,,,x,x,,,,,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,x,x
TAXNWRB,Haplic Calcisols,#N/A,,,,x,,x,,,x,x,,,,,x,x,,,,,x,x,,x,,,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Haplic Calcisols (Sodic),#N/A,,,,x,,x,,,x,x,,,,,x,x,,,,,x,x,,x,,,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Luvic Calcisols,#N/A,,,,x,,x,,,x,x,,,,,x,x,,,,,x,x,,x,,,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Petric Calcisols,#N/A,,,,x,,x,,,x,x,,,,,x,x,,,,,x,x,,x,,,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Endogleyic Cambisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Ferralic Cambisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Calcaric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Chromic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Dystric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Humic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cambisols (Sodic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Leptic Cambisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Vertic Cambisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Chernozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Chernozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Luvic Chernozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Cryosols,#N/A,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x
TAXNWRB,Turbic Cryosols,#N/A,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x
TAXNWRB,Vitric Cryosols,#N/A,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x
TAXNWRB,Petric Durisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Acric Ferralsols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Acric Ferralsols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Ferralsols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Ferralsols (Rhodic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Ferralsols (Xanthic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Umbric Ferralsols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Fluvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Fluvisols (Arenic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Fluvisols (Calcaric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Fluvisols (Dystric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Fluvisols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Gleysols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Gleysols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Gleysols (Dystric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Gleysols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Mollic Gleysols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Gypsisols,#N/A,,,,x,x,x,,,x,x,,x,,,x,x,,x,,,x,x,x,x,,,x,x,,x,,,x,x,,,,,x,x
TAXNWRB,Haplic Gypsisols,#N/A,,,,x,x,x,,,x,x,,x,,,x,x,,x,,,x,x,x,x,,,x,x,,x,,,x,x,,,,,x,x
TAXNWRB,Calcic Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Cryic Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Fibric Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Hemic Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Hemic Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Sapric Histosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Kastanozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Kastanozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Leptosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Leptosols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Lithic Leptosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Mollic Leptosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Rendzic Leptosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Lixisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Lixisols (Chromic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Lixisols (Ferric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Albic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Gleyic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Luvisols (Chromic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Luvisols (Ferric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Leptic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Stagnic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Vertic Luvisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Alic Nitisols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Nitisols (Rhodic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Phaeozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Leptic Phaeozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Luvic Phaeozems,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Endogleyic Planosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Planosols (Dystric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Planosols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Luvic Planosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Solodic Planosols,#N/A,,,,x,x,,x,x,,,,,,,,,,,,,,,x,,x,x,,,,,,x,,,,,,,,
TAXNWRB,Lixic Plinthosols,#N/A,,,,x,x,,x,x,,,,,,,,,,,,,,,x,,x,x,,,,,,x,,,,,,,,
TAXNWRB,Gleyic Podzols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Gleyic Podzols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Podzols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Aric Regosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcaric Regosols,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Regosols (Dystric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Regosols (Eutric),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Regosols (Sodic),#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Leptic Regosols,#N/A,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Gypsic Solonchaks,#N/A,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
TAXNWRB,Haplic Solonchaks,#N/A,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
TAXNWRB,Haplic Solonchaks (Sodic),#N/A,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
TAXNWRB,Calcic Solonetz,#N/A,,,,x,x,x,x,x,x,x,,,,,x,x,,,,,,,x,x,x,x,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Gleyic Solonetz,#N/A,,,,x,x,x,x,x,x,x,,,,,x,x,,,,,,,x,x,x,x,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Haplic Solonetz,,,,,x,x,x,x,x,x,x,,,,,x,,,,,,,,x,x,x,x,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Mollic Solonetz,,,,,x,x,x,x,x,x,x,,,,,x,,,,,,,,x,x,x,x,x,x,,,,,x,x,,,,,x,x
TAXNWRB,Luvic Stagnosols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Umbrisols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Leptic Umbrisols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Calcic Vertisols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Vertisols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Haplic Vertisols (Eutric),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXNWRB,Mollic Vertisols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Albolls,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aqualfs,2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquands,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquents,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquepts,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquerts,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquods,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquolls,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquox,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Aquults,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Arents,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Argids,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Borolls,2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Calcids,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Cambids,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOUSDA,Cryalfs,32,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,,,,,,
TAXOUSDA,Cryands,170,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,,,,,,
TAXOUSDA,Cryepts,152,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,,,,,,
TAXOUSDA,Cryids,17,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,,,,,,
TAXOUSDA,Cryods,140,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,x,x,x,x,x,,,,,,
