WORLDGRIDS_CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,ROOT_FILE,RESOLUTION_SOURCE_M,RESAMPLE_METHOD,CONFIDENCE_INTERVAL,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,Z_SCALE,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,MASK_VALUE,DATA_FORMAT,NO_DATA,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,DISTRIBUTION_POSSIBLE,DATA_LICENSE,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,LINEAGE_CODE
DEMENV5,DEM-parameters,Land surface elevation,DEM based on 100 m resolution from EarthEnv-DEM90. No additional post-processing has been applied to remove vegetation and filter noise.,,100,average,M,0.00 m,0.00 m,1,-350,8500,20,Int16,-32768,1,meter,http://www.sciencedirect.com/science/article/pii/S0924271613002360,EarthEnv-DEM90,YES,Creative Commons Attribution 4.0 International License,http://www.earthenv.org/DEM,,2014,"Robinson, N., Regetz, J., and Guralnick, R. P. (2014). EarthEnv-DEM90: A nearly-global, void-free, multi-scale smoothed, 90m digital elevation model from fused ASTER and SRTM data. ISPRS Journal of Photogrammetry and Remote Sensing, 87:2014, 57-67",http://www.earthenv.org/DEM,,http://www.earthenv.org/DEM,,
SLPMRG5,DEM-parameters,Terrain slope,Terrain slope based on DEMMRG5 derived in SAGA GIS and expressed in radians x 100.,,250,bilinear,M,0.00 m,0.00 m,100,0,180,1,Byte,255,1,radians x 100,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2011",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_morphometry_0.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
CRVMRG5,DEM-parameters,Downslope Curvature,Downslope Curvature based on DEMMRG5 derived in SAGA GIS.,,250,bilinear,M,0.00 m,0.00 m,1000,-5000,5000,0,Int16,-32768,1,meter x 1000,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2012",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_morphometry_0.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
CRUMRG5,DEM-parameters,Local upslope Curvature,Local upslope Curvature based on DEMMRG5 derived in SAGA GIS.,,250,bilinear,M,0.00 m,0.00 m,1000,-5000,5000,0,Int16,-32768,1,meter x 1000,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2012",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_morphometry_0.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
CRDMRG5,DEM-parameters,Local downslope Curvature,Local downslope Curvature based on DEMMRG5 derived in SAGA GIS.,,250,bilinear,M,0.00 m,0.00 m,1000,-5000,5000,0,Int16,-32768,1,meter x 1000,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2012",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_morphometry_0.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
VBFMRG5,DEM-parameters,Multiresolution Index of Valley Bottom Flatness (MRVBF),"Multiresolution Index of Valley Bottom Flatness (MRVBF) based on DEMMRG5. Derived in SAGA GIS at 500 m, then downscaled to 250 m. Computationally very intensive operation.",,250,bilinear,M,0.00 m,0.00 m,100,0,1000,400,Int16,-32768,1,meter x 100,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2013",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_morphometry_8.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
DVMMRG5,DEM-parameters,Deviation from Mean Value (surface roughness) x9,Deviation from Mean Value (surface roughness) based on DEMMRG5. Derived in SAGA GIS using a 9 by 9 search radius.,,250,bilinear,M,0.00 m,0.00 m,100,-1500,1500,0,Int16,-32768,1,meter x 100,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2014",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/statistics_grid_1.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
DV2MRG5,DEM-parameters,Deviation from Mean Value (surface roughness) x13,Deviation from Mean Value (surface roughness) based on DEMMRG5. Derived in SAGA GIS using a 13 by 13 search radius.,,250,bilinear,M,0.00 m,0.00 m,100,-1500,1500,0,Int16,-32768,1,meter x 100,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2014",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/statistics_grid_1.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
VDPMRG5,DEM-parameters,Valley depth,Valley depth based on DEMMRG5 i.e. vertical distance to a channel network base level derived in SAGA GIS.,,250,bilinear,M,0.00 m,0.00 m,10,-5000,5000,0,Int16,-32768,1,meter x 10,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2015",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_channels_7.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
NEGMRG5,DEM-parameters,Negative Topographic Openness,Negative Topographic Openness based on DEMMRG5; derived in SAGA GIS. Positive topographic openness expresses the dominance of a landscape location. See Yokoyama et al. (2002) for a precise definition.,,250,bilinear,M,0.00 m,0.00 m,1000,0,5000,1500,Int16,-32768,1,meter x 1000,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2016",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_lighting_5.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
POSMRG5,DEM-parameters,Positive Topographic Openness,Positive Topographic Openness based on DEMMRG5; derived in SAGA GIS. Negative topographic openness expresses the enclosure of a landscape location. See Yokoyama et al. (2002) for a precise definition.,,250,bilinear,M,0.00 m,0.00 m,1000,0,5000,1500,Int16,-32768,1,meter x 1000,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2017",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_lighting_5.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
MRNMRG5,DEM-parameters,Melton Ruggedness Number,Melton Ruggedness Number derived in SAGA GIS,,250,bilinear,M,0.00 m,0.00 m,10,0,400,0,Int16,-32768,1,meter x 10,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2017",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_lighting_5.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
TPIMRG5,DEM-parameters,Topographic Position Index,Topographic Position Index is the difference to the mean calculation (residual analysis) proposed by Wilson & Gallant (2000).,,250,bilinear,M,0.00 m,0.00 m,100,-1000,1000,0,Int16,-32768,1,meter x 100,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2017",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_lighting_5.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
TWIMRG5,DEM-parameters,SAGA Wetness Index,"SAGA Wetness Index based on DEMMRG5. SAGA TWI is based on a modified catchment area calculation, which does not think of the flow as very thin film. As result it predicts for cells situated in valley floors with a small vertical distance to a channel a more realistic, higher potential soil moisture compared to the standard TWI calculation.",,500,bilinear,M,0.00 m,0.00 m,10,0,5000,100,Int16,-32768,1,meter x 10,http://geomorphometry.org/content/mdem250m,"ViewfinderPanoramas SRTM DEM, SRTMGL3, and GMTED2018",YES,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,,ftp.worldgrids.org,http://www.saga-gis.org/saga_module_doc/2.2.0/ta_hydrology_15.html,http://worldgrids.org/,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MDEM
EX1MOD5,MOD13Q1,Mean monthly MODIS EVI JanFeb,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months January and February. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeJanFeb.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,2000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q1,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q1,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
EX2MOD5,MOD13Q1,Mean monthly MODIS EVI MarApr,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months March and April. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeMarApr.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,3000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q1,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q2,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
EX3MOD5,MOD13Q1,Mean monthly MODIS EVI MayJun,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months May and June. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeMayJun.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,4000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q2,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q3,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
EX4MOD5,MOD13Q1,Mean monthly MODIS EVI JulAug,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months July and August. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeJulAug.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,4000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q1,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
