Number,Group,Shortened_name,WRB_group,count,web_text,GeoTIFF_name,Desc_2nd_level,Alt_Description_merge,R,G,B,Image_name,Image_source_updated,Image_source_old,legend
1,Haplic Acrisols,Haplic.Acrisols,Acrisols,2637,Haplic (undetermined) Acrisols,TAXNWRB_Haplic.Acrisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. Other diagnostic horizons might occur but have not been recorded.",254,129,62,Plinthic_Acrisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"1,254,129,62,255,Haplic Acrisols"
2,Haplic Acrisols (Alumic),Haplic.Acrisols..Alumic.,Acrisols,159,Haplic (undetermined) Acrisols (Alumic),TAXNWRB_Haplic.Acrisols..Alumic._250m_ll.tif,Having an Al saturation (effective) of 50 percent or more in some layer between 50 and 100 cm from the surface. Other diagnostic horizons might occur but have not been recorded.,"Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. Having an Al saturation (effective) of 50 percent or more in some layer between 50 and 100 cm from the surface. Other diagnostic horizons might occur but have not been recorded.",253,159,57,Plinthic_Acrisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"2,253,159,57,255,Haplic Acrisols (Alumic)"
3,Haplic Acrisols (Ferric),Haplic.Acrisols..Ferric.,Acrisols,316,Haplic (undetermined) Acrisols (Ferric),TAXNWRB_Haplic.Acrisols..Ferric._250m_ll.tif,"The ferric horizon (from Latin ferrum, iron) is one in which segregation of Fe, or Fe and manganese (Mn), has taken place to such an extent that large mottles or discrete nodules have formed and the intermottle/internodular matrix is largely depleted of Fe. Generally, such segregation leads to poor aggregation of the soil particles in Fedepleted zones and compaction of the horizon. Other diagnostic horizons might occur but have not been recorded.","Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. The ferric horizon (from Latin ferrum, iron) is one in which segregation of Fe, or Fe and manganese (Mn), has taken place to such an extent that large mottles or discrete nodules have formed and the intermottle/internodular matrix is largely depleted of Fe. Generally, such segregation leads to poor aggregation of the soil particles in Fedepleted zones and compaction of the horizon. Other diagnostic horizons might occur but have not been recorded.",253,174,107,Ferric_Acrisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"3,253,174,107,255,Haplic Acrisols (Ferric)"
4,Haplic Acrisols (Humic),Haplic.Acrisols..Humic.,Acrisols,169,Haplic (undetermined) Acrisols (Humic),TAXNWRB_Haplic.Acrisols..Humic._250m_ll.tif,"Having the following organic carbon contents in the fine earth fraction as a weighted average in Ferralsols and Nitisols, 1.4 percent or more to a depth of 100 cm from the mineral soil surface; in Leptosols, 2 percent or more to a depth of 25 cm from the mineral soil surface; in other soils, 1 percent or more to a depth of 50 cm from the mineral soil surface. Other diagnostic horizons might occur but have not been recorded.","Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. Having the following organic carbon contents in the fine earth fraction as a weighted average in Ferralsols and Nitisols, 1.4 percent or more to a depth of 100 cm from the mineral soil surface; in Leptosols, 2 percent or more to a depth of 25 cm from the mineral soil surface; in other soils, 1 percent or more to a depth of 50 cm from the mineral soil surface. Other diagnostic horizons might occur but have not been recorded.",253,141,60,Humic_Acrisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"4,253,141,60,255,Haplic Acrisols (Humic)"
5,Plinthic Acrisols,Plinthic.Acrisols,Acrisols,156,Plinthic Acrisols,TAXNWRB_Plinthic.Acrisols_250m_ll.tif,"The plinthic horizon (from Gr. plinthos, brick) is a subsurface horizon which constitutes an iron-rich, humus-poor mixture of kaolinitic clay with quartz and other constituents, and which changes irreversibly to a hardpan or to irregular aggregates on exposure to repeated wetting and drying with free access of oxygen.","Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. The plinthic horizon (from Gr. plinthos, brick) is a subsurface horizon which constitutes an iron-rich, humus-poor mixture of kaolinitic clay with quartz and other constituents, and which changes irreversibly to a hardpan or to irregular aggregates on exposure to repeated wetting and drying with free access of oxygen.",236,104,1,Plinthic_Acrisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"5,236,104,1,255,Plinthic Acrisols"
6,Vetic Acrisols,Vetic.Acrisols,Acrisols,16,Vetic Acrisols,TAXNWRB_Vetic.Acrisols_250m_ll.tif,Having an ECEC (sum of exchangable bases plus exchangeable acidity in 1 M KCl) of less than 6 cmol / kg clay in some subsurface layer within 100 cm of the soil surface.,"Acrisols = Strongly leached, red and yellow soils of wet (sub-)tropical regions on acid parent rock, with a clay accumulation horizon, low cation exchange capacity and low base saturation. Having an ECEC (sum of exchangable bases plus exchangeable acidity in 1 M KCl) of less than 6 cmol / kg clay in some subsurface layer within 100 cm of the soil surface.",230,106,3,Ferric_Acrisol.jpg,TAXGWRB_lacking_selection,,"6,230,106,3,255,Vetic Acrisols"
7,Haplic Albeluvisols,Haplic.Albeluvisols,Albeluvisols,322,Haplic (undetermined) Albeluvisols,TAXNWRB_Haplic.Albeluvisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Albeluvisols = Base-poor soils of humid temperate regions with a bleached eluviation horizon tonguing into a clay-enriched subsurface horizon. Other diagnostic horizons might occur but have not been recorded.,240,200,92,Haplic_Albeluvisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"7,240,200,92,255,Haplic Albeluvisols"
8,Histic Albeluvisols,Histic.Albeluvisols,Albeluvisols,13,Histic Albeluvisols,TAXNWRB_Histic.Albeluvisols_250m_ll.tif,"The histic horizon (from Greek histos, tissue) is a surface horizon, or a subsurface horizon occurring at shallow depth, that consists of poorly aerated organic material.","Albeluvisols = Base-poor soils of humid temperate regions with a bleached eluviation horizon tonguing into a clay-enriched subsurface horizon. The histic horizon (from Greek histos, tissue) is a surface horizon, or a subsurface horizon occurring at shallow depth, that consists of poorly aerated organic material.",255,211,114,Histic_Albeluvisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"8,255,211,114,255,Histic Albeluvisols"
9,Umbric Albeluvisols,Umbric.Albeluvisols,Albeluvisols,97,Umbric Albeluvisols,TAXNWRB_Umbric.Albeluvisols_250m_ll.tif,"The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.","Albeluvisols = Base-poor soils of humid temperate regions with a bleached eluviation horizon tonguing into a clay-enriched subsurface horizon. The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.",255,209,112,Umbric_Albeluvisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"9,255,209,112,255,Umbric Albeluvisols"
10,Cutanic Alisols,Cutanic.Alisols,Alisols,34,Cutanic Alisols,TAXNWRB_Cutanic.Alisols_250m_ll.tif,Having clay coatings in some parts of an argic horizon either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout.,Alisols = Soils of wet (sub-)tropical regions with high cation exchange capacity and much exchangeable aluminium. Having clay coatings in some parts of an argic horizon either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout.,228,219,191,Alisol_Cn22p.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"10,228,219,191,255,Cutanic Alisols"
