"","Acric Ferralsols","Acric Plinthosols","Albic Arenosols","Albic Luvisols","Alic Nitisols","Aluandic Andosols","Aric Regosols","Calcaric Regosols","Calcic Chernozems","Calcic Gleysols","Calcic Gypsisols","Calcic Histosols","Calcic Kastanozems","Calcic Luvisols","Calcic Solonetz","Calcic Vertisols","Cryic Histosols","Cutanic Alisols","Endogleyic Cambisols","Endogleyic Planosols","Ferralic Arenosols","Ferralic Cambisols","Fibric Histosols","Gleyic Luvisols","Gleyic Podzols","Gleyic Solonetz","Gypsic Solonchaks","Haplic Acrisols","Haplic Acrisols (Alumic)","Haplic Acrisols (Ferric)","Haplic Acrisols (Humic)","Haplic Albeluvisols","Haplic Alisols","Haplic Andosols","Haplic Arenosols","Haplic Arenosols (Calcaric)","Haplic Calcisols","Haplic Calcisols (Sodic)","Haplic Cambisols","Haplic Cambisols (Calcaric)","Haplic Cambisols (Chromic)","Haplic Cambisols (Dystric)","Haplic Cambisols (Eutric)","Haplic Cambisols (Humic)","Haplic Cambisols (Sodic)","Haplic Chernozems","Haplic Cryosols","Haplic Ferralsols","Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Xanthic)","Haplic Fluvisols","Haplic Fluvisols (Arenic)","Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Dystric)","Haplic Fluvisols (Eutric)","Haplic Gleysols","Haplic Gleysols (Dystric)","Haplic Gleysols (Eutric)","Haplic Gypsisols","Haplic Kastanozems","Haplic Leptosols","Haplic Leptosols (Eutric)","Haplic Lixisols","Haplic Lixisols (Chromic)","Haplic Lixisols (Ferric)","Haplic Luvisols","Haplic Luvisols (Chromic)","Haplic Luvisols (Ferric)","Haplic Nitisols (Rhodic)","Haplic Phaeozems","Haplic Planosols (Dystric)","Haplic Planosols (Eutric)","Haplic Podzols","Haplic Regosols (Dystric)","Haplic Regosols (Eutric)","Haplic Solonchaks","Haplic Solonchaks (Sodic)","Haplic Solonetz","Haplic Umbrisols","Haplic Vertisols","Haplic Vertisols (Eutric)","Hemic Histosols","Histic Albeluvisols","Hypoluvic Arenosols","Leptic Cambisols","Leptic Luvisols","Leptic Phaeozems","Leptic Regosols","Leptic Umbrisols","Lithic Leptosols","Lixic Plinthosols","Luvic Calcisols","Luvic Chernozems","Luvic Phaeozems","Luvic Planosols","Luvic Stagnosols","Mollic Gleysols","Mollic Leptosols","Mollic Solonetz","Mollic Vertisols","Petric Calcisols","Petric Durisols","Plinthic Acrisols","Protic Arenosols","Rendzic Leptosols","Sapric Histosols","Solodic Planosols","Stagnic Luvisols","Turbic Cryosols","Umbric Albeluvisols","Umbric Ferralsols","Umbric Gleysols","Vertic Cambisols","Vertic Luvisols","Vetic Acrisols","Vitric Andosols","Vitric Cryosols"
"Acric Ferralsols",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,188,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"Acric Plinthosols",1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,98,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Albic Arenosols",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albic Luvisols",0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,945,0,0,0,3,0,0,0,0,0,0,5,0,0,0,95,0,0,1,0,0,0,19,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,196,0,0,0,15,0,0,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Alic Nitisols",0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aluandic Andosols",1,0,0,2,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,24,0,0,0,0,3,27,2,0,1,0,72,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,24,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0
"Aric Regosols",0,0,0,1,0,0,31,1152,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,52,0,18,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0,6,35,138,0,0,0,0,9,0,0,0,6,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,1,1,3,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcaric Regosols",0,0,0,0,0,0,1140,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Chernozems",0,0,0,0,0,0,0,0,112,0,0,0,0,3,0,9,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,9,0,10,0,33,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,25,5,0,0,0,0,17,0,0,0,24,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,2,9,17,0,1,1,1,0,1,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Calcic Gleysols",0,0,0,4,0,0,0,2,3,31,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,5,0,2,0,27,0,0,0,0,0,0,19,0,1,0,0,5,0,1,0,0,9,0,1,0,5,0,0,0,0,0,9,0,0,0,12,0,0,21,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,261,0,0,0,0,0
"Calcic Gypsisols",0,0,0,0,0,0,26,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,15,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Histosols",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Calcic Kastanozems",0,0,0,0,0,0,4,3,23,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,25,0,25,1,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,216,9,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Luvisols",0,0,0,2,0,0,11,3,6,0,1,0,0,28,1,3,0,2,1,0,4,0,0,4,0,0,0,6,0,0,0,3,0,0,30,0,17,0,104,1,0,0,1,0,0,1,0,1,0,0,17,1,0,0,0,1,0,0,0,15,1,0,3,0,0,67,1,0,1,1,0,0,0,0,1,1,0,1,0,4,2,0,0,3,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
