"","ME","TPR","AUC","N","c1st","c2nd"
"Acric Ferralsols",-0.0197897574123989,0.97427814045817,0.977186938203975,371,"Haplic Ferralsols","Acric Ferralsols"
"Acric Plinthosols",0.0840717131474104,0.96709564619221,0.969278523472907,251,"Haplic Acrisols","Haplic Ferralsols"
"Albic Arenosols",-0.0986981481481481,0.926134188434693,0.926655818851054,54,"Haplic Acrisols","Haplic Arenosols"
"Albic Luvisols",-0.0959899208063355,0.940813233080773,0.950312158937133,1389,"Gleyic Luvisols","Haplic Luvisols"
"Alic Nitisols",-0.098,0.975624859718137,0.976339802635208,70,"Haplic Acrisols","Alic Nitisols"
"Aluandic Andosols",-0.0399677419354839,0.965992783687905,0.968507470871884,341,"Aluandic Andosols","Haplic Cambisols"
"Aric Regosols",-0.23366935483871,0.912852987910006,0.923373787210445,1488,"Calcaric Regosols","Haplic Leptosols"
"Calcaric Regosols",-0.199013778100073,0.924769296113208,0.934744430493852,1379,"Aric Regosols","Haplic Leptosols"
"Calcic Chernozems",-0.0271424581005587,0.940618666299056,0.943884445484028,358,"Calcic Chernozems","Haplic Cambisols"
"Calcic Gleysols",0.0440817120622568,0.903849511293957,0.906788077936774,514,"Umbric Gleysols","Mollic Gleysols"
"Calcic Gypsisols",-0.397217741935484,0.962453618862418,0.963609240644097,124,"Calcaric Regosols","Haplic Calcisols"
"Calcic Histosols",-0.891111111111111,0.93810101344212,0.93823266821974,18,"Haplic Acrisols","Haplic Gleysols"
"Calcic Kastanozems",-0.0515903614457831,0.948370571166571,0.951412578543976,415,"Haplic Kastanozems","Haplic Luvisols"
"Calcic Luvisols",-0.0187289972899729,0.920586323203842,0.923769981731014,369,"Haplic Cambisols","Haplic Luvisols"
"Calcic Solonetz",0.0428348993288591,0.925739722963587,0.927612526372185,149,"Haplic Calcisols","Haplic Kastanozems"
"Calcic Vertisols",-0.114100686498856,0.929206052028889,0.932191032981454,437,"Calcic Vertisols","Haplic Vertisols"
"Cryic Histosols",-0.115499331103679,0.989521343368161,0.992021130462045,299,"Cryic Histosols","Haplic Cryosols"
"Cutanic Alisols",-0.396970588235294,0.983391947699447,0.983725872524308,34,"Haplic Cambisols","Cutanic Alisols"
"Endogleyic Cambisols",0.0215381526104418,0.866870574998248,0.86797215905234,249,"Haplic Cambisols","Haplic Acrisols"
"Endogleyic Planosols",-0.239729117647059,0.930159401890252,0.930649389160713,34,"Haplic Acrisols","Haplic Luvisols"
"Ferralic Arenosols",0.101263043478261,0.958065913086622,0.965583123905482,920,"Ferralic Arenosols","Haplic Ferralsols"
"Ferralic Cambisols",-0.046578073089701,0.932235254298566,0.933905533681381,301,"Haplic Ferralsols","Haplic Acrisols"
"Fibric Histosols",0.0102911051212938,0.958706725483077,0.96185326984804,371,"Fibric Histosols","Haplic Acrisols"
"Gleyic Luvisols",0.00828351126927639,0.918152565933509,0.929570858134906,1686,"Albic Luvisols","Gleyic Luvisols"
"Gleyic Podzols",0.0533528409090909,0.950831059290499,0.952697750996991,176,"Gleyic Podzols","Haplic Acrisols"
"Gleyic Solonetz",-0.218191489361702,0.943803205564908,0.94496858327375,282,"Mollic Solonetz","Haplic Solonetz"
"Gypsic Solonchaks",-0.352122448979592,0.984096213528825,0.984911101086097,98,"Haplic Gypsisols","Calcaric Regosols"
"Haplic Acrisols",0.0454353663214423,0.926641136993187,0.940412790426524,2607,"Haplic Acrisols","Haplic Ferralsols"
"Haplic Acrisols (Alumic)",0.0197179487179487,0.978272236322348,0.979866475984954,156,"Haplic Acrisols","Haplic Ferralsols"
"Haplic Acrisols (Ferric)",-0.108258064516129,0.94552631087566,0.946611118387413,310,"Haplic Acrisols","Haplic Cambisols"
"Haplic Acrisols (Humic)",0.026490243902439,0.957480542059204,0.958035692491415,164,"Haplic Acrisols","Haplic Cambisols"
"Haplic Albeluvisols",-0.0946105919003115,0.970186557811437,0.972910581273585,321,"Haplic Albeluvisols","Haplic Cambisols"
"Haplic Alisols",0.108540507859734,0.941438394962219,0.947591080213651,827,"Haplic Acrisols","Haplic Cambisols"
"Haplic Andosols",-0.20710447761194,0.926410369388483,0.92681494033436,67,"Aluandic Andosols","Haplic Luvisols"
"Haplic Arenosols",0.0853048128342246,0.912159887432116,0.91934254183562,935,"Haplic Arenosols","Haplic Cambisols"
"Haplic Arenosols (Calcaric)",-0.252148453608247,0.942516971136919,0.943559653877652,97,"Haplic Arenosols","Haplic Calcisols"
"Haplic Calcisols",0.0496733524355301,0.929605424246711,0.94265687060467,1745,"Haplic Calcisols","Calcaric Regosols"
"Haplic Calcisols (Sodic)",-0.358426086956522,0.981269652943312,0.982534437543167,115,"Haplic Calcisols","Haplic Cambisols"
"Haplic Cambisols",0.144527495995729,0.783317687400607,0.812346195882184,5619,"Haplic Cambisols","Haplic Cambisols (Dystric)"
"Haplic Cambisols (Calcaric)",-0.126709292412617,0.915342723616327,0.923081303982369,1173,"Haplic Cambisols","Haplic Calcisols"
"Haplic Cambisols (Chromic)",0.0272603305785124,0.925394309801518,0.926591983340876,242,"Haplic Cambisols","Haplic Ferralsols"
"Haplic Cambisols (Dystric)",-0.0205704647676162,0.903169477032756,0.912010042387851,1334,"Haplic Cambisols","Haplic Podzols"
"Haplic Cambisols (Eutric)",0.0843640606767795,0.843372845279886,0.848215351684976,857,"Haplic Cambisols","Haplic Luvisols"
"Haplic Cambisols (Humic)",-0.0400666666666667,0.92411569796834,0.925552956638702,273,"Haplic Cambisols","Haplic Acrisols"
"Haplic Cambisols (Sodic)",-0.0766916666666667,0.979267896028005,0.980495277402963,120,"Haplic Cambisols","Ferralic Arenosols"
"Haplic Chernozems",0.0994763271162123,0.956337191168255,0.966786881039619,1394,"Haplic Chernozems","Haplic Kastanozems"
"Haplic Cryosols",-0.0267307692307692,0.988321821868453,0.995639703873707,884,"Haplic Cryosols","Haplic Cambisols"
"Haplic Ferralsols",-0.0680021197668256,0.939684316359204,0.953874723124102,1887,"Haplic Ferralsols","Haplic Acrisols"
"Haplic Ferralsols (Rhodic)",-0.0727952,0.963872785909204,0.964609430067931,125,"Haplic Ferralsols","Haplic Acrisols"
"Haplic Ferralsols (Xanthic)",-0.00140342465753425,0.955038746518137,0.9561986578741,146,"Haplic Ferralsols","Haplic Acrisols"
"Haplic Fluvisols",-0.0763175675675676,0.882275782356407,0.893703673676583,1776,"Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Eutric)"
"Haplic Fluvisols (Arenic)",-0.0283429447852761,0.982212089435708,0.983734320510616,163,"Haplic Fluvisols","Ferralic Arenosols"
"Haplic Fluvisols (Calcaric)",0.0254754335260116,0.939558235811192,0.94469187194789,692,"Haplic Fluvisols","Haplic Calcisols"
"Haplic Fluvisols (Dystric)",-0.197672897196262,0.928249524131903,0.929255311889975,107,"Haplic Fluvisols","Haplic Ferralsols"
"Haplic Fluvisols (Eutric)",0.0748602150537634,0.907693262520128,0.910868075758024,465,"Haplic Fluvisols","Haplic Ferralsols"
"Haplic Gleysols",0.0413946869070209,0.880909996860197,0.887811593949299,1054,"Haplic Gleysols (Eutric)","Haplic Cambisols"
"Haplic Gleysols (Dystric)",-0.25469,0.912485074009758,0.912644370388304,100,"Haplic Gleysols","Haplic Ferralsols"
"Haplic Gleysols (Eutric)",-0.11887908496732,0.926438997551114,0.928259183329168,306,"Haplic Gleysols","Haplic Acrisols"
"Haplic Gypsisols",0.0577008849557522,0.979176017135635,0.983693583186577,565,"Haplic Gypsisols","Aric Regosols"
"Haplic Kastanozems",0.0482712456344587,0.958729364306716,0.971545272174407,1718,"Haplic Kastanozems","Haplic Luvisols"
"Haplic Leptosols",0.00341025641025641,0.911911213734583,0.920097082028943,1092,"Haplic Leptosols","Haplic Leptosols (Eutric)"
"Haplic Leptosols (Eutric)",0.0426475095785441,0.93090990544861,0.933185182421543,261,"Haplic Leptosols","Haplic Calcisols"
