"","x"
"1","Acric Ferralsols"
"2","Acric Plinthosols"
"3","Alic Nitisols"
"4","Aric Regosols"
"5","Calcaric Regosols"
"6","Calcic Chernozems"
"7","Calcic Gleysols"
"8","Calcic Gypsisols"
"9","Calcic Kastanozems"
"10","Calcic Luvisols"
"11","Calcic Solonetz"
"12","Calcic Vertisols"
"13","Cryic Histosols"
"14","Cutanic Alisols"
"15","Endogleyic Cambisols"
"16","Ferralic Arenosols"
"17","Ferralic Cambisols"
"18","Fibric Histosols"
"19","Gleyic Luvisols"
"20","Gleyic Podzols"
"21","Gleyic Solonetz"
"22","Gypsic Solonchaks"
"23","Haplic Acrisols"
"24","Haplic Acrisols (Alumic)"
"25","Haplic Acrisols (Ferric)"
"26","Haplic Acrisols (Humic)"
"27","Haplic Albeluvisols"
"28","Haplic Alisols"
"29","Haplic Arenosols"
"30","Haplic Calcisols"
"31","Haplic Calcisols (Sodic)"
"32","Haplic Cambisols"
"33","Haplic Cambisols (Calcaric)"
"34","Haplic Cambisols (Chromic)"
"35","Haplic Cambisols (Dystric)"
"36","Haplic Cambisols (Eutric)"
"37","Haplic Cambisols (Humic)"
"38","Haplic Cambisols (Sodic)"
"39","Haplic Chernozems"
"40","Haplic Cryosols"
"41","Haplic Ferralsols"
"42","Haplic Ferralsols (Rhodic)"
"43","Haplic Ferralsols (Xanthic)"
"44","Haplic Fluvisols"
"45","Haplic Fluvisols (Arenic)"
"46","Haplic Fluvisols (Calcaric)"
"47","Haplic Fluvisols (Dystric)"
"48","Haplic Fluvisols (Eutric)"
"49","Haplic Gleysols"
"50","Haplic Gleysols (Dystric)"
"51","Haplic Gleysols (Eutric)"
"52","Haplic Gypsisols"
"53","Haplic Kastanozems"
"54","Haplic Leptosols"
"55","Haplic Leptosols (Eutric)"
"56","Haplic Lixisols"
"57","Haplic Lixisols (Chromic)"
"58","Haplic Lixisols (Ferric)"
"59","Haplic Luvisols"
"60","Haplic Luvisols (Chromic)"
"61","Haplic Luvisols (Ferric)"
"62","Haplic Nitisols (Rhodic)"
"63","Haplic Phaeozems"
"64","Haplic Planosols (Eutric)"
"65","Haplic Podzols"
"66","Haplic Regosols"
"67","Haplic Regosols (Eutric)"
"68","Haplic Solonchaks"
"69","Haplic Solonchaks (Sodic)"
"70","Haplic Solonetz"
"71","Haplic Umbrisols"
"72","Haplic Vertisols"
"73","Haplic Vertisols (Eutric)"
"74","Hemic Histosols"
"75","Histic Albeluvisols"
"76","Hypoluvic Arenosols"
"77","Leptic Cambisols"
"78","Leptic Luvisols"
"79","Leptic Phaeozems"
"80","Leptic Regosols"
"81","Leptic Umbrisols"
"82","Lithic Leptosols"
"83","Lixic Plinthosols"
"84","Luvic Calcisols"
"85","Luvic Chernozems"
"86","Luvic Phaeozems"
"87","Luvic Stagnosols"
"88","Mollic Gleysols"
"89","Mollic Leptosols"
"90","Mollic Solonetz"
"91","Mollic Vertisols"
"92","Petric Calcisols"
"93","Petric Durisols"
"94","Plinthic Acrisols"
"95","Protic Arenosols"
"96","Rendzic Leptosols"
"97","Sapric Histosols"
"98","Solodic Planosols"
"99","Stagnic Luvisols"
"100","Turbic Cryosols"
"101","Umbric Andosols"
"102","Umbric Gleysols"
"103","Vertic Cambisols"
"104","Vertic Luvisols"
"105","Vitric Acrisols"
"106","Vitric Andosols"
"107","Vitric Cryosols"
