COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
16716820	Ocean	CL1	0	1
13816530	Shifting Sand	CL2	1	2
12171775	Rock	CL3	2	3
16119285	Ice	CL4	3	4
13422920	Histels	CL5	5	6
13816899	Turbels	CL6	6	7
13420622	Orthels	CL7	7	8
2763429	Folists	CL8	10	11
2630578	Fibrists	CL9	11	12
1644980	Hemists	CL10	12	13
2631844	Saprists	CL11	13	14
14204888	Aquods	CL12	15	16
13943764	Cryods	CL13	16	17
13810386	Humods	CL14	17	18
14008533	Orthods	CL15	18	19
14531037	Gelods	CL16	19	20
16711935	Aquands	CL17	20	21
16384762	Cryands	CL18	21	22
16385532	Torrands	CL19	22	23
16714495	Xerands	CL20	23	24
16057596	Vitrands	CL21	24	25
15731957	Ustands	CL22	25	26
15794417	Udands	CL23	26	27
15402475	Gelands	CL24	27	28
255	Aquox	CL25	30	31
329205	Torrox	CL26	31	32
658162	Ustox	CL27	32	33
131835	Perox	CL28	33	34
921343	Udox	CL29	34	35
65535	Aquerts	CL30	40	41
61937	Cryerts	CL31	41	42
391930	Xererts	CL32	42	43
846827	Torrerts	CL33	43	44
60405	Usterts	CL34	44	45
458734	Uderts	CL35	45	46
12180223	Cryids	CL36	50	51
12310517	Salids	CL37	51	52
12178421	Durids	CL38	52	53
12110056	Gypsids	CL39	53	54
12770815	Argids	CL40	54	55
12635623	Calcids	CL41	55	56
13165555	Cambids	CL42	56	57
42495	Aquults	CL43	60	61
174067	Humults	CL44	61	62
40187	Udults	CL45	62	63
372976	Ustults	CL46	63	64
1022199	Xerults	CL47	64	65
261641	Borolls	CL48	69	70
65280	Albolls	CL49	70	71
392963	Aquolls	CL50	71	72
62213	Rendolls	CL51	72	73
716802	Xerolls	CL52	73	74
256527	Cryolls	CL53	74	75
61440	Ustolls	CL54	75	76
851724	Udolls	CL55	76	77
1367316	Gelolls	CL56	77	78
3145645	Aqualfs	CL57	80	81
3145637	Cryalfs	CL58	81	82
3669900	Ustalfs	CL59	82	83
1703855	Xeralfs	CL60	83	84
1703820	Udalfs	CL61	84	85
6053069	Udepts	CL62	85	86
6249163	Gelepts	CL63	86	87
6314442	Ochrepts	CL64	89	90
6052303	Aquepts	CL65	90	91
5589974	Anthrepts	CL66	91	92
6118624	Cryepts	CL67	92	93
4216787	Ustepts	CL68	93	94
3497945	Xerepts	CL69	94	95
13959039	Aquents	CL70	95	96
13827965	Arents	CL71	96	97
13497734	Psamments	CL72	97	98
13827955	Fluvents	CL73	98	99
13168264	Orthents	CL74	99	100
