"","Albolls","Aqualfs","Aquands","Aquents","Aquepts","Aquerts","Aquods","Aquolls","Aquox","Aquults","Arents","Argids","Borolls","Calcids","Cambids","Cryalfs","Cryands","Cryepts","Cryods","Cryolls","Durids","Fibrists","Fluvents","Folists","Gelands","Gelods","Gypsids","Hemists","Histels","Humods","Humults","Ochrepts","Orthels","Orthents","Orthods","Perox","Psamments","Rendolls","Salids","Saprists","Torrands","Torrerts","Torrox","Turbels","Udalfs","Udands","Udepts","Uderts","Udolls","Udox","Udults","Ustalfs","Ustands","Ustepts","Usterts","Ustolls","Ustox","Ustults","Vitrands","Xeralfs","Xerands","Xerepts","Xererts","Xerolls","Xerults"
"Albolls",6,33,0,0,1,1,0,50,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,0,0,0,0,0,0,36,0,0,0,29,3,0,1,0,0,0,20,0,0,0,3,0,0,0,20,0
"Aqualfs",16,1030,0,3,19,2,0,77,0,12,6,0,90,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,3,17,1,1,32,0,4,0,0,3,0,0,0,0,871,1,5,0,107,13,121,26,0,0,4,92,13,1,0,0,1,0,0,17,0
"Aquands",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
"Aquents",0,103,0,79,226,3,1,132,0,5,1,4,26,1,0,0,0,3,0,0,0,2,31,0,0,2,0,2,4,0,1,101,12,2,55,0,17,0,0,11,0,0,0,16,214,7,22,0,99,8,73,17,0,0,4,33,4,4,0,2,0,1,1,13,0
"Aquepts",0,180,0,149,198,7,2,248,0,7,1,12,93,0,1,0,3,4,2,0,0,5,65,0,0,2,0,1,4,0,1,129,3,7,122,0,16,0,1,3,0,0,2,23,173,8,33,0,16,9,83,31,0,1,8,12,8,3,1,4,1,24,0,28,0
"Aquerts",1,56,0,3,3,32,0,30,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,33,0,0,2,12,3,12,4,0,0,2,10,0,0,0,5,0,0,1,6,0
"Aquods",0,3,0,3,6,0,20,1,0,2,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,2,1,1,39,16,0,92,0,10,0,0,1,0,0,0,13,13,3,7,0,4,0,51,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"Aquolls",37,207,0,87,236,7,1,453,0,0,3,6,122,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,3,0,1,45,1,0,44,0,5,0,0,3,0,0,0,0,363,0,2,0,633,12,35,3,0,0,1,60,4,0,0,7,0,9,3,49,0
"Aquox",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Aquults",0,7,0,5,8,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,6,0,10,4,0,5,0,0,0,0,0,0,0,27,1,3,0,1,29,202,6,0,1,0,0,16,5,0,0,0,0,0,0,0
"Arents",0,1,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,38,0,0,0,8,11,2,0,0,0,0,0,61,1,0,2,0,0,0,0,0
"Argids",0,2,0,1,2,0,0,2,0,0,0,622,22,2,6,0,0,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,26,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,2,21,0,0,1,63,2,0,0,1,1,2,0,100,0
"Borolls",234,3,0,2,7,0,1,16,0,0,0,26,1594,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0,6,5,0,3,0,0,0,0,0,0,2,3,0,0,0,16,0,0,0,0,0,0,22,0,0,0,0,1,0,0,38,0
"Calcids",0,0,0,0,2,0,0,4,0,0,0,104,2,70,31,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,15,0,0,0,1,1,8,5,14,0
