ATTR,KEY,FAO_90_names
FAO90,ACf,Ferric Acrisol
FAO90,ACg,Gleyic Acrisol
FAO90,ACh,Haplic Acrisol
FAO90,ACp,Plinthic Acrisol
FAO90,ACu,Humic Acrisol
FAO90,ALf,Ferric Alisol
FAO90,ALg,Gleyic Alisol
FAO90,ALh,Haplic Alisol
FAO90,ALj,Stagnic Alisol
FAO90,ALp,Plinthic Alisol
FAO90,ALu,Humic Alisol
FAO90,ANg,Gleyic Andosol
FAO90,ANh,Haplic Andosol
FAO90,ANi,Gelic Andosol
FAO90,ANm,Mollic Andosol
FAO90,ANu,Umbric Andosol
FAO90,ANz,Vitric Andosol
FAO90,ARa,Albic Arenosol
FAO90,ARb,Cambic Arenosol
FAO90,ARc,Calcaric Arenosol
FAO90,ARg,Gleyic Arenosol
FAO90,ARh,Haplic Arenosol
FAO90,ARl,Luvic Arenosol
FAO90,ARo,Ferralic Arenosol
FAO90,ATa,Aric Anthrosol
FAO90,ATc,Cumulic Anthrosol
FAO90,ATf,Fimic Anthrosol
FAO90,ATu,Urbic Anthrosol
FAO90,CHg,Gleyic Chernozem
FAO90,CHh,Haplic Chernozem
FAO90,CHk,Calcic Chernozem
FAO90,CHl,Luvic Chernozem
FAO90,CHw,Glossic Chernozem
FAO90,CLh,Haplic Calcisol
FAO90,CLl,Luvic Calcisol
FAO90,CLp,Petric Calcisol
FAO90,CMc,Calcaric Cambisol
FAO90,CMd,Dystric Cambisol
FAO90,CMe,Eutric Cambisol
FAO90,CMg,Gleyic Cambisol
FAO90,CMi,Gelic Cambisol
FAO90,CMo,Ferralic Cambisol
FAO90,CMu,Humic Cambisol
FAO90,CMv,Vertic Cambisol
FAO90,CMx,Chromic Cambisol
FAO90,FLc,Calcaric Fluvisol
FAO90,FLd,Dystric Fluvisol
FAO90,FLe,Eutric Fluvisol
FAO90,FLm,Mollic Fluvisol
FAO90,FLs,Salic Fluvisol
FAO90,FLt,Thionic Fluvisol
FAO90,FLu,Umbric Fluvisol
FAO90,FRg,Geric Ferralsol
FAO90,FRh,Haplic Ferralsol
FAO90,FRp,Plinthic Ferralsol
FAO90,FRr,Rhodic Ferralsol
FAO90,FRu,Humic Ferralsol
FAO90,FRx,Xanthic Ferralsol
FAO90,GLa,Andic Gleysol
FAO90,GLd,Dystric Gleysol
FAO90,GLe,Eutric Gleysol
FAO90,GLi,Gelic Gleysol
FAO90,GLk,Calcic Gleysol
FAO90,GLm,Mollic Gleysol
FAO90,GLt,Thionic Gleysol
FAO90,GLu,Umbric Gleysol
FAO90,GRg,Gleyic Greyzem
FAO90,GRh,Haplic Greyzem
FAO90,GYh,Haplic Gypsisol
FAO90,GYk,Calcic Gypsisol
FAO90,GYl,Luvic Gypsisol
FAO90,GYp,Petric Gypsisol
FAO90,HSf,Fibric Histosol
FAO90,HSi,Gelic Histosol
FAO90,HSl,Folic Histosol
FAO90,HSs,Terric Histosol
FAO90,HSt,Thionic Histosol
FAO90,KSh,Haplic Kastanozem
FAO90,KSk,Calcic Kastanozem
FAO90,KSl,Luvic Kastanozem
FAO90,KSy,Gypsic Kastanozem
FAO90,LPd,Dystric Leptosol
FAO90,LPe,Eutric Leptosol
FAO90,LPi,Gelic Leptosol
FAO90,LPk,Rendzic Leptosol
FAO90,LPm,Mollic Leptosol
FAO90,LPq,Lithic Leptosol
FAO90,LPu,Umbric Leptosol
FAO90,LVa,Albic Luvisol
FAO90,LVf,Ferric Luvisol
FAO90,LVg,Gleyic Luvisol
FAO90,LVh,Haplic Luvisol
FAO90,LVj,Stagnic Luvisol
FAO90,LVk,Calcic Luvisol
FAO90,LVv,Vertic Luvisol
FAO90,LVx,Chromic Luvisol
FAO90,LXa,Albic Lixisol
FAO90,LXf,Ferric Lixisol
FAO90,LXg,Gleyic Lixisol
FAO90,LXh,Haplic Lixisol
FAO90,LXj,Stagnic Lixisol
FAO90,LXp,Plinthic Lixisol
FAO90,NTh,Haplic Nitisol
FAO90,NTr,Rhodic Nitisol
FAO90,NTu,Humic Nitisol
FAO90,PDd,Dystric Podzoluvisol
FAO90,PDe,Eutric Podzoluvisol
FAO90,PDg,Gleyic Podzoluvisol
FAO90,PDi,Gelic Podzoluvisol
FAO90,PDj,Stagnic Podzoluvisol
FAO90,PHc,Calcaric Phaeozem
FAO90,PHg,Gleyic Phaeozem
FAO90,PHh,Haplic Phaeozem
FAO90,PHj,Stagnic Phaeozem
FAO90,PHl,Luvic Phaeozem
FAO90,PLd,Dystric Planosol
FAO90,PLe,Eutric Planosol
FAO90,PLi,Gelic Planosol
FAO90,PLm,Mollic Planosol
FAO90,PLu,Umbric Planosol
FAO90,PTa,Albic Plinthosol
FAO90,PTd,Dystric Plinthosol
FAO90,PTe,Eutric Plinthosol
FAO90,PTu,Humic Plinthosol
FAO90,PZb,Cambic Podzol
FAO90,PZc,Carbic Podzol
FAO90,PZf,Ferric Podzol
FAO90,PZg,Gleyic Podzol
FAO90,PZh,Haplic Podzol
FAO90,PZi,Gelic Podzol
FAO90,RGc,Calcaric Regosol
FAO90,RGd,Dystric Regosol
FAO90,RGe,Eutric Regosol
FAO90,RGi,Gelic Regosol
FAO90,RGu,Umbric Regosol
FAO90,RGy,Gypsic Regosol
FAO90,SCg,Gleyic Solonchak
FAO90,SCh,Haplic Solonchak
FAO90,SCi,Gelic Solonchak
FAO90,SCk,Calcic Solonchak
FAO90,SCm,Mollic Solonchak
FAO90,SCn,Sodic Solonchak
FAO90,SCy,Gypsic Solonchak
FAO90,SNg,Gleyic Solonetz
FAO90,SNh,Haplic Solonetz
FAO90,SNj,Stagnic Solonetz
FAO90,SNk,Calcic Solonetz
FAO90,SNm,Mollic Solonetz
FAO90,SNy,Gypsic Solonetz
FAO90,VRd,Dystric Vertisol
FAO90,VRe,Eutric Vertisol
FAO90,VRk,Calcic Vertisol
FAO90,VRy,Gypsic Vertisol
