FAO90,SoilUnitD90,SoilGroupD90,FAO 90Code,FAO 90remarks,FAO74,SoilUnitD74,SoilGroup74,SoilGroupD74,FAO 74Code,CPCS,SoilUnitDCPCS,SoilGroupCPCS,SoilGroupDCPCS,Correlation,FAO88,SoilUnit8D8,SoilGroup88,SoilGroupD88,Code88,US,SoilUnitDUS,SoilGroupUS,SoilGroupDUS,Correlation,CPSS from report (tentative),WRB (tentative) from report
AC,Acrisols,Acrisols,104,,A,Acrisol,A,Acrisols,,,,,,AC,AC,ACRISOLS,AC,ACRISOLS,18,,,,,AC,,
ACf,Ferric Acrisols,Acrisols,106,,Af,Ferric Acrisol,A,Acrisols,91,IX/22,Sols fersiallitiques sans réserve calcique (et lessivés).,IX,Sols á sesquioxydes de fer,ACf,ACf,Ferric Acrisols,AC,ACRISOLS,20,FEB,Haploxerult,F,Ultisols,ACf,Sol faiblement ferrallitique,
ACg,Gleyic Acrisols,Acrisols,109,,Ag,Gleyic Acrisol,A,Acrisols,94,VII/12,Sols lessivés,VII,Sols brunifiés,ACg,ACg,Gleyic Acrisols,AC,ACRISOLS,23,FAF,Ochraquult,F,Ultisols,ACg,,
ACh,Orthic Acrisols,Acrisols,105,,Ao,Orthic Acrisol,A,Acrisols,90,IX/12,Sols ferrugineux tropicaux,IX,Sols á sesquioxydes de fer,ACh,ACh,Haplic Acrisols,AC,ACRISOLS,19,FDD,Haplustult,F,Ultisols,ACh,Sol ferrugineux tropical lessivé,"Haplic Acrisol (Ferric, Abruptic,Arenic)"
ACu,Humic Acrisols,Acrisols,107,,Ah,Humic Acrisol,A,Acrisols,92,IX/12,Sols ferrugineux tropicaux,IX,Sols á sesquioxydes de fer,ACu,ACu,Humic Acrisols,AC,ACRISOLS,21,FBB,Palehumult,F,Ultisols,ACu,,
AN,Andosols,Andosols,22,,T,Andosol,T,Andosols,,,,,,AN,AN,ANDOSOLS,AN,ANDOSOLS,31,,,,,AN,,
ANh,Ochric Andosols,Andosols,23,,To,Ochric Andosol,T,Andosols,23,IV/22,Sols desatures,IV,Andosols,ANh,ANh,Haplic Andosols,AN,ANDOSOLS,32,IBG,Dystrandept,I,Inceptisols,ANh,,
ANm,Mollic Andosols,Andosols,24,,Tm,Mollic Andosol,T,Andosols,24,IV/21,Sols saturés,IV,Andosols,ANm,ANm,Mollic Andosols,AN,ANDOSOLS,33,IBF,Eutrandept,I,Inceptisols,ANm,,
ANu,Humic Andosols,Andosols,25,,Th,Humic Andosol,T,Andosols,25,IV/21,Sols saturés,IV,Andosols,ANu,ANu,Umbric Andosols,AN,ANDOSOLS,34,IBG,Dystrandept,I,Inceptisols,ANu,,
ANz,Vitric Andosols,Andosols,26,,Tv,Vitric Andosol,T,Andosols,26,IV/21,Sols saturés,IV,Andosols,ANz,ANz,Vitric Andosols,AN,ANDOSOLS,35,IBE,Vitrandept,I,Inceptisols,ANz,,
AR,Arenosols,Arenosols,15,,Q,Arenosol,Q,Arenosols,,,,,,AR,AR,ARENOSOLS,AR,ARENOSOLS,38,,,,,AR,,
ARa,Albic Arenosols,Arenosols,19,,Qa,Albic Arenosol,Q,Arenosols,20,VIII/12,Sols podzoliques,VIII,Sols podzolisés,ARa,ARa,Albic Arenosols,AR,ARENOSOLS,43,JCC,Quartzipsamment,J,Entisols,ARa,Sol ferrugineux tropical faiblement lessivé sur sable,
ARb,Cambic Arenosols,Arenosols,16,,Qc,Cambic arenosol,Q,Arenosols,17,VII/11,Sols bruns,VII,Sols brunifiés,ARb,ARb,Cambic Arenosols,AR,ARENOSOLS,40,JCG,Ustipsamment,J,Entisols,ARb,Sol brun-rouge subaride,
ARl,Luvic Arenosols,Arenosols,17,,Ql,Luvic arenosol,Q,Arenosols,18,VII/22,Sols derno-podzoliques,VII,Sols brunifiés,ARl,ARl,Luvic Arenosols,AR,ARENOSOLS,41,JCA,Cryopsamment,J,Entisols,ARl,Sol ferrugineux tropical lessivé,
ARo,Ferralic Arenosols,Arenosols,18,,Qf,Ferralic arenosol,Q,Arenosols,19,X/36,Sols ferralitiques lessivés,X,Sols ferrallitiques,ARo,ARo,Ferralic Arenosols,AR,ARENOSOLS,42,JCG,Ustipsamment,J,Entisols,ARo,Sol ferrugineux tropical peu lessivé,
CH,Chernozems,Chernozems,54,,C,Chernozem,C,Chernozems,,,,,,CH,CH,CHERNOZEMS,CH,CHERNOZEMS,51,,,,,CH,,
CHh,Haplic Chernozems,Chernozems,55,,Ch,Haplic Chernozem,C,Chernozems,48,VI/21,Chernozems,VI,Sols isohumiques,CHh,CHh,Haplic Chernozems,CH,CHERNOZEMS,52,GFF,Vermustoll,G,Mollisols,CHh,,
CHk,Calcic Chernozems,Chernozems,56,,Ck,Calcic Chernozem,C,Chernozems,49,VI/21,Chernozems,VI,Sols isohumiques,CHk,CHk,Calcic Chernozems,CH,CHERNOZEMS,53,GFF,Vermustoll,G,Mollisols,CHk,,
CHl,Luvic Chernozems,Chernozems,57,,Cl,Luvic Chernozem,C,Chernozems,50,VI/21,Chernozems,VI,Sols isohumiques,CHl,CHl,Luvic Chernozems,CH,CHERNOZEMS,54,GGB,Argiudolls,G,Mollisols,CHl,,
CHw,Glossic Chernozems,Chernozems,58,,Cg,Glossic Chernozem,C,Chernozems,51,VI/21,Chernozems,VI,Sols isohumiques,CHw,CHw,Glossic Chernozems,CH,CHERNOZEMS,55,GEB,Cryoboroll,G,Mollisols,CHw,,
