TAXNWRB,count,WRB_2006_NAME
Haplic Cryosols,1508,Haplic Cryosols
Haplic Ferralsol,1421,Haplic Ferralsols
Haplic Luvisols,1299,Haplic Luvisols
Haplic Kastanozems,1130,Haplic Kastanozems
Haplic Calcisol,1060,Haplic Calcisols
Calcaric Regosol,1048,Aric Regosols
Haplic Chernozem,790,Haplic Chernozems
Albic Luvisol / Gleyic Luvisol,779,Albic Luvisols / Gleyic Luvisols
Dystric Cambisol,629,Haplic Cambisols (Dystric)
Chromic Acrisol,624,Haplic Acrisols
Calcaric Cambisol,615,Haplic Cambisols (Calcaric)
Haplic Cambisol,580,Haplic Cambisols
Haplic Acrisols,579,Haplic Acrisols
Orthic Podzol,577,Haplic Podzols
Haplic Luvisol,539,Haplic Luvisols
Eutric Cambisol / Calcic Cambisol,504,Haplic Cambisols (Eutric) / Haplic Cambisols (Calcaric)
Haplic Chernozems,490,Haplic Chernozems
Calcaric Fluvisol,484,Haplic Fluvisols (Calcaric)
Haplic Gypsisol,471,Haplic Gypsisols
Ferralic Arenosol,447,Ferralic Arenosols
Haplic Acrisol,442,Haplic Acrisols
Chromic Lixisol,418,Haplic Lixisols (Chromic)
FERRALIC ARENOSOL,411,Ferralic Arenosols
Haplic Alisol,411,Haplic Alisols
Eutric Cambisol,395,Haplic Cambisols (Eutric)
Eutric Vertisol,380,Haplic Vertisols (Eutric)
Mollic Gleysol / Umbric Gleysol / Calcic Gleysol,378,Mollic Gleysols / Umbric Gleysols
Gleyic Luvisols,371,Gleyic Luvisols
Haplic Arenosol,363,Haplic Arenosols
Haplic Kastanozem,356,Haplic Kastanozems
Haplic Gleysol,355,Haplic Gleysols
PETRIC CALCISOL,352,Petric Calcisols
Calcic Cambisols,336,Haplic Cambisols (Calcaric)
Chromic Luvisol,320,Haplic Luvisols (Chromic)
Lithic Leptosol,319,Lithic Leptosols
Eutric Fluvisol,311,Haplic Fluvisols (Eutric)
Rendzinas,308,Rendzic Leptosols
Greyzem,303,Haplic Phaeozems
Protic Arenosols,302,Protic Arenosols
Haplic Cambisols (Eutric),297,Haplic Cambisols (Eutric)
Haplic Alisols,295,Haplic Alisols
Luvic Phaeozem,284,Luvic Phaeozems
Haplic Cambisols (Dystric),276,Haplic Cambisols (Dystric)
Haplic Lixisol,275,Haplic Lixisols
Escalic LEPTOSOL,273,Haplic Leptosols / Calcaric Regosols
Luvic Phaeozems,260,Luvic Phaeozems
Eutric Gleysol,251,Haplic Gleysols (Eutric)
Regosol,250,Haplic Regosols (Eutric)
Ferralic Cambisol,248,Ferralic Cambisols
Haplic Phaeozem,235,Haplic Phaeozems
Cumulic Anthrosol,221,
Eutric Leptosol,221,Haplic Leptosols (Eutric)
Cryic Histosols,220,Cryic Histosols
Haplic Solonetz,220,Haplic Solonetz
Hemic Histosol,219,Hemic Histosols
Vertic Cambisol,218,Vertic Cambisols
Ferric Acrisol,215,Haplic Acrisols (Ferric)
Fibric Histosols,207,Fibric Histosols
Albic Luvisol / Haplic Luvisol,206,Albic Luvisols / Haplic Luvisols
Calcic Vertisol,203,Calcic Vertisols
Haplic Podzols,202,Haplic Podzols
Leptosols,200,Haplic Leptosols
Rhodic Nitisol,196,Haplic Nitisols (Rhodic)
Mollic Solonetz / Haplic Solonetz / Gleyic Solonetz,193,Mollic Solonetz / Haplic Solonetz / Gleyic Solonetz
Haplic Cambisols,188,Haplic Cambisols
Acric Ferralsol,184,Acric Ferralsols
Epileptic REGOSOL,181,Leptic Regosols
Epipetric CALCISOL,181,Petric Calcisols
Calcic Chernozem,180,Calcic Chernozems
Calcic Luvisol,177,Calcic Luvisols
Haplic Calcisols,174,Haplic Calcisols
Acric Plinthosol,170,Acric Plinthosols
Dystric Cambisols,168,Haplic Cambisols (Dystric)
Haplic Phaeozems,162,Haplic Phaeozems
Haplic Vertisols (Eutric),160,Haplic Vertisols (Eutric)
Lithic LEPTOSOL,156,Lithic Leptosols
Gleyic Luvisol,155,Gleyic Luvisols
