"","WRB_2006_NAMEf","Group"
"1","Acric Ferralsols","Ferralsols"
"2","Acric Plinthosols","Plinthosols"
"3","Albic Arenosols","Arenosols"
"4","Albic Luvisols","Luvisols"
"5","Gleyic Luvisols","Luvisols"
"6","Haplic Luvisols","Luvisols"
"7","Alic Nitisols","Nitisols"
"8","Aluandic Andosols","Andosols"
"9","Aric Regosols","Regosols"
"10","Calcic Chernozems","Chernozems"
"11","Calcic Gleysols","Gleysols"
"12","Calcic Gypsisols","Gypsisols"
"13","Calcic Histosols","Histosols"
"14","Calcic Kastanozems","Kastanozems"
"15","Haplic Kastanozems","Kastanozems"
"16","Calcic Luvisols","Luvisols"
"17","Calcic Solonetz","Solonetz"
"18","Calcic Vertisols","Vertisols"
"19","Cryic Histosols","Histosols"
"20","Cutanic Alisols","Alisols"
"21","Endogleyic Cambisols","Cambisols"
"22","Endogleyic Planosols","Planosols"
"23","Ferralic Arenosols","Arenosols"
"24","Ferralic Cambisols","Cambisols"
"25","Fibric Histosols","Histosols"
"26","Gleyic Podzols","Podzols"
"27","Gleyic Solonetz","Solonetz"
"28","Gypsic Solonchaks","Solonchaks"
"29","Haplic Acrisols","Acrisols"
"30","Haplic Acrisols (Alumic)","Acrisols"
"31","Haplic Acrisols (Ferric)","Acrisols"
"32","Haplic Acrisols (Humic)","Acrisols"
"33","Haplic Albeluvisols","Albeluvisols"
"34","Haplic Alisols","Alisols"
"35","Haplic Andosols","Andosols"
"36","Haplic Arenosols","Arenosols"
"37","Haplic Arenosols (Calcaric)","Arenosols"
"38","Haplic Calcisols","Calcisols"
"39","Haplic Calcisols (Sodic)","Calcisols"
"40","Haplic Cambisols","Cambisols"
"41","Haplic Cambisols (Calcaric)","Cambisols"
"42","Haplic Cambisols (Chromic)","Cambisols"
"43","Leptic Cambisols","Cambisols"
"44","Haplic Cambisols (Dystric)","Cambisols"
"45","Haplic Cambisols (Eutric)","Cambisols"
"46","Haplic Cambisols (Humic)","Cambisols"
"47","Haplic Cambisols (Sodic)","Cambisols"
"48","Haplic Chernozems","Chernozems"
"49","Haplic Cryosols","Cryosols"
"50","Haplic Ferralsols","Ferralsols"
"51","Haplic Ferralsols (Rhodic)","Ferralsols"
"52","Haplic Ferralsols (Xanthic)","Ferralsols"
"53","Haplic Fluvisols","Fluvisols"
"54","Haplic Fluvisols (Arenic)","Fluvisols"
"55","Haplic Fluvisols (Calcaric)","Fluvisols"
"56","Haplic Fluvisols (Dystric)","Fluvisols"
"57","Haplic Fluvisols (Eutric)","Fluvisols"
"58","Haplic Gleysols","Gleysols"
"59","Haplic Gleysols (Dystric)","Gleysols"
"60","Haplic Gleysols (Eutric)","Gleysols"
"61","Haplic Gypsisols","Gypsisols"
"62","Haplic Leptosols","Leptosols"
"63","Haplic Leptosols (Eutric)","Leptosols"
"64","Calcaric Regosols","Regosols"
"65","Haplic Lixisols","Lixisols"
"66","Haplic Lixisols (Chromic)","Lixisols"
"67","Haplic Lixisols (Ferric)","Lixisols"
"68","Rendzic Leptosols","Leptosols"
"69","Haplic Luvisols (Chromic)","Luvisols"
"70","Haplic Luvisols (Ferric)","Luvisols"
"71","Haplic Nitisols (Rhodic)","Nitisols"
"72","Haplic Phaeozems","Phaeozems"
"73","Haplic Planosols (Dystric)","Planosols"
"74","Haplic Planosols (Eutric)","Planosols"
"75","Haplic Podzols","Podzols"
"76","Haplic Regosols (Dystric)","Regosols"
"77","Haplic Regosols (Eutric)","Regosols"
"78","Haplic Regosols (Sodic)","Regosols"
"79","Haplic Solonchaks","Solonchaks"
"80","Haplic Solonchaks (Sodic)","Solonchaks"
"81","Haplic Solonetz","Solonetz"
"82","Haplic Umbrisols","Umbrisols"
"83","Haplic Vertisols","Vertisols"
"84","Haplic Vertisols (Eutric)","Vertisols"
"85","Lithic Leptosols","Leptosols"
"86","Hemic Histosols","Histosols"
"87","Hypoluvic Arenosols","Arenosols"
"88","Leptic Luvisols","Luvisols"
"89","Leptic Phaeozems","Phaeozems"
"90","Leptic Regosols","Regosols"
"91","Leptic Umbrisols","Umbrisols"
"92","Mollic Leptosols","Leptosols"
"93","Lixic Plinthosols","Plinthosols"
"94","Luvic Calcisols","Calcisols"
"95","Luvic Chernozems","Chernozems"
"96","Luvic Phaeozems","Phaeozems"
"97","Luvic Planosols","Planosols"
"98","Luvic Stagnosols","Stagnosols"
"99","Mollic Gleysols","Gleysols"
"100","Umbric Gleysols","Gleysols"
"101","Mollic Solonetz","Solonetz"
"102","Mollic Vertisols","Vertisols"
"103","Petric Calcisols","Calcisols"
"104","Petric Durisols","Durisols"
"105","Plinthic Acrisols","Acrisols"
"106","Protic Arenosols","Arenosols"
"107","Sapric Histosols","Histosols"
"108","Solodic Planosols","Planosols"
"109","Stagnic Luvisols","Luvisols"
"110","Turbic Cryosols","Cryosols"
"111","Umbric Albeluvisols","Albeluvisols"
"112","Umbric Ferralsols","Ferralsols"
"113","Vertic Cambisols","Cambisols"
"114","Vertic Luvisols","Luvisols"
"115","Vetic Acrisols","Acrisols"
"116","Vitric Andosols","Andosols"
"117","Vitric Cryosols","Cryosols"
"118","Histic Albeluvisols","Albeluvisols"
