"","WRB_2006_NAME","WRB_1994_NAME"
"17","Aluandic Andosols","Alic Andosols"
"19","Andic Alisols","Ferric Alisols"
"38","Brunic Arenosols","Cambic Arenosols"
"60","Carbic Podzols","Humic Podzols"
"62","Cryic Histosols","Gelic Histosols"
"66","Cutanic Alisols","Luvic Alisols"
"81","Endogleyic Cambisols","Gleyic Cambisols"
"86","Endogleyic Stagnosols","Gleyic Stagnosols"
"100","Entic Podzols","Cambic Podzols"
"143","Fragic Albeluvisols","Fragic Glossosols"
"156","Gleyic Albeluvisols","Gleyic Glossosols"
"206","Haplic Plinthosols","Haplic Sesquisols"
"247","Hypoluvic Arenosols","Luvic Arenosols"
"249","Irragric Cambisols","Fluvic Cambisols"
"300","Mesotrophic Vertisols","Dystric Vertisols"
"313","Mollic Umbrisols","Mollic Cambisols"
"326","Petric Plinthosols","Petric Sesquisols"
"360","Plinhtic Acrisols","Plinthic Acrisols"
"375","Rendzic Leptosols","Rhendzic Leptosols"
"388","Silandic Andosols","Silic Andosols"
"397","Stagnic Albeluvisols","Stagnic Glossosols"
"408","Stagnic Plinthosols","Stagnic Sesquisols"
"450","Terric Andosols","Cumulic Andosols"
"456","Umbric Albeluvisols","Umbric Glossosols"
"470","Umbric Technosols","Anthropic Regosols"
