World_Soil_Map_1974_Group,World_Soil_Map_1974_Subgroup,World_Soil_Map_1984_Group,World_Soil_Map_1984_Subgroup,WRB_1994_Group,WRB_1994_Subgroup,WRB_1998_Group,WRB_1998_Subgroup,WRB_2006_Group,WRB_2006_Prefixes,WRB_2006_Suffixes,WRB_2014_Group,WRB_2014_Subgroup,WRB_2006_NAME,FAO_1974_NAME,WRB_1994_NAME
Acrisols,,Acrisols,,Acrisols,,Acrisols,Vetic,Acrisols,Vetic,,,,Vetic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Lamellic,Acrisols,Lamellic,,,,Lamellic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Cutanic,,,,Cutanic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Technic,,,,Technic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Leptic,Acrisols,Leptic,,,,Leptic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Fractiplinthic,,,,Fractiplinthic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Petroplinthic,,,,Petroplinthic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Pisoplinthic,,,,Pisoplinthic Acrisols, Acrisols, Acrisols
Acrisols,Plinthic,Acrisols,Plinthic,Acrisols,Plinthic,Acrisols,Plinthic,Acrisols,Plinhtic,,,,Plinhtic Acrisols,Plinthic Acrisols,Plinthic Acrisols
Acrisols,Gleyic,Acrisols,Gleyic,Acrisols,Gleyic,Acrisols,Gleyic,Acrisols,Gleyic,,,,Gleyic Acrisols,Gleyic Acrisols,Gleyic Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Vitric,Acrisols,Vitric,,,,Vitric Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Andic,Acrisols,Andic,,,,Andic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Nitic,,,,Nitic Acrisols, Acrisols, Acrisols
Acrisols,Humic,Acrisols,Humic,Acrisols,,Acrisols,Humic,Acrisols,Haplic,Humic,,,Haplic Acrisols,Humic Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Umbric,Acrisols,Umbric,,,,Umbric Acrisols, Acrisols, Acrisols
Acrisols,Orthic,Acrisols,Haplic,Acrisols,Haplic,Acrisols,Haplic,Acrisols,Haplic,,,,Haplic Acrisols,Orthic Acrisols,Haplic Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Antric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,Albic,Acrisols,Albic,Acrisols,Haplic,Albic,,,Haplic Acrisols, Acrisols,Albic Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Fragic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Sombric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Manganiferric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,Ferric,Acrisols,Ferric,Acrisols,Ferric,Acrisols,Ferric,Acrisols,Haplic,Ferric,,,Haplic Acrisols,Ferric Acrisols,Ferric Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Abruptic,Acrisols,Haplic,Abruptic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Ruptic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Alumic,Acrisols,Haplic,Alumic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,Humic,Acrisols,Humic,Acrisols,Haplic,Humic,,,Haplic Acrisols, Acrisols,Humic Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Hyperdystric,Acrisols,Haplic,Hiperdystric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Epieutric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Oxiaquic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Greyic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Profondic,Acrisols,Haplic,Profundic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Hyperochric,Acrisols,Haplic,Hyperochric,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Nudiargic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Densic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Skeletic,Acrisols,Haplic,Skeletic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,Arenic,Acrisols,Arenic,Acrisols,Haplic,Arenic,,,Haplic Acrisols, Acrisols,Arenic Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Siltic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Clayic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Rhodic,Acrisols,Haplic,Rhodic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Chromic,Acrisols,Haplic,Chromic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Transportic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,,Acrisols,Haplic,Novic,,,Haplic Acrisols, Acrisols, Acrisols
Acrisols,,Acrisols,,Acrisols,,Acrisols,Geric,Acrisols,Haplic,,,,Haplic Acrisols, Acrisols, Acrisols
Podzoluvisols,,Podzoluvisols,,Glossosols,,Albeluvisols,,Albeluvisols,Haplic,,,,Haplic Albeluvisols, Podzoluvisols, Glossosols
Podzoluvisols,,Podzoluvisols,,Glossosols,Fragic,Albeluvisols,Fragic,Albeluvisols,Fragic,,,,Fragic Albeluvisols, Podzoluvisols,Fragic Glossosols
Podzoluvisols,,Podzoluvisols,,Glossosols,,Albeluvisols,,Albeluvisols,Cutanic,,,,Cutanic Albeluvisols, Podzoluvisols, Glossosols
Podzoluvisols,,Podzoluvisols,,Glossosols,,Albeluvisols,,Albeluvisols,Folic,,,,Folic Albeluvisols, Podzoluvisols, Glossosols
