TAXOUSDA,Count,TAXNWRB
DYSTROPEPTS,11,Haplic Cambisols (Dystric)
EUTROPEPTS,0,
FLUVAQUENTS,0,
HAPLORTHOX,18,Haplic Ferralsols
HUMITROPEPTS,0,
HYDRAQUENTS,0,
PLACAQUODS,5,Gleyic Podzols
PLINTUDULTS,0,
QUARTZIPSAMMENTS,0,
SULFAQUENTS,0,
TROPAQUENTS,0,
TROPAQUEPTS,6,Haplic Fluvisols
TROPAQUULTS,0,
TROPOFLUVENTS,1,Haplic Fluvisols
TROPOHEMISTS,14,Hemic Histosols
TROPOPSAMMENTS,0,
TROPORTHENTS,0,
TROPORTHODS,0,
TROPOSAPRISTS,0,
TROPUDULTS,92,Haplic Nitisols (Rhodic)
UMBRIORTHOX,0,
PALEUDULTS,0,
RENDOLLS,1,Rhendzic Leptosols
TROPUDALF,1,Haplic Nitisols (Rhodic)
PSAMMAQUENTS,0,
