number,names,Full_name,SYM90,Group,Comments
1,A,Acrisols,AC,Acrisol,
2,Af,Ferric Acrisols,ACf,Acrisol,"x Volgens FAO, volgende aaname gebruiken voor FAO74: 75% naar AC en 25% naar AL"
3,Ag,Gleyic Acrisols,ACg,Acrisol,
4,Ah,Humic Acrisols,ACu,Acrisol,
5,Ao,Orthic Acrisols,ACh,Acrisol,"x Volgens FAO, volgende aaname gebruiken voor FAO74: 75% naar AC en 25% naar AL"
6,Ap,Plinthic Acrisols,PTd,Plinthosol,"x  Volgens FAO, volgende aaname gebruiken voor Ap: 50% AC en 50% PT"
7,B,Cambisols,CM,Cambisol,
8,Bc,Chromic Cambisols,CMx,Cambisol,
9,Bd,Dystric Cambisols,CMd,Cambisol,
10,Be,Eutric Cambisols,CMe,Cambisol,
11,Bf,Ferralic Cambisols,CMo,Cambisol,
12,Bg,Gleyic Cambisols,CMg,Cambisol,
13,Bh,Humic Cambisols,CMu,Umbrisol,
14,Bk,Calcic Cambisols,CMc,Cambisol,
15,Bv,Vertic Cambisols,CMv,Cambisol,
16,Bx,Gelic Cambisols,CMi,Cryosol,
17,C,Chernozems,CH,Chernozem,
18,Cg,Glossic Chernozems,CHw,Chernozem,
19,Ch,Haplic Chernozems,CHh,Chernozem,
20,Ck,Calcic Chernozems,CHk,Chernozem,
21,Cl,Luvic Chernozems,CHl,Chernozem,
22,D,Podzoluvisols,PD,Albeluvisol,
23,Dd,Dystric Podzoluvisol,PDd,Albeluvisol,
24,De,Eutric Podzoluvisols,PDe,Albeluvisol,
25,Dg,Gleyic Podzoluvisols,PDg,Albeluvisol,
26,DS,Dunes/Sand,DS,,
27,E,Rendzinas,LPm,Leptosol,"x  Volgens FAO, volgende aaname gebruiken voor Rendzinas (E): 50% LP en 50% CL"
28,F,Ferralsols,FR,Ferralsol,
29,Fa,Acric Ferralsols,FRg,Ferralsol,
30,Fh,Humic Ferralsols,FRu,Ferralsol,
31,Fo,Orthic Ferralsols,FRh,Ferralsol,
32,Fp,Plinthic Ferralsols,PT,Plinthosol,"x  Volgens FAO, volgende aaname gebruiken voor Fp: 50% FR en 50% PT"
33,Fr,Rhodic Ferralsols,FRr,Ferralsol,
34,Fx,Xanthic Ferralsols,FRx,Ferralsol,
35,G,Gleysols,GL,Gleysol,
36,Gc,Calcaric Gleysols,GLk,Gleysol,
37,Gd,Dystric Gleysols,GLd,Gleysol,
38,Ge,Eutric Gleysols,GLe,Gleysol,
39,GG,Glaciers,GG,,
40,Gh,Humic Gleysols,GLu,Gleysol,
41,Gm,Mollic Gleysols,GLm,Gleysol,
