"","TAXNWRB","count","WRB_2006_NAME"
"Mollic Solonetz / Haplic Solonetz / Gleyic Solonetz","Mollic Solonetz / Haplic Solonetz / Gleyic Solonetz",1628,"Mollic Solonetz"
"Haplic Ferralsol","Haplic Ferralsol",1421,"Haplic Ferralsols"
"Aridic Kastanozem","Aridic Kastanozem",1116,NA
"Haplic Calcisol","Haplic Calcisol",1060,"Haplic Calcisols"
"Calcaric Regosol","Calcaric Regosol",1048,"Aric Regosols"
"Chromic Acrisol","Chromic Acrisol",624,NA
"Calcaric Cambisol","Calcaric Cambisol",615,NA
"Haplic Cambisol","Haplic Cambisol",580,"Haplic Cambisols"
"Haplic Luvisol","Haplic Luvisol",539,"Haplic Luvisols"
"Calcaric Fluvisol","Calcaric Fluvisol",484,NA
"Haplic Gypsisol","Haplic Gypsisol",471,"Haplic Gypsisols"
"Ferralic Arenosol","Ferralic Arenosol",447,"Ferralic Arenosols"
"Haplic Acrisol","Haplic Acrisol",442,"Haplic Acrisols"
"Chromic Lixisol","Chromic Lixisol",418,NA
"FERRALIC ARENOSOL","FERRALIC ARENOSOL",411,"Ferralic Arenosols"
"Haplic Alisol","Haplic Alisol",411,"Haplic Alisols"
"Eutric Vertisol","Eutric Vertisol",380,NA
"Haplic Arenosol","Haplic Arenosol",363,"Haplic Arenosols"
"PETRIC CALCISOL","PETRIC CALCISOL",352,"Petric Calcisols"
"Calcic Cambisols","Calcic Cambisols",336,NA
"Chromic Luvisol","Chromic Luvisol",320,NA
"Lithic Leptosol","Lithic Leptosol",319,"Lithic Leptosols"
"Eutric Fluvisol","Eutric Fluvisol",311,NA
"Rendzinas","Rendzinas",308,NA
"Protic Arenosols","Protic Arenosols",302,"Protic Arenosols"
"Eutric Cambisol","Eutric Cambisol",286,NA
"Luvic Phaeozem","Luvic Phaeozem",284,"Luvic Phaeozems"
"Haplic Lixisol","Haplic Lixisol",275,"Haplic Lixisols"
"Escalic LEPTOSOL","Escalic LEPTOSOL",273,NA
"Eutric Gleysol","Eutric Gleysol",251,NA
"Ferralic Cambisol","Ferralic Cambisol",248,"Ferralic Cambisols"
"Haplic Phaeozem","Haplic Phaeozem",235,"Haplic Phaeozems"
"Cumulic Anthrosol","Cumulic Anthrosol",221,NA
"Eutric Leptosol","Eutric Leptosol",221,NA
"Dystric Cambisol","Dystric Cambisol",218,NA
"Vertic Cambisol","Vertic Cambisol",218,"Vertic Cambisols"
"Ferric Acrisol","Ferric Acrisol",215,NA
"Calcic Vertisol","Calcic Vertisol",203,"Calcic Vertisols"
"Leptosols","Leptosols",200,NA
"Rhodic Nitisol","Rhodic Nitisol",196,NA
"Acric Ferralsol","Acric Ferralsol",184,"Acric Ferralsols"
"Epileptic REGOSOL","Epileptic REGOSOL",181,"Leptic Regosols"
"Epipetric CALCISOL","Epipetric CALCISOL",181,"Petric Calcisols"
"Calcic Chernozem","Calcic Chernozem",180,"Calcic Chernozems"
"Calcic Luvisol","Calcic Luvisol",177,"Calcic Luvisols"
"Greyzem","Greyzem",174,NA
"Acric Plinthosol","Acric Plinthosol",170,"Acric Plinthosols"
"Dystric Cambisols","Dystric Cambisols",168,NA
