"","Group","count"
"Acric Ferralsols","Acric Ferralsols",376
"Acric Plinthosols","Acric Plinthosols",263
"Albic Arenosols","Albic Arenosols",56
"Albic Luvisols","Albic Luvisols",1423
"Alic Nitisols","Alic Nitisols",72
"Aluandic Andosols","Aluandic Andosols",346
"Aric Regosols","Aric Regosols",1494
"Calcaric Regosols","Calcaric Regosols",1384
"Calcic Chernozems","Calcic Chernozems",358
"Calcic Gleysols","Calcic Gleysols",523
"Calcic Gypsisols","Calcic Gypsisols",125
"Calcic Histosols","Calcic Histosols",22
"Calcic Kastanozems","Calcic Kastanozems",416
"Calcic Luvisols","Calcic Luvisols",372
"Calcic Solonetz","Calcic Solonetz",150
"Calcic Vertisols","Calcic Vertisols",445
"Cryic Histosols","Cryic Histosols",306
"Cutanic Alisols","Cutanic Alisols",34
"Endogleyic Cambisols","Endogleyic Cambisols",250
"Endogleyic Planosols","Endogleyic Planosols",34
"Ferralic Arenosols","Ferralic Arenosols",924
"Ferralic Cambisols","Ferralic Cambisols",311
"Fibric Histosols","Fibric Histosols",379
"Gleyic Luvisols","Gleyic Luvisols",1714
"Gleyic Podzols","Gleyic Podzols",182
"Gleyic Solonetz","Gleyic Solonetz",283
"Gypsic Solonchaks","Gypsic Solonchaks",104
"Haplic Acrisols","Haplic Acrisols",2637
"Haplic Acrisols (Alumic)","Haplic Acrisols (Alumic)",159
"Haplic Acrisols (Ferric)","Haplic Acrisols (Ferric)",316
"Haplic Acrisols (Humic)","Haplic Acrisols (Humic)",169
"Haplic Albeluvisols","Haplic Albeluvisols",322
"Haplic Alisols","Haplic Alisols",836
"Haplic Andosols","Haplic Andosols",69
"Haplic Arenosols","Haplic Arenosols",950
"Haplic Arenosols (Calcaric)","Haplic Arenosols (Calcaric)",99
"Haplic Calcisols","Haplic Calcisols",1749
"Haplic Calcisols (Sodic)","Haplic Calcisols (Sodic)",117
"Haplic Cambisols","Haplic Cambisols",5720
"Haplic Cambisols (Calcaric)","Haplic Cambisols (Calcaric)",1183
"Haplic Cambisols (Chromic)","Haplic Cambisols (Chromic)",247
"Haplic Cambisols (Dystric)","Haplic Cambisols (Dystric)",1362
"Haplic Cambisols (Eutric)","Haplic Cambisols (Eutric)",866
"Haplic Cambisols (Humic)","Haplic Cambisols (Humic)",281
"Haplic Cambisols (Sodic)","Haplic Cambisols (Sodic)",121
"Haplic Chernozems","Haplic Chernozems",1396
"Haplic Cryosols","Haplic Cryosols",1657
"Haplic Ferralsols","Haplic Ferralsols",1904
"Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Rhodic)",125
"Haplic Ferralsols (Xanthic)","Haplic Ferralsols (Xanthic)",148
"Haplic Fluvisols","Haplic Fluvisols",1801
"Haplic Fluvisols (Arenic)","Haplic Fluvisols (Arenic)",163
"Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Calcaric)",699
"Haplic Fluvisols (Dystric)","Haplic Fluvisols (Dystric)",109
"Haplic Fluvisols (Eutric)","Haplic Fluvisols (Eutric)",476
"Haplic Gleysols","Haplic Gleysols",1096
"Haplic Gleysols (Dystric)","Haplic Gleysols (Dystric)",103
"Haplic Gleysols (Eutric)","Haplic Gleysols (Eutric)",313
"Haplic Gypsisols","Haplic Gypsisols",568
"Haplic Kastanozems","Haplic Kastanozems",1722
"Haplic Leptosols","Haplic Leptosols",1099
"Haplic Leptosols (Eutric)","Haplic Leptosols (Eutric)",264
"Haplic Lixisols","Haplic Lixisols",1100
"Haplic Lixisols (Chromic)","Haplic Lixisols (Chromic)",443
"Haplic Lixisols (Ferric)","Haplic Lixisols (Ferric)",134
"Haplic Luvisols","Haplic Luvisols",2999
"Haplic Luvisols (Chromic)","Haplic Luvisols (Chromic)",401
"Haplic Luvisols (Ferric)","Haplic Luvisols (Ferric)",100
"Haplic Nitisols (Rhodic)","Haplic Nitisols (Rhodic)",492
"Haplic Phaeozems","Haplic Phaeozems",1130
"Haplic Planosols (Dystric)","Haplic Planosols (Dystric)",62
"Haplic Planosols (Eutric)","Haplic Planosols (Eutric)",315
"Haplic Podzols","Haplic Podzols",1401
"Haplic Regosols (Dystric)","Haplic Regosols (Dystric)",270
"Haplic Regosols (Eutric)","Haplic Regosols (Eutric)",691
