"","WRB_2006_NAMEf","count","Group"
"1","",1200,NA
"2","Acric Ferralsols",326,"Ferralsols"
"3","Acric Plinthosols",263,"Plinthosols"
"4","Albic Arenosols",48,"Arenosols"
"5","Albic Luvisols",78,"Luvisols"
"6","Albic Luvisols / Gleyic Luvisols",1786,"Luvisols"
"7","Albic Luvisols / Haplic Luvisols",222,"Luvisols"
"8","Alic Nitisols",73,"Nitisols"
"9","Aluandic Andosols",362,"Andosols"
"10","Aric Regosols",1214,"Regosols"
"11","Calcic Chernozems",331,"Chernozems"
"12","Calcic Gleysols",104,"Gleysols"
"13","Calcic Gypsisols",120,"Gypsisols"
"14","Calcic Histosols",21,"Histosols"
"15","Calcic Kastanozems",217,"Kastanozems"
"16","Calcic Kastanozems / Haplic Kastanozems",148,"Kastanozems"
"17","Calcic Luvisols",347,"Luvisols"
"18","Calcic Solonetz",140,"Solonetz"
"19","Calcic Vertisols",430,"Vertisols"
"20","Cryic Histosols",306,"Histosols"
"21","Cutanic Alisols",34,"Alisols"
"22","Endogleyic Cambisols",245,"Cambisols"
"23","Endogleyic Planosols",33,"Planosols"
"24","Ferralic Arenosols",899,"Arenosols"
"25","Ferralic Cambisols",284,"Cambisols"
"26","Fibric Histosols",374,"Histosols"
"27","Gleyic Luvisols",568,"Luvisols"
"28","Gleyic Podzols",182,"Podzols"
"29","Gleyic Solonetz",75,"Solonetz"
"30","Gypsic Solonchaks",102,"Solonchaks"
"31","Haplic Acrisols",1994,"Acrisols"
"32","Haplic Acrisols (Alumic)",159,"Acrisols"
"33","Haplic Acrisols (Ferric)",361,"Acrisols"
"34","Haplic Acrisols (Humic)",172,"Acrisols"
"35","Haplic Albeluvisols",322,"Albeluvisols"
"36","Haplic Alisols",863,"Alisols"
"37","Haplic Alisols ",39,"Alisols"
"38","Haplic Andosols",17,"Andosols"
"39","Haplic Arenosols",803,"Arenosols"
"40","Haplic Arenosols ",49,"Arenosols"
"41","Haplic Arenosols (Calcaric)",93,"Arenosols"
"42","Haplic Calcisols",1599,"Calcisols"
"43","Haplic Calcisols ",25,"Calcisols"
"44","Haplic Calcisols (Sodic)",117,"Calcisols"
"45","Haplic Cambisols",1027,"Cambisols"
"46","Haplic Cambisols (Calcaric)",1183,"Cambisols"
"47","Haplic Cambisols (Chromic)",246,"Cambisols"
"48","Haplic Cambisols (Chromic) / Leptic Cambisols",8,"Cambisols"
"49","Haplic Cambisols (Dystric)",1901,"Cambisols"
"50","Haplic Cambisols (Eutric)",935,"Cambisols"
"51","Haplic Cambisols (Eutric) / Haplic Cambisols (Calcaric)",829,"Cambisols"
"52","Haplic Cambisols (Humic)",281,"Cambisols"
"53","Haplic Cambisols (Sodic)",121,"Cambisols"
"54","Haplic Chernozems",1415,"Chernozems"
"55","Haplic Cryosols",1659,"Cryosols"
"56","Haplic Ferralsols",1597,"Ferralsols"
"57","Haplic Ferralsols (Rhodic)",126,"Ferralsols"
"58","Haplic Ferralsols (Xanthic)",148,"Ferralsols"
"59","Haplic Ferralsols (Xanthic) / Acric Ferralsols",15,"Ferralsols"
"60","Haplic Fluvisols",347,"Fluvisols"
"61","Haplic Fluvisols (Arenic)",163,"Fluvisols"
"62","Haplic Fluvisols (Calcaric)",700,"Fluvisols"
"63","Haplic Fluvisols (Dystric)",128,"Fluvisols"
"64","Haplic Fluvisols (Eutric)",499,"Fluvisols"
"65","Haplic Gleysols",762,"Gleysols"
"66","Haplic Gleysols (Dystric)",119,"Gleysols"
"67","Haplic Gleysols (Eutric)",350,"Gleysols"
"68","Haplic Gypsisols",566,"Gypsisols"
"69","Haplic Kastanozems",1577,"Kastanozems"
"70","Haplic Leptosols",638,"Leptosols"
"71","Haplic Leptosols (Eutric)",265,"Leptosols"
"72","Haplic Leptosols / Calcaric Regosols",273,"Leptosols"
"73","Haplic Lixisols",552,"Lixisols"
"74","Haplic Lixisols (Chromic)",442,"Lixisols"
"75","Haplic Lixisols (Ferric)",160,"Lixisols"
"76","Haplic Lixisols / Rendzic Leptosols",7,"Lixisols"
"77","Haplic Luvisols",2522,"Luvisols"
"78","Haplic Luvisols (Chromic)",403,"Luvisols"
"79","Haplic Luvisols (Ferric)",130,"Luvisols"
"80","Haplic Nitisols (Rhodic)",419,"Nitisols"
"81","Haplic Phaeozems",1055,"Phaeozems"
"82","Haplic Phaeozems ",111,"Phaeozems"
"83","Haplic Planosols (Dystric)",63,"Planosols"
"84","Haplic Planosols (Eutric)",360,"Planosols"
"85","Haplic Podzols",1616,"Podzols"
"86","Haplic Regosols (Dystric)",281,"Regosols"
"87","Haplic Regosols (Eutric)",844,"Regosols"
"88","Haplic Regosols (Sodic)",35,"Regosols"
"89","Haplic Solonchaks",261,"Solonchaks"
"90","Haplic Solonchaks (Sodic)",135,"Solonchaks"
"91","Haplic Solonetz",261,"Solonetz"
"92","Haplic Umbrisols",47,"Umbrisols"
"93","Haplic Vertisols",553,"Vertisols"
"94","Haplic Vertisols (Eutric)",670,"Vertisols"
"95","Haplic Vertisols / Lithic Leptosols",27,"Vertisols"
"96","Hemic Histosols",258,"Histosols"
"97","Hypoluvic Arenosols",196,"Arenosols"
"98","Leptic Cambisols",170,"Cambisols"
"99","Leptic Luvisols",214,"Luvisols"
"100","Leptic Phaeozems",253,"Phaeozems"
"101","Leptic Regosols",390,"Regosols"
"102","Leptic Umbrisols",34,"Umbrisols"
"103","Lithic Leptosols",723,"Leptosols"
"104","Lithic Leptosols / Mollic Leptosols",4,"Leptosols"
"105","Lixic Plinthosols",47,"Plinthosols"
"106","Luvic Calcisols",312,"Calcisols"
"107","Luvic Chernozems",314,"Chernozems"
"108","Luvic Phaeozems",727,"Phaeozems"
"109","Luvic Planosols",28,"Planosols"
"110","Luvic Stagnosols",59,"Stagnosols"
"111","Mollic Gleysols",147,"Gleysols"
"112","Mollic Gleysols / Umbric Gleysols",499,"Gleysols"
"113","Mollic Leptosols",152,"Leptosols"
"114","Mollic Solonetz",110,"Solonetz"
"115","Mollic Solonetz / Haplic Solonetz / Gleyic Solonetz",202,"Solonetz"
"116","Mollic Vertisols",111,"Vertisols"
"117","Petric Calcisols",673,"Calcisols"
"118","Petric Durisols",39,"Durisols"
"119","Plinthic Acrisols",123,"Acrisols"
"120","Protic Arenosols",319,"Arenosols"
"121","Rendzic Leptosols",698,"Leptosols"
"122","Sapric Histosols",129,"Histosols"
"123","Solodic Planosols",158,"Planosols"
"124","Solodic Planosols / Haplic Solonetz",84,"Planosols"
"125","Stagnic Luvisols",159,"Luvisols"
"126","Turbic Cryosols",192,"Cryosols"
"127","Umbric Albeluvisols",97,"Albeluvisols"
"128","Umbric Ferralsols",192,"Ferralsols"
"129","Umbric Gleysols",105,"Gleysols"
"130","Vertic Cambisols",230,"Cambisols"
"131","Vertic Luvisols",307,"Luvisols"
"132","Vetic Acrisols",12,"Acrisols"
"133","Vitric Andosols",172,"Andosols"
"134","Vitric Cryosols",13,"Cryosols"
