USDA_Great_group,USDA_suborder,FAO_subgroup,WRB_subgroup__
Albaqualfs,aqualfs,Planosols (Albic),Haplic Planosols
Cryaqualfs,aqualfs,Gelic Planosols / Gelic Stagnosols,Haplic Planosols (Eutric)
Duraqualfs,aqualfs,Planosols (Petroduric) / Stagnosols (Petroduric),Haplic Planosols (Eutric)
Endoaqualfs,aqualfs,Gleyic Luvisols,Gleyic Luvisols
Epiaqualfs,aqualfs,Haplic Stagnosols,
Fragaqualfs,aqualfs,Planosols (Fragic) / Stagnosols (Fragic),Haplic Planosols (Eutric)
Glossaqualfs,aqualfs,Stagnic Albeluvisol,Haplic Albeluvisols
Kandiaqualfs,aqualfs,Planosols / Stagnosols / Stagnic Albeluvisols,Haplic Albeluvisols
Natraqualfs,aqualfs,Stagnic Solonetz,Haplic Solonetz
Plintaqualfs,aqualfs,Plinthic Planosols / Plinthic Stagnosols,Haplic Planosols
Vermaqualfs,aqualfs,Planosols (Vermic) / Stagnosols (Vermic),Haplic Planosols
Glossocryalfs,cryalfs,Albeluvisols (Gelic) / Solonetz (Gelic),Haplic Albeluvisols / Haplic Solonetz
Haplocryalfs,cryalfs,Luvisols (Gelic) / Lixisols (Gelic) / Solonetz (Gelic),Haplic Luvisols / Haplic Lixisols / Haplic Solonetz
Palecryalfs,cryalfs,Albeluvisols (Gelic) / Solonetz (Gelic),Haplic Albeluvisols / Haplic Solonetz
Ferrudalfs,udalfs,Ferric Albeluvisols,Haplic Albeluvisols
Fragiudalfs,udalfs,Luvisols (Fragic) / Lixisols (Fragic),Haplic Luvisols / Haplic Lixisols
Fraglossudalfs,udalfs,Albeluvisols (Fragic),Haplic Albeluvisols
Glossudalfs,udalfs,Albeluvisols,Haplic Albeluvisols
Hapludalfs,udalfs,Luvisols,Haplic Luvisols
Kandiudalfs,udalfs,Lixisols (Profondic),Haplic Lixisols
Kanhapludalfs,udalfs,Lixisols,Haplic Lixisols
Natrudalfs,udalfs,Solonetz,Haplic Solonetz
Paleudalfs,udalfs,Luvisols (Profondic),Haplic Luvisols
Rhodudalfs,udalfs,Luvisols (Rhodic),Haplic Luvisols
Durustalfs,ustalfs,Luvic Petric Durisols,Petric Durisols
Haplustalfs,ustalfs,Luvisols,Haplic Luvisols
Kandiustalfs,ustalfs,Lixisols (Profondic),Haplic Lixisols
Kanhaplustalfs,ustalfs,Lixisols,Haplic Lixisols
Natrustalfs,ustalfs,Solonetz,Haplic Solonetz
Paleustalfs,ustalfs,Luvisols (Profondic),Haplic Luvisols
