"","x"
"Albolls",1294
"Anthrepts",3
"Aqualfs",11207
"Aquands",64
"Aquents",3955
"Aquepts",7252
"Aquerts",1749
"Aquods",1371
"Aquolls",13700
"Aquox",25
"Aquults",1065
"Arents",784
"Argids",9221
"Borolls",3490
"Calcids",7977
"Cambids",4504
"Cryalfs",1651
"Cryands",563
"Cryepts",2213
"Cryerts",9
"Cryids",28
"Cryods",278
"Cryolls",6131
"Durids",1820
"Fibrists",307
"Fluvents",9288
"Folists",182
"Gelands",45
"Gelepts",8
"Gelods",600
"Gypsids",1030
"Hemists",1268
"Histels",309
"Humods",218
"Humults",730
"Ochrepts",5130
"Orthels",770
"Orthents",16021
"Orthods",6373
"Perox",76
"Psamments",12558
"Rendolls",121
"Salids",248
"Saprists",2287
"Torrands",60
"Torrerts",262
"Torrox",337
"Turbels",1051
"Udalfs",40157
"Udands",419
"Udepts",14063
"Uderts",1723
"Udolls",30039
"Udox",2237
"Udults",20064
"Ustalfs",16060
"Ustands",22
"Ustepts",10613
"Usterts",4318
"Ustolls",46660
"Ustox",2030
"Ustults",348
"Vitrands",487
"Xeralfs",1912
"Xerands",482
"Xerepts",1791
"Xererts",418
"Xerolls",9130
"Xerults",139
