Soil.Classification.code,count,Translated_FAO,Alternatively,TAXNWRB
2v431,17,Albic Podzol,Haplic Podzol,Haplic Podzols
2z431,14,Albic Podzol,Haplic Podzol,Haplic Podzols
2z432,13,Albic Podzol,Haplic Podzol,Haplic Podzols
2z511,9,Albic Podzol,Haplic Podzol,Haplic Podzols
g2z511,9,Albic Podzol,Haplic Podzol,Haplic Podzols
2z433,6,Albic Podzol,Haplic Podzol,Haplic Podzols
o1rb,12,"Fibric Histosol (Eutric, Transportic)",,Fibric Histosols
o1rc,11,"Fibric Histosol (Eutric, Transportic)",,Fibric Histosols
1dc,20,Fibric Histosol (Eutric),,Fibric Histosols
1sc,15,Fibric Histosol (Eutric),,Fibric Histosols
1db,14,Fibric Histosol (Eutric),,Fibric Histosols
1vc,13,Fibric Histosol (Eutric),,Fibric Histosols
1rb,8,Fibric Histosol (Eutric),,Fibric Histosols
1sb,8,Fibric Histosol (Eutric),,Fibric Histosols
1dr,7,Fibric Histosol (Eutric),,Fibric Histosols
5k431,14,Gleyic Arenosol,,Haplic Arenosols
5k4111a,10,Gleyic Arenosol,,Haplic Arenosols
5k421,8,Gleyic Arenosol,,Haplic Arenosols
5k4114bw8,7,Gleyic Arenosol,,Haplic Arenosols
M5p315a,66,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p235a,64,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p225a,21,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p325a,17,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p232a,10,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
eM5p315a,9,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p325al4,8,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
M5p325aw7p9,7,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
eM5p325a,6,"Gleyic Fluvisol (Clayic, Calcaric)",Haplic Fluvisol,Haplic Fluvisols (Calcaric)
kM5p323c,17,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p315c,14,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p313c,13,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p323c,11,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p225b,9,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p325b,9,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p225c,8,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p225b,8,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p323b,8,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p333cl5,8,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
eM5p324cv9,7,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p234b,7,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M5p235b,7,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
eM5m321c,6,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
