CSSC_Soil_Order_Code,CSSC_Soil_GreatGroup_Code,TAX_GTGRP,CSSC_Great_Groups,TAX_SBGRP,CSSC_Class,TAX_ID,TAXOUSDA,TAXNWRB
BR,IA,MB,Melanic Brunisol,O,Orthic Melanic Brunisol,BR_MB,Cryochrepts / Eutrochrepts / Hapludolls,Eutric Cambisol
BR,IA,MB,Melanic Brunisol,E,Eluviated Melanic Brunisol,BR_MB,Cryochrepts / Eutrochrepts / Hapludolls,Eutric Cambisol
BR,IA,MB,Melanic Brunisol,GL,Gleyed Melanic Brunisol,BR_MB,Cryochrepts / Eutrochrepts / Hapludolls,Eutric Cambisol
BR,IA,MB,Melanic Brunisol,GLE,Gleyed Eluviated Melanic Brunisol,BR_MB,Cryochrepts / Eutrochrepts / Hapludolls,Eutric Cambisol
BR,IB,EB,Eutric Brunisol,O,Orthic Eutric Brunisol,BR_EB,Cryochrepts / Eutrochrepts,Eutric Cambisol / Calcic Cambisol
BR,IB,EB,Eutric Brunisol,E,Eluviated Eutric Brunisol,BR_EB,Cryochrepts / Eutrochrepts,Eutric Cambisol / Calcic Cambisol
BR,IB,EB,Eutric Brunisol,GL,Gleyed Eutric Brunisol,BR_EB,Cryochrepts / Eutrochrepts,Eutric Cambisol / Calcic Cambisol
BR,IB,EB,Eutric Brunisol,GLE,Gleyed Eluviated Eutric Brunisol,BR_EB,Cryochrepts / Eutrochrepts,Eutric Cambisol / Calcic Cambisol
BR,IC,SB,Sombric Brunisol,O,Orthic Sombric Brunisol,BR_SB,Humbric Dystrochrepts,Dystric Cambisol / Umbric Cambisol
BR,IC,SB,Sombric Brunisol,E,Eluviated Sombric Brunisol,BR_SB,Humbric Dystrochrepts,Dystric Cambisol / Umbric Cambisol
BR,IC,SB,Sombric Brunisol,DU,Duric Sombric Brunisol,BR_SB,Humbric Dystrochrepts,Dystric Cambisol / Umbric Cambisol
BR,IC,SB,Sombric Brunisol,GL,Gleyed Sombric Brunisol,BR_SB,Humbric Dystrochrepts,Dystric Cambisol / Umbric Cambisol
BR,IC,SB,Sombric Brunisol,GLE,Gleyed Eluviated Sombric Brunisol,BR_SB,Humbric Dystrochrepts,Dystric Cambisol / Umbric Cambisol
BR,ID,DYB,Dystric Brunisol,O,Orthic Dystric Brunisol,BR_DYB,Dystrochrepts / Cryochrepts,Dystric Cambisol
BR,ID,DYB,Dystric Brunisol,E,Eluviated Dystric Brunisol,BR_DYB,Dystrochrepts / Cryochrepts,Dystric Cambisol
BR,ID,DYB,Dystric Brunisol,DU,Duric Dystric Brunisol,BR_DYB,Dystrochrepts / Cryochrepts,Dystric Cambisol
BR,ID,DYB,Dystric Brunisol,GL,Gleyed Dystric Brunisol,BR_DYB,Dystrochrepts / Cryochrepts,Dystric Cambisol
BR,ID,DYB,Dystric Brunisol,GLE,Gleyed Eluviated Dystric Brunisol,BR_DYB,Dystrochrepts / Cryochrepts,Dystric Cambisol
CH,GA,B,Brown Chernozem,O,Orthic Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,R,Rego Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,CA,Calcareous Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,E,Eluviated Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,SZ,Solonetzic Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,V,Vertic Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,GL,Gleyed Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
CH,GA,B,Brown Chernozem,GLR,Gleyed Rego Brown Chernozem,CH_B,Aridic Boroll,Aridic Kastanozem
