,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0,0.15,0.075,,,0.20,0.25,0.25,0.20,,21.50,0.67,21.50,,,0.043,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.15,0.3,0.225,,,0.20,0.27,0.27,0.20,,19.90,0.63,19.90,,,0.040,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.3,0.5,0.400,,,0.18,0.30,0.30,0.18,,18.50,0.56,18.50,,,0.033,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.5,0.89,0.695,,,0.18,0.32,0.32,0.18,,17.20,0.49,17.20,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0,0.15,0.075,,,0.22,0.31,0.31,0.22,,17.70,0.53,17.70,,,0.039,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.15,0.3,0.225,,,0.23,0.27,0.27,0.23,,20.40,0.58,20.40,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.3,0.5,0.400,,,0.20,0.26,0.26,0.20,,21.10,0.61,21.10,,,0.042,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.5,1.01,0.755,,,0.25,0.29,0.29,0.25,,18.70,0.49,18.70,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0,0.15,0.075,,,0.36,0.42,0.43,0.36,,12.00,0.39,12.00,,,0.043,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.15,0.3,0.225,,,0.27,0.32,0.32,0.27,,17.30,0.43,17.30,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.3,0.5,0.400,,,0.32,0.29,0.29,0.32,,19.10,0.42,19.10,,,0.061,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.5,1,0.750,,,0.31,0.32,0.32,0.31,,17.00,0.38,17.00,,,0.053,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,1,1.6,1.300,,,0.31,0.32,0.32,0.31,,17.00,0.38,17.00,,,0.053,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0,0.15,0.075,,,0.27,0.42,0.43,0.27,,12.20,0.47,12.20,,,0.033,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.15,0.3,0.225,,,0.32,0.42,0.43,0.32,,12.10,0.40,12.10,,,0.039,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.3,0.5,0.400,,,0.34,0.45,0.47,0.34,,10.80,0.39,10.80,,,0.037,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.5,1,0.750,,,0.34,0.38,0.39,0.34,,13.70,0.42,13.70,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,1,1.48,1.240,,,0.34,0.38,0.39,0.34,,13.70,0.42,13.70,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0,0.15,0.075,,,0.51,0.57,0.58,0.51,,7.30,0.25,7.30,,,0.037,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.15,0.3,0.225,,,0.48,0.53,0.54,0.48,,8.40,0.29,8.40,,,0.040,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.3,0.5,0.400,,,0.37,0.49,0.50,0.37,,9.60,0.29,9.60,,,0.036,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.5,1,0.750,,,0.41,0.56,0.58,0.41,,7.50,0.24,7.50,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,1,1.59,1.295,,,0.41,0.56,0.58,0.41,,7.50,0.24,7.50,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0,0.15,0.075,,,0.41,0.46,0.47,0.41,,10.70,0.35,10.70,,,0.044,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.15,0.3,0.225,,,0.44,0.41,0.42,0.44,,12.50,0.35,12.50,,,0.055,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.3,0.5,0.400,,,0.50,0.43,0.44,0.50,,11.60,0.35,11.60,,,0.058,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.5,1,0.750,,,0.50,0.49,0.51,0.50,,9.40,0.27,9.40,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,1,2.31,1.655,,,0.50,0.49,0.51,0.50,,9.40,0.27,9.40,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0,0.15,0.075,,,0.22,0.20,0.21,0.22,,25.86,0.89,25.86,,,0.057,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.15,0.3,0.225,,,0.21,0.23,0.23,0.21,,23.08,0.60,23.08,,,0.048,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.3,0.5,0.400,,,0.35,0.30,0.30,0.35,,18.29,0.62,18.29,,,0.064,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.5,1,0.750,,,0.38,0.36,0.36,0.38,,14.79,0.52,14.79,,,0.056,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,1,1.2,1.100,,,0.54,0.59,0.61,0.54,,6.61,0.19,6.61,,,0.036,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0,0.15,0.075,,,0.20,0.25,0.25,0.20,,21.59,0.65,21.59,,,0.043,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0.15,0.3,0.225,,,0.22,0.34,0.34,0.22,,16.17,0.54,16.17,,,0.036,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0.3,0.5,0.400,,,0.48,0.47,0.48,0.48,,10.22,0.32,10.22,,,0.049,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0.5,1,0.750,,,0.80,0.75,0.75,0.80,,3.85,0.12,3.85,,,0.031,Y,2012,,,,,,,,,,,,,,,,
