,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
Source,Notes,OK to release?,original coordinates in Giri?,Data_owner,Site name,Site #,Location,Country,Latitude,Longitude,Latitude_Adjusted,Longitude_Adjusted,accuracy_flag,approx_acc,Mangrove type,Landscape position,Landscape Unsure,hydrogeomorphology,HGM Unsure,Dominant species,Managed/Plantation/Disturbed/Restoration,Years_collected,total_depth,full_profile,OC_stock_1m,OC_stock_2m,OC_stock_full,C_burial_rate,burial_timeframe
Kauffmann et al 2011,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 RP Seaward,M0001,Airai State,Republic of Palau,7.351899,134.53934,7.351899,134.53934,estimated from GE,25,short,outer,,marine,,,,2009,0.89,Y,,,,,
Kauffmann et al 2011,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 RP Interior,M0002,Airai State,Republic of Palau,7.353079,134.539347,7.353079,134.539347,estimated from GE,25,short,central,,marine,,,,2009,1.01,Y,,,,,
Kauffmann et al 2011,,Y,out,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 RP Landward,M0003,Airai State,Republic of Palau,7.354573,134.539262,7.354313422,134.5392413,estimated from GE,25,short,back,,marine,,,,2009,1.60,Y,,,,,
Kauffmann et al 2011,,Y,out,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 Yap Seaward,M0004,Yap,Federated States of Micronesia,9.588443,138.127378,9.588443,138.1274365,estimated from GE,25,,outer,,marine,,,,2009,1.48,Y,,,,,
Kauffmann et al 2011,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 Yap Interior,M0005,Yap,Federated States of Micronesia,9.587553,138.127732,9.587553,138.127732,estimated from GE,25,,central,,marine,,,,2009,1.59,Y,,,,,
Kauffmann et al 2011,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK11 Yap Landward,M0006,Yap,Federated States of Micronesia,9.586554,138.128089,9.586554,138.128089,estimated from GE,25,,back,,marine,,,,2009,2.31,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Alta 3,M0007,Montecristi Province,Dominican Republic,19.7010131,-71.7086917,19.7010131,-71.7086917,estimated from GE,62.5,tall,outer,,riverine,,,,2012,1.20,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Balsa Alta,M0008,Montecristi Province,Dominican Republic,19.7011072,-71.7193689,19.7011072,-71.7193689,estimated from GE,62.5,tall,outer,,estuarine,,,,2012,2.11,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Tapion Alto,M0009,Montecristi Province,Dominican Republic,19.723964,-71.724047,19.723964,-71.724047,estimated from GE,62.5,tall,outer,,estuarine,,,,2012,1.79,Y,,,,,
