Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0,0.15,0.075,0.2,0.25,0.25,0.2,,21.5,0.67,21.5,,,0.043,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.15,0.3,0.225,0.2,0.27,0.27,0.2,,19.9,0.63,19.9,,,0.04,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.3,0.5,0.4,0.18,0.3,0.3,0.18,,18.5,0.56,18.5,,,0.033,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Seaward,M0001,0.5,0.89,0.695,0.18,0.32,0.32,0.18,,17.2,0.49,17.2,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0,0.15,0.075,0.22,0.31,0.31,0.22,,17.7,0.53,17.7,,,0.039,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.15,0.3,0.225,0.23,0.27,0.27,0.23,,20.4,0.58,20.4,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.3,0.5,0.4,0.2,0.26,0.26,0.2,,21.1,0.61,21.1,,,0.042,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Interior,M0002,0.5,1.01,0.755,0.25,0.29,0.29,0.25,,18.7,0.49,18.7,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0,0.15,0.075,0.36,0.42,0.43,0.36,,12,0.39,12,,,0.043,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.15,0.3,0.225,0.27,0.32,0.32,0.27,,17.3,0.43,17.3,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.3,0.5,0.4,0.32,0.29,0.29,0.32,,19.1,0.42,19.1,,,0.061,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,0.5,1,0.75,0.31,0.32,0.32,0.31,,17,0.38,17,,,0.053,Y,2009,,,,,,,,,,,,,,,,
JBK11 RP Landward,M0003,1,1.6,1.3,0.31,0.32,0.32,0.31,,17,0.38,17,,,0.053,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0,0.15,0.075,0.27,0.42,0.43,0.27,,12.2,0.47,12.2,,,0.033,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.15,0.3,0.225,0.32,0.42,0.43,0.32,,12.1,0.4,12.1,,,0.039,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.3,0.5,0.4,0.34,0.45,0.47,0.34,,10.8,0.39,10.8,,,0.037,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,0.5,1,0.75,0.34,0.38,0.39,0.34,,13.7,0.42,13.7,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Seaward,M0004,1,1.48,1.24,0.34,0.38,0.39,0.34,,13.7,0.42,13.7,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0,0.15,0.075,0.51,0.57,0.58,0.51,,7.3,0.25,7.3,,,0.037,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.15,0.3,0.225,0.48,0.53,0.54,0.48,,8.4,0.29,8.4,,,0.04,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.3,0.5,0.4,0.37,0.49,0.5,0.37,,9.6,0.29,9.6,,,0.036,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,0.5,1,0.75,0.41,0.56,0.58,0.41,,7.5,0.24,7.5,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Interior,M0005,1,1.59,1.295,0.41,0.56,0.58,0.41,,7.5,0.24,7.5,,,0.031,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0,0.15,0.075,0.41,0.46,0.47,0.41,,10.7,0.35,10.7,,,0.044,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.15,0.3,0.225,0.44,0.41,0.42,0.44,,12.5,0.35,12.5,,,0.055,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.3,0.5,0.4,0.5,0.43,0.44,0.5,,11.6,0.35,11.6,,,0.058,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,0.5,1,0.75,0.5,0.49,0.51,0.5,,9.4,0.27,9.4,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK11 Yap Landward,M0006,1,2.31,1.655,0.5,0.49,0.51,0.5,,9.4,0.27,9.4,,,0.047,Y,2009,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0,0.15,0.075,0.22,0.2,0.21,0.22,,25.86,0.89,25.86,,,0.057,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.15,0.3,0.225,0.21,0.23,0.23,0.21,,23.08,0.6,23.08,,,0.048,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.3,0.5,0.4,0.35,0.3,0.3,0.35,,18.29,0.62,18.29,,,0.064,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,0.5,1,0.75,0.38,0.36,0.36,0.38,,14.79,0.52,14.79,,,0.056,Y,2012,,,,,,,,,,,,,,,,
JBK14 Alta 3,M0007,1,1.2,1.1,0.54,0.59,0.61,0.54,,6.61,0.19,6.61,,,0.036,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0,0.15,0.075,0.2,0.25,0.25,0.2,,21.59,0.65,21.59,,,0.043,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0.15,0.3,0.225,0.22,0.34,0.34,0.22,,16.17,0.54,16.17,,,0.036,Y,2012,,,,,,,,,,,,,,,,
JBK14 Balsa Alta,M0008,0.3,0.5,0.4,0.48,0.47,0.48,0.48,,10.22,0.32,10.22,,,0.049,Y,2012,,,,,,,,,,,,,,,,
