corr_taxsubgrp,count,WRB_2006_subgroup,split_names,split_names,split_names,match_with_USDA_GreatGroup_table
typic hapludalfs,1691,Haplic Luvisols,typic,hapludalfs,,Haplic Luvisols
typic hapludults,838,Haplic Alisols / Haplic Acrisols,typic,hapludults,,Haplic Alisols / Haplic Acrisols
typic paleudalfs,642,Haplic Luvisols,typic,paleudalfs,,Haplic Luvisols
oxyaquic hapludalfs,610,Haplic Luvisols,oxyaquic,hapludalfs,,Haplic Luvisols
typic paleudults,610,Haplic Alisols,typic,paleudults,,Haplic Alisols
aquic hapludalfs,598,Haplic Luvisols,aquic,hapludalfs,,Haplic Luvisols
typic hapludolls,571,Haplic Chernozems / Haplic Phaeozems,typic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic argiudolls,554,Luvic Phaeozems,typic,argiudolls,,Luvic Phaeozems
ultic hapludalfs,539,Haplic Luvisols,ultic,hapludalfs,,Haplic Luvisols
aquic argiudolls,515,Luvic Phaeozems,aquic,argiudolls,,Luvic Phaeozems
aeric epiaqualfs,481,,aeric,epiaqualfs,,
typic endoaquolls,433,Haplic Phaeozems,typic,endoaquolls,,Haplic Phaeozems
typic fragiudults,428,Haplic Alisols,typic,fragiudults,,Haplic Alisols
mollic hapludalfs,408,Haplic Luvisols,mollic,hapludalfs,,Haplic Luvisols
typic argiaquolls,370,,typic,argiaquolls,,
typic dystrochrepts,302,,typic,dystrochrepts,,
typic dystrudepts,284,Haplic Cambisols (Dystric),typic,dystrudepts,,Haplic Cambisols (Dystric)
cumulic hapludolls,282,Haplic Chernozems / Haplic Phaeozems,cumulic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic udorthents,250,Haplic Regosols,typic,udorthents,,Haplic Regosols
oxyaquic fragiudalfs,248,Haplic Luvisols / Haplic Lixisols,oxyaquic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
typic udipsamments,215,Haplic Arenosols,typic,udipsamments,,Haplic Arenosols
mollic epiaqualfs,213,,mollic,epiaqualfs,,
lithic hapludolls,211,Haplic Chernozems / Haplic Phaeozems,lithic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
aridic argiustolls,203,Luvic Chernozems / Haplic Kastanozems,aridic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aquic hapludults,199,Haplic Alisols / Haplic Acrisols,aquic,hapludults,,Haplic Alisols / Haplic Acrisols
typic haplorthods,195,Haplic Podzols,typic,haplorthods,,Haplic Podzols
aquic hapludolls,186,Haplic Chernozems / Haplic Phaeozems,aquic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
ultic haploxeralfs,186,Haplic Luvisols / Haplic Lixisols,ultic,haploxeralfs,,Haplic Luvisols / Haplic Lixisols
pachic argiustolls,182,Luvic Chernozems / Haplic Kastanozems,pachic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aeric ochraqualfs,178,,aeric,ochraqualfs,,
typic udifluvents,174,Haplic Fluvisols,typic,udifluvents,,Haplic Fluvisols
typic argiustolls,172,Luvic Chernozems / Haplic Kastanozems,typic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aquic fragiudalfs,166,Haplic Luvisols / Haplic Lixisols,aquic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
fluventic hapludolls,163,Haplic Chernozems / Haplic Phaeozems,fluventic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
oxyaquic argiudolls,157,Luvic Phaeozems,oxyaquic,argiudolls,,Luvic Phaeozems
typic fragiudalfs,154,Haplic Luvisols / Haplic Lixisols,typic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
typic endoaqualfs,147,Gleyic Luvisols,typic,endoaqualfs,,Gleyic Luvisols
aeric fluvaquents,145,Haplic Fluvisols,aeric,fluvaquents,,Haplic Fluvisols
typic haplaquolls,145,,typic,haplaquolls,,
aeric endoaqualfs,142,Gleyic Luvisols,aeric,endoaqualfs,,Gleyic Luvisols
aquollic hapludalfs,142,Haplic Luvisols,aquollic,hapludalfs,,Haplic Luvisols
cumulic endoaquolls,136,Haplic Phaeozems,cumulic,endoaquolls,,Haplic Phaeozems
ustic torriorthents,126,Haplic Regosols (Eutric),ustic,torriorthents,,Haplic Regosols (Eutric)
haplic glossudalfs,121,Haplic Albeluvisols,haplic,glossudalfs,,Haplic Albeluvisols
aeric fragiaqualfs,120,,aeric,fragiaqualfs,,
typic calciaquolls,116,,typic,calciaquolls,,
cumulic vertic endoaquolls,114,Haplic Phaeozems,,endoaquolls,,Haplic Phaeozems
aquertic hapludalfs,111,Haplic Luvisols,aquertic,hapludalfs,,Haplic Luvisols
aquic paleudults,111,Haplic Alisols,aquic,paleudults,,Haplic Alisols
aridic haplustalfs,111,Haplic Luvisols,aridic,haplustalfs,,Haplic Luvisols
oxyaquic glossudalfs,111,Haplic Albeluvisols,oxyaquic,glossudalfs,,Haplic Albeluvisols
aquic glossudalfs,108,Haplic Albeluvisols,aquic,glossudalfs,,Haplic Albeluvisols
fluvaquentic hapludolls,107,Haplic Chernozems / Haplic Phaeozems,fluvaquentic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic albaqualfs,104,Haplic Planosols,typic,albaqualfs,,Haplic Planosols
typic haplargids,104,Haplic Luvisols,typic,haplargids,,Haplic Luvisols
typic torriorthents,104,Haplic Regosols (Eutric),typic,torriorthents,,Haplic Regosols (Eutric)
vertic endoaquolls,104,Haplic Phaeozems,vertic,endoaquolls,,Haplic Phaeozems
dystric eutrochrepts,103,,dystric,eutrochrepts,,
typic fluvaquents,102,Haplic Fluvisols,typic,fluvaquents,,Haplic Fluvisols
aridic paleustalfs,100,Haplic Luvisols,aridic,paleustalfs,,Haplic Luvisols
mollic albaqualfs,100,Haplic Planosols,mollic,albaqualfs,,Haplic Planosols
terric haplosaprists,98,Sapric Histosols,terric,haplosaprists,,Sapric Histosols
vertic argiaquolls,97,,vertic,argiaquolls,,
dystric eutrudepts,91,Haplic Cambisols (Eutric),dystric,eutrudepts,,Haplic Cambisols (Eutric)
aquertic argiudolls,89,Luvic Phaeozems,aquertic,argiudolls,,Luvic Phaeozems
entic hapludolls,89,Haplic Chernozems / Haplic Phaeozems,entic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
aquic udifluvents,88,Haplic Fluvisols,aquic,udifluvents,,Haplic Fluvisols
calcic hapludolls,86,Haplic Chernozems / Haplic Phaeozems,calcic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
vertic epiaqualfs,85,,vertic,epiaqualfs,,
fluvaquentic endoaquolls,84,Haplic Phaeozems,fluvaquentic,endoaquolls,,Haplic Phaeozems
oxyaquic dystrudepts,84,Haplic Cambisols (Dystric),oxyaquic,dystrudepts,,Haplic Cambisols (Dystric)
oxyaquic hapludolls,83,Haplic Chernozems / Haplic Phaeozems,oxyaquic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic eutrochrepts,83,,typic,eutrochrepts,,
typic natrargids,82,,typic,natrargids,,
udic argiustolls,82,Luvic Chernozems / Haplic Kastanozems,udic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
typic argiborolls,80,,typic,argiborolls,,
typic eutrudepts,79,Haplic Cambisols (Eutric),typic,eutrudepts,,Haplic Cambisols (Eutric)
aquic fragiudults,78,Haplic Alisols,aquic,fragiudults,,Haplic Alisols
mollic udifluvents,78,Haplic Fluvisols,mollic,udifluvents,,Haplic Fluvisols
typic torrifluvents,78,Haplic Fluvisols (Eutric),typic,torrifluvents,,Haplic Fluvisols (Eutric)
aquic haplorthods,74,Haplic Podzols,aquic,haplorthods,,Haplic Podzols
typic haplustolls,73,,typic,haplustolls,,
