"","corr_taxsubgrp","count"
"","",29807
"typic hapludalfs","typic hapludalfs",1691
"typic hapludults","typic hapludults",838
"typic paleudalfs","typic paleudalfs",642
"oxyaquic hapludalfs","oxyaquic hapludalfs",610
"typic paleudults","typic paleudults",610
"aquic hapludalfs","aquic hapludalfs",598
"typic hapludolls","typic hapludolls",571
"typic argiudolls","typic argiudolls",554
"ultic hapludalfs","ultic hapludalfs",539
"aquic argiudolls","aquic argiudolls",515
"aeric epiaqualfs","aeric epiaqualfs",481
"typic endoaquolls","typic endoaquolls",433
"typic fragiudults","typic fragiudults",428
"mollic hapludalfs","mollic hapludalfs",408
"typic argiaquolls","typic argiaquolls",370
"typic dystrochrepts","typic dystrochrepts",302
"typic dystrudepts","typic dystrudepts",284
"cumulic hapludolls","cumulic hapludolls",282
"typic udorthents","typic udorthents",250
"oxyaquic fragiudalfs","oxyaquic fragiudalfs",248
"typic udipsamments","typic udipsamments",215
"mollic epiaqualfs","mollic epiaqualfs",213
"lithic hapludolls","lithic hapludolls",211
"aridic argiustolls","aridic argiustolls",203
"aquic hapludults","aquic hapludults",199
"typic haplorthods","typic haplorthods",195
"aquic hapludolls","aquic hapludolls",186
"ultic haploxeralfs","ultic haploxeralfs",186
"pachic argiustolls","pachic argiustolls",182
"aeric ochraqualfs","aeric ochraqualfs",178
"typic udifluvents","typic udifluvents",174
"typic argiustolls","typic argiustolls",172
"aquic fragiudalfs","aquic fragiudalfs",166
"fluventic hapludolls","fluventic hapludolls",163
"oxyaquic argiudolls","oxyaquic argiudolls",157
"typic fragiudalfs","typic fragiudalfs",154
"typic endoaqualfs","typic endoaqualfs",147
"aeric fluvaquents","aeric fluvaquents",145
"typic haplaquolls","typic haplaquolls",145
"aeric endoaqualfs","aeric endoaqualfs",142
"aquollic hapludalfs","aquollic hapludalfs",142
"cumulic endoaquolls","cumulic endoaquolls",136
"ustic torriorthents","ustic torriorthents",126
"haplic glossudalfs","haplic glossudalfs",121
"aeric fragiaqualfs","aeric fragiaqualfs",120
"typic calciaquolls","typic calciaquolls",116
"cumulic vertic endoaquolls","cumulic vertic endoaquolls",114
"aquertic hapludalfs","aquertic hapludalfs",111
"aquic paleudults","aquic paleudults",111
"aridic haplustalfs","aridic haplustalfs",111
"oxyaquic glossudalfs","oxyaquic glossudalfs",111
"aquic glossudalfs","aquic glossudalfs",108
"fluvaquentic hapludolls","fluvaquentic hapludolls",107
"typic albaqualfs","typic albaqualfs",104
"typic haplargids","typic haplargids",104
"typic torriorthents","typic torriorthents",104
"vertic endoaquolls","vertic endoaquolls",104
"dystric eutrochrepts","dystric eutrochrepts",103
"typic fluvaquents","typic fluvaquents",102
"aridic paleustalfs","aridic paleustalfs",100
"mollic albaqualfs","mollic albaqualfs",100
"terric haplosaprists","terric haplosaprists",98
"vertic argiaquolls","vertic argiaquolls",97
"dystric eutrudepts","dystric eutrudepts",91
"aquertic argiudolls","aquertic argiudolls",89
"entic hapludolls","entic hapludolls",89
"aquic udifluvents","aquic udifluvents",88
"calcic hapludolls","calcic hapludolls",86
"vertic epiaqualfs","vertic epiaqualfs",85
"fluvaquentic endoaquolls","fluvaquentic endoaquolls",84
"oxyaquic dystrudepts","oxyaquic dystrudepts",84
"oxyaquic hapludolls","oxyaquic hapludolls",83
"typic eutrochrepts","typic eutrochrepts",83
"typic natrargids","typic natrargids",82
"udic argiustolls","udic argiustolls",82
"typic argiborolls","typic argiborolls",80
"typic eutrudepts","typic eutrudepts",79
"aquic fragiudults","aquic fragiudults",78
"mollic udifluvents","mollic udifluvents",78
"typic torrifluvents","typic torrifluvents",78
"aquic haplorthods","aquic haplorthods",74
"typic haplustolls","typic haplustolls",73
"typic quartzipsamments","typic quartzipsamments",73
"aquic udipsamments","aquic udipsamments",72
"typic argixerolls","typic argixerolls",72
"typic glossaqualfs","typic glossaqualfs",71
"ultic argixerolls","ultic argixerolls",68
"cumulic haplustolls","cumulic haplustolls",67
"typic kanhapludults","typic kanhapludults",67
"vitrandic haploxerolls","vitrandic haploxerolls",67
"typic xerochrepts","typic xerochrepts",66
"xeric palehumults","xeric palehumults",66
"aridic haplustolls","aridic haplustolls",65
"typic haplosaprists","typic haplosaprists",65
"Typic Hapludalfs","Typic Hapludalfs",65
"oxyaquic paleudalfs","oxyaquic paleudalfs",64
"oxyaquic udifluvents","oxyaquic udifluvents",63
"typic haploxeralfs","typic haploxeralfs",63
"pachic hapludolls","pachic hapludolls",62
"borollic natrargids","borollic natrargids",61
"plinthic paleudults","plinthic paleudults",61
"typic ochraqualfs","typic ochraqualfs",61
"typic vitrixerands","typic vitrixerands",61
"ustic haplargids","ustic haplargids",61
"typic haplohumults","typic haplohumults",60
"typic epiaqualfs","typic epiaqualfs",59
"typic epiaquerts","typic epiaquerts",59
"typic fragiaqualfs","typic fragiaqualfs",59
"typic haplustalfs","typic haplustalfs",59
"udollic ochraqualfs","udollic ochraqualfs",59
"Ultic Hapludalfs","Ultic Hapludalfs",59
"aridic calciustolls","aridic calciustolls",58
"lithic argixerolls","lithic argixerolls",58
"pachic haplustolls","pachic haplustolls",58
"typic epiaquepts","typic epiaquepts",58
"typic haplocalcids","typic haplocalcids",58
"udic haploborolls","udic haploborolls",58
"vertic albaqualfs","vertic albaqualfs",58
"aeric haplaquepts","aeric haplaquepts",57
"typic fragiochrepts","typic fragiochrepts",57
"ustollic haplargids","ustollic haplargids",57
"fluvaquentic endoaquepts","fluvaquentic endoaquepts",56
"pachic argixerolls","pachic argixerolls",56
"entic haplorthods","entic haplorthods",55
"mollic haploxeralfs","mollic haploxeralfs",55
"aquultic hapludalfs","aquultic hapludalfs",53
"dystric fluventic eutrochrepts","dystric fluventic eutrochrepts",53
"arenic hapludalfs","arenic hapludalfs",52
"dystric fluventic eutrudepts","dystric fluventic eutrudepts",52
"histic humaquepts","histic humaquepts",52
"pachic haploxerolls","pachic haploxerolls",52
"humic vitrixerands","humic vitrixerands",51
"typic endoaquepts","typic endoaquepts",51
"typic haploborolls","typic haploborolls",51
"typic torripsamments","typic torripsamments",51
"albaquic hapludalfs","albaquic hapludalfs",50
"oxyaquic paleudults","oxyaquic paleudults",50
"typic cryochrepts","typic cryochrepts",50
"typic ustochrepts","typic ustochrepts",50
"argiaquic argialbolls","argiaquic argialbolls",49
"typic haploxerolls","typic haploxerolls",49
"typic ustipsamments","typic ustipsamments",49
"mollic paleudalfs","mollic paleudalfs",48
"fluvaquentic vertic endoaquolls","fluvaquentic vertic endoaquolls",47
"oxyaquic hapludults","oxyaquic hapludults",47
"ustic calciargids","ustic calciargids",47
"ustic haplocalcids","ustic haplocalcids",47
"vitrandic argixerolls","vitrandic argixerolls",47
"aeric calciaquolls","aeric calciaquolls",46
"andic dystrudepts","andic dystrudepts",46
"aquic calciudolls","aquic calciudolls",46
"glossic fragiudults","glossic fragiudults",46
"lithic dystrochrepts","lithic dystrochrepts",46
"oxyaquic eutrudepts","oxyaquic eutrudepts",46
"oxyaquic haplorthods","oxyaquic haplorthods",46
"udic haplusterts","udic haplusterts",46
"alfic haplorthods","alfic haplorthods",45
