"","x"
"1","__"
"2","__entisols"
"3","__inceptisols"
"4","_aqualfs_alfisols"
"5","_aquolls_mollisols"
"6","_cryods_"
"7","_hemists_histosols"
"8","_torrerts_vertisols"
"9","_udalfs_"
"10","_udolls_"
"11","_udox_oxisols"
"12","_udults_"
"13","acraquox_aquox_oxisols"
"14","acrohumox_humox_oxisols"
"15","acroperox_perox_oxisols"
"16","acrorthox_orthox_oxisols"
"17","acrudox_udox_oxisols"
"18","acrustox_ustox_oxisols"
"19","alaquods_aquods_spodosols"
"20","albaqualfs_aqualfs_alfisols"
"21","albaquults_aquults_ultisols"
"22","alorthods_orthods_spodosols"
"23","andaquepts_aquepts_inceptisols"
"24","aquicambids_cambids_aridisols"
"25","aquisalids_salids_aridisols"
"26","aquiturbels_turbels_gelisols"
"27","aquorthels_orthels_gelisols"
"28","argialbolls_albolls_mollisols"
"29","argiaquolls_aquolls_mollisols"
"30","argiborolls_borolls_mollisols"
"31","argicryolls_cryolls_mollisols"
"32","argidurids_durids_aridisols"
"33","argigypsids_gypsids_aridisols"
"34","argiudolls_udolls_mollisols"
"35","argiustolls_ustolls_mollisols"
"36","argixerolls_albolls_mollisols"
"37","argixerolls_aquolls_mollisols"
"38","argixerolls_xerolls_mollisols"
"39","borofibrists_fibrists_histosols"
"40","borofolists_folists_histosols"
"41","borohemists_hemists_histosols"
"42","borosaprists_saprists_histosols"
"43","calciaquerts_aquerts_vertisols"
"44","calciaquolls_aquolls_mollisols"
"45","calciargids_argids_aridisols"
"46","calciborolls_borolls_mollisols"
"47","calcicryepts_cryepts_inceptisols"
"48","calcicryids_cryids_aridisols"
"49","calcicryolls_cryolls_mollisols"
"50","calcigypsids_gypsids_aridisols"
"51","calciorthids_orthids_aridisols"
"52","calcitorrerts_torrerts_vertisols"
"53","calciudolls_udolls_mollisols"
"54","calciustepts_ustepts_inceptisols"
"55","calciusterts_usterts_vertisols"
"56","calciustolls_ustolls_mollisols"
"57","calcixerepts_xerepts_inceptisols"
"58","calcixerolls_xerolls_mollisols"
"59","camborthids_orthids_aridisols"
"60","camborthids_orthids_inceptisols"
"61","chromoxererts_xererts_vertisols"
"62","chromuderts_uderts_vertisols"
"63","chromusterts_usterts_vertisols"
"64","cryandepts_andepts_inceptisols"
"65","cryaquands_aquands_andisols"
"66","cryaquents_aquents_entisols"
"67","cryaquepts_aquepts_inceptisols"
"68","cryaquods_aquods_spodosols"
"69","cryaquolls_aquolls_mollisols"
"70","cryaquolls_calcic_aquolls"
"71","cryaquolls_calcic_xerolls"
"72","cryaquolls_pachic_cryolls"
"73","cryaquolls_xeric _aquolls"
"74","cryoboralfs_boralfs_alfisols"
"75","cryoborolls_borolls_mollisols"
"76","cryochrepts_ochrepts_inceptisols"
"77","cryofluvents_fluvents_"
"78","cryofluvents_fluvents_entisols"
"79","cryofolists_folists_histosols"
"80","cryohemists_hemists_histosols"
"81","cryopsamments_psamments_entisols"
"82","cryorthents_orthents_entisols"
"83","cryorthods_orthods_spodosols"
"84","cryosaprists_saprists_histosols"
"85","cryumbrepts_umbrepts_inceptisols"
"86","durandepts_andepts_inceptisols"
"87","duraquands_aquands_andisols"
"88","duraquerts_aquerts_vertisols"
"89","duraquods_aquods_spodosols"
"90","durargids_argids_aridisols"
"91","duricryands_cryands_andisols"
"92","duricryolls_cryolls_mollisols"
"93","duritorrands_torrands_andisols"
"94","durixeralfs_xeralfs_alfisols"
"95","durixerepts_xerepts_inceptisols"
"96","durixererts_xererts_vertisols"
"97","durixerolls_xerolls_mollisols"
"98","durochrepts_ochrepts_inceptisols"
"99","durorthids_orthids_aridisols"
"100","durorthods_orthods_spodosols"
"101","durudands_udands_andisols"
"102","durustepts_ustepts_inceptisols"
"103","durustolls_ustolls_mollisols"
"104","dystrandepts_andepts_inceptisols"
"105","dystraquerts_aquerts_vertisols"
"106","dystrochrepts_cryepts_inceptisols"
"107","dystrochrepts_ochrepts_aridisols"
"108","dystrochrepts_ochrepts_inceptisols"
"109","dystrochrepts_udepts_inceptisols"
"110","dystrocryepts_cryepts_"
"111","dystrocryepts_cryepts_inceptisols"
"112","dystropepts_tropepts_inceptisols"
"113","dystroxerepts_xerepts_inceptisols"
"114","dystrudepts_ochrepts_inceptisols"
"115","dystrudepts_udands_inceptisols"
"116","dystrudepts_udepts_inceptisols"
"117","dystruderts_uderts_vertisols"
"118","dystrustepts_udepts_inceptisols"
"119","dystrustepts_ustepts_inceptisols"
"120","endoaqualfs_aqualfs_alfisols"
"121","endoaquands_aquands_andisols"
"122","endoaquents_aquents_entisols"
"123","endoaquepts_aquents_inceptisols"
"124","endoaquepts_aquepts_inceptisols"
"125","endoaquerts_aquerts_vertisols"
"126","endoaquods_aquods_spodosols"
"127","endoaquolls_aquolls_mollisols"
"128","endoaquolls_aquolls_ultisols"
"129","endoaquolls_hemists_mollisols"
"130","endoaquults_aquults_ultisols"
"131","epiaqualfs_aqualfs_alfisols"
"132","epiaquents_aquents_entisols"
"133","epiaquepts_aquepts_inceptisols"
"134","epiaquerts_aquerts_vertisols"
"135","epiaquods_aquods_spodosols"
"136","epiaquolls_aquolls_mollisols"
"137","epiaquults_aquults_ultisols"
"138","eutrandepts_andepts_inceptisols"
"139","eutroboralfs_boralfs_alfisols"
"140","eutrochrepts_cryepts_inceptisols"
"141","eutrochrepts_ochrepts_inceptisols"
"142","eutrochrepts_ochrepts_spodosols"
"143","eutrocryepts_cryepts_inceptisols"
"144","eutropepts_tropepts_inceptisols"
